,depot,INST0096_N10_N06_P000,INST0096_N10_N06_D000,INST0096_N10_N06_P001,INST0096_N10_N06_D001,INST0096_N10_N06_P002,INST0096_N10_N06_D002,INST0096_N10_N06_P003,INST0096_N10_N06_D003,INST0096_N10_N06_P004,INST0096_N10_N06_D004,INST0096_N10_N06_P005,INST0096_N10_N06_D005,INST0096_N10_N06_P006,INST0096_N10_N06_D006,INST0096_N10_N06_P007,INST0096_N10_N06_D007,INST0096_N10_N06_P008,INST0096_N10_N06_D008,INST0096_N10_N06_P009,INST0096_N10_N06_D009
depot,0.0,35.041,79.42,0.0,28.727,35.041,21.127,21.127,28.727,21.127,139.347,0.0,99.392,43.511,25.326,28.727,21.127,43.511,99.392,25.326,79.42
INST0096_N10_N06_P000,35.041,0.0,114.332,35.041,54.669,0.0,33.197,33.197,54.669,33.197,134.941,35.041,99.467,43.657,58.839,54.669,33.197,43.657,99.467,58.839,114.332
INST0096_N10_N06_D000,79.42,114.332,0.0,79.42,67.88,114.332,87.893,87.893,67.88,87.893,182.822,79.42,131.605,101.428,56.35,67.88,87.893,101.428,131.605,56.35,0.0
INST0096_N10_N06_P001,0.0,35.041,79.42,0.0,28.727,35.041,21.127,21.127,28.727,21.127,139.347,0.0,99.392,43.511,25.326,28.727,21.127,43.511,99.392,25.326,79.42
INST0096_N10_N06_D001,28.727,54.669,67.88,28.727,0.0,54.669,22.322,22.322,0.0,22.322,167.44,28.727,78.656,33.929,17.072,0.0,22.322,33.929,78.656,17.072,67.88
INST0096_N10_N06_P002,35.041,0.0,114.332,35.041,54.669,0.0,33.197,33.197,54.669,33.197,134.941,35.041,99.467,43.657,58.839,54.669,33.197,43.657,99.467,58.839,114.332
INST0096_N10_N06_D002,21.127,33.197,87.893,21.127,22.322,33.197,0.0,0.0,22.322,0.0,156.702,21.127,78.919,22.387,31.992,22.322,0.0,22.387,78.919,31.992,87.893
INST0096_N10_N06_P003,21.127,33.197,87.893,21.127,22.322,33.197,0.0,0.0,22.322,0.0,156.702,21.127,78.919,22.387,31.992,22.322,0.0,22.387,78.919,31.992,87.893
INST0096_N10_N06_D003,28.727,54.669,67.88,28.727,0.0,54.669,22.322,22.322,0.0,22.322,167.44,28.727,78.656,33.929,17.072,0.0,22.322,33.929,78.656,17.072,67.88
INST0096_N10_N06_P004,21.127,33.197,87.893,21.127,22.322,33.197,0.0,0.0,22.322,0.0,156.702,21.127,78.919,22.387,31.992,22.322,0.0,22.387,78.919,31.992,87.893
INST0096_N10_N06_D004,139.347,134.941,182.822,139.347,167.44,134.941,156.702,156.702,167.44,156.702,0.0,139.347,233.468,175.714,157.017,167.44,156.702,175.714,233.468,157.017,182.822
INST0096_N10_N06_P005,0.0,35.041,79.42,0.0,28.727,35.041,21.127,21.127,28.727,21.127,139.347,0.0,99.392,43.511,25.326,28.727,21.127,43.511,99.392,25.326,79.42
INST0096_N10_N06_D005,99.392,99.467,131.605,99.392,78.656,99.467,78.919,78.919,78.656,78.919,233.468,99.392,0.0,57.966,95.498,78.656,78.919,57.966,0.0,95.498,131.605
INST0096_N10_N06_P006,43.511,43.657,101.428,43.511,33.929,43.657,22.387,22.387,33.929,22.387,175.714,43.511,57.966,0.0,49.306,33.929,22.387,0.0,57.966,49.306,101.428
INST0096_N10_N06_D006,25.326,58.839,56.35,25.326,17.072,58.839,31.992,31.992,17.072,31.992,157.017,25.326,95.498,49.306,0.0,17.072,31.992,49.306,95.498,0.0,56.35
INST0096_N10_N06_P007,28.727,54.669,67.88,28.727,0.0,54.669,22.322,22.322,0.0,22.322,167.44,28.727,78.656,33.929,17.072,0.0,22.322,33.929,78.656,17.072,67.88
INST0096_N10_N06_D007,21.127,33.197,87.893,21.127,22.322,33.197,0.0,0.0,22.322,0.0,156.702,21.127,78.919,22.387,31.992,22.322,0.0,22.387,78.919,31.992,87.893
INST0096_N10_N06_P008,43.511,43.657,101.428,43.511,33.929,43.657,22.387,22.387,33.929,22.387,175.714,43.511,57.966,0.0,49.306,33.929,22.387,0.0,57.966,49.306,101.428
INST0096_N10_N06_D008,99.392,99.467,131.605,99.392,78.656,99.467,78.919,78.919,78.656,78.919,233.468,99.392,0.0,57.966,95.498,78.656,78.919,57.966,0.0,95.498,131.605
INST0096_N10_N06_P009,25.326,58.839,56.35,25.326,17.072,58.839,31.992,31.992,17.072,31.992,157.017,25.326,95.498,49.306,0.0,17.072,31.992,49.306,95.498,0.0,56.35
INST0096_N10_N06_D009,79.42,114.332,0.0,79.42,67.88,114.332,87.893,87.893,67.88,87.893,182.822,79.42,131.605,101.428,56.35,67.88,87.893,101.428,131.605,56.35,0.0
