,depot,INST0050_N5_S20_P000,INST0050_N5_S20_D000,INST0050_N5_S20_P001,INST0050_N5_S20_D001,INST0050_N5_S20_P002,INST0050_N5_S20_D002,INST0050_N5_S20_P003,INST0050_N5_S20_D003,INST0050_N5_S20_P004,INST0050_N5_S20_D004
depot,0.0,5.477,61.394,5.477,36.46,5.477,21.478,68.319,55.179,50.526,61.394
INST0050_N5_S20_P000,5.477,0.0,60.745,0.0,41.761,0.0,26.505,62.898,58.521,49.927,60.745
INST0050_N5_S20_D000,61.394,60.745,0.0,60.745,67.889,60.745,75.908,77.092,113.587,10.867,0.0
INST0050_N5_S20_P001,5.477,0.0,60.745,0.0,41.761,0.0,26.505,62.898,58.521,49.927,60.745
INST0050_N5_S20_D001,36.46,41.761,67.889,41.761,0.0,41.761,24.954,102.776,54.903,59.003,67.889
INST0050_N5_S20_P002,5.477,0.0,60.745,0.0,41.761,0.0,26.505,62.898,58.521,49.927,60.745
INST0050_N5_S20_D002,21.478,26.505,75.908,26.505,24.954,26.505,0.0,88.975,37.715,65.388,75.908
INST0050_N5_S20_P003,68.319,62.898,77.092,62.898,102.776,62.898,88.975,0.0,113.511,71.865,77.092
INST0050_N5_S20_D003,55.179,58.521,113.587,58.521,54.903,58.521,37.715,113.511,0.0,103.002,113.587
INST0050_N5_S20_P004,50.526,49.927,10.867,49.927,59.003,49.927,65.388,71.865,103.002,0.0,10.867
INST0050_N5_S20_D004,61.394,60.745,0.0,60.745,67.889,60.745,75.908,77.092,113.587,10.867,0.0
