,depot,INST0293_N25_S23_P000,INST0293_N25_S23_D000,INST0293_N25_S23_P001,INST0293_N25_S23_D001,INST0293_N25_S23_P002,INST0293_N25_S23_D002,INST0293_N25_S23_P003,INST0293_N25_S23_D003,INST0293_N25_S23_P004,INST0293_N25_S23_D004,INST0293_N25_S23_P005,INST0293_N25_S23_D005,INST0293_N25_S23_P006,INST0293_N25_S23_D006,INST0293_N25_S23_P007,INST0293_N25_S23_D007,INST0293_N25_S23_P008,INST0293_N25_S23_D008,INST0293_N25_S23_P009,INST0293_N25_S23_D009,INST0293_N25_S23_P010,INST0293_N25_S23_D010,INST0293_N25_S23_P011,INST0293_N25_S23_D011,INST0293_N25_S23_P012,INST0293_N25_S23_D012,INST0293_N25_S23_P013,INST0293_N25_S23_D013,INST0293_N25_S23_P014,INST0293_N25_S23_D014,INST0293_N25_S23_P015,INST0293_N25_S23_D015,INST0293_N25_S23_P016,INST0293_N25_S23_D016,INST0293_N25_S23_P017,INST0293_N25_S23_D017,INST0293_N25_S23_P018,INST0293_N25_S23_D018,INST0293_N25_S23_P019,INST0293_N25_S23_D019,INST0293_N25_S23_P020,INST0293_N25_S23_D020,INST0293_N25_S23_P021,INST0293_N25_S23_D021,INST0293_N25_S23_P022,INST0293_N25_S23_D022,INST0293_N25_S23_P023,INST0293_N25_S23_D023,INST0293_N25_S23_P024,INST0293_N25_S23_D024
depot,0.0,0.0,61.135,29.68,6.707,74.382,8.581,8.581,32.455,0.0,71.658,74.382,6.707,6.707,32.455,74.382,6.707,77.018,6.707,6.707,117.194,29.68,74.382,29.68,51.136,6.707,71.658,8.581,61.135,29.68,71.658,29.68,77.018,6.707,32.455,77.018,158.604,6.707,51.136,77.018,61.135,29.68,8.581,32.455,117.194,0.0,117.194,0.0,61.135,32.455,117.194
INST0293_N25_S23_P000,0.0,0.0,61.135,29.68,6.707,74.382,8.581,8.581,32.455,0.0,71.658,74.382,6.707,6.707,32.455,74.382,6.707,77.018,6.707,6.707,117.194,29.68,74.382,29.68,51.136,6.707,71.658,8.581,61.135,29.68,71.658,29.68,77.018,6.707,32.455,77.018,158.604,6.707,51.136,77.018,61.135,29.68,8.581,32.455,117.194,0.0,117.194,0.0,61.135,32.455,117.194
INST0293_N25_S23_D000,61.135,61.135,0.0,55.105,61.869,13.307,53.679,53.679,80.067,61.135,126.125,13.307,61.869,61.869,80.067,13.307,61.869,87.998,61.869,61.869,57.803,55.105,13.307,55.105,72.248,61.869,126.125,53.679,0.0,55.105,126.125,55.105,87.998,61.869,80.067,87.998,98.41,61.869,72.248,87.998,0.0,55.105,53.679,80.067,57.803,61.135,57.803,61.135,0.0,80.067,57.803
INST0293_N25_S23_P001,29.68,29.68,55.105,0.0,24.036,67.557,31.149,31.149,26.348,29.68,72.268,67.557,24.036,24.036,26.348,67.557,24.036,102.142,24.036,24.036,112.533,0.0,67.557,0.0,23.863,24.036,72.268,31.149,55.105,0.0,72.268,0.0,102.142,24.036,26.348,102.142,152.108,24.036,23.863,102.142,55.105,0.0,31.149,26.348,112.533,29.68,112.533,29.68,55.105,26.348,112.533
INST0293_N25_S23_D001,6.707,6.707,61.869,24.036,0.0,75.176,13.324,13.324,26.3,6.707,67.566,75.176,0.0,0.0,26.3,75.176,0.0,83.656,0.0,0.0,118.85,24.036,75.176,24.036,44.645,0.0,67.566,13.324,61.869,24.036,67.566,24.036,83.656,0.0,26.3,83.656,160.028,0.0,44.645,83.656,61.869,24.036,13.324,26.3,118.85,6.707,118.85,6.707,61.869,26.3,118.85
INST0293_N25_S23_P002,74.382,74.382,13.307,67.557,75.176,0.0,66.815,66.815,92.948,74.382,139.086,0.0,75.176,75.176,92.948,0.0,75.176,94.398,75.176,75.176,44.98,67.557,0.0,67.557,83.129,75.176,139.086,66.815,13.307,67.557,139.086,67.557,94.398,75.176,92.948,94.398,85.211,75.176,83.129,94.398,13.307,67.557,66.815,92.948,44.98,74.382,44.98,74.382,13.307,92.948,44.98
INST0293_N25_S23_D002,8.581,8.581,53.679,31.149,13.324,66.815,0.0,0.0,39.549,8.581,80.145,66.815,13.324,13.324,39.549,66.815,13.324,71.877,13.324,13.324,109.068,31.149,66.815,31.149,54.293,13.324,80.145,0.0,53.679,31.149,80.145,31.149,71.877,13.324,39.549,71.877,150.553,13.324,54.293,71.877,53.679,31.149,0.0,39.549,109.068,8.581,109.068,8.581,53.679,39.549,109.068
INST0293_N25_S23_P003,8.581,8.581,53.679,31.149,13.324,66.815,0.0,0.0,39.549,8.581,80.145,66.815,13.324,13.324,39.549,66.815,13.324,71.877,13.324,13.324,109.068,31.149,66.815,31.149,54.293,13.324,80.145,0.0,53.679,31.149,80.145,31.149,71.877,13.324,39.549,71.877,150.553,13.324,54.293,71.877,53.679,31.149,0.0,39.549,109.068,8.581,109.068,8.581,53.679,39.549,109.068
INST0293_N25_S23_D003,32.455,32.455,80.067,26.348,26.3,92.948,39.549,39.549,0.0,32.455,46.181,92.948,26.3,26.3,0.0,92.948,26.3,108.949,26.3,26.3,137.848,26.348,92.948,26.348,30.556,26.3,46.181,39.549,80.067,26.348,46.181,26.348,108.949,26.3,0.0,108.949,177.944,26.3,30.556,108.949,80.067,26.348,39.549,0.0,137.848,32.455,137.848,32.455,80.067,0.0,137.848
INST0293_N25_S23_P004,0.0,0.0,61.135,29.68,6.707,74.382,8.581,8.581,32.455,0.0,71.658,74.382,6.707,6.707,32.455,74.382,6.707,77.018,6.707,6.707,117.194,29.68,74.382,29.68,51.136,6.707,71.658,8.581,61.135,29.68,71.658,29.68,77.018,6.707,32.455,77.018,158.604,6.707,51.136,77.018,61.135,29.68,8.581,32.455,117.194,0.0,117.194,0.0,61.135,32.455,117.194
