,depot,INST0272_N25_S02_P000,INST0272_N25_S02_D000,INST0272_N25_S02_P001,INST0272_N25_S02_D001,INST0272_N25_S02_P002,INST0272_N25_S02_D002,INST0272_N25_S02_P003,INST0272_N25_S02_D003,INST0272_N25_S02_P004,INST0272_N25_S02_D004,INST0272_N25_S02_P005,INST0272_N25_S02_D005,INST0272_N25_S02_P006,INST0272_N25_S02_D006,INST0272_N25_S02_P007,INST0272_N25_S02_D007,INST0272_N25_S02_P008,INST0272_N25_S02_D008,INST0272_N25_S02_P009,INST0272_N25_S02_D009,INST0272_N25_S02_P010,INST0272_N25_S02_D010,INST0272_N25_S02_P011,INST0272_N25_S02_D011,INST0272_N25_S02_P012,INST0272_N25_S02_D012,INST0272_N25_S02_P013,INST0272_N25_S02_D013,INST0272_N25_S02_P014,INST0272_N25_S02_D014,INST0272_N25_S02_P015,INST0272_N25_S02_D015,INST0272_N25_S02_P016,INST0272_N25_S02_D016,INST0272_N25_S02_P017,INST0272_N25_S02_D017,INST0272_N25_S02_P018,INST0272_N25_S02_D018,INST0272_N25_S02_P019,INST0272_N25_S02_D019,INST0272_N25_S02_P020,INST0272_N25_S02_D020,INST0272_N25_S02_P021,INST0272_N25_S02_D021,INST0272_N25_S02_P022,INST0272_N25_S02_D022,INST0272_N25_S02_P023,INST0272_N25_S02_D023,INST0272_N25_S02_P024,INST0272_N25_S02_D024
depot,0.0,23.863,72.268,72.268,29.68,55.105,24.036,24.036,55.105,55.105,24.036,67.557,29.68,72.268,67.557,0.0,67.557,72.268,29.68,24.036,31.149,31.149,0.0,24.036,102.142,24.036,67.557,67.557,31.149,31.149,55.105,23.863,112.533,26.348,24.036,23.863,55.105,31.149,102.142,26.348,31.149,31.149,55.105,26.348,31.149,0.0,24.036,24.036,26.348,67.557,152.108
INST0272_N25_S02_P000,23.863,0.0,67.228,67.228,51.136,72.248,44.645,44.645,72.248,72.248,44.645,83.129,51.136,67.228,83.129,23.863,83.129,67.228,51.136,44.645,54.293,54.293,23.863,44.645,125.848,44.645,83.129,83.129,54.293,54.293,72.248,0.0,127.137,30.556,44.645,0.0,72.248,54.293,125.848,30.556,54.293,54.293,72.248,30.556,54.293,23.863,44.645,44.645,30.556,83.129,164.482
INST0272_N25_S02_D000,72.268,67.228,0.0,0.0,71.658,126.125,67.566,67.566,126.125,126.125,67.566,139.086,71.658,0.0,139.086,72.268,139.086,0.0,71.658,67.566,80.145,80.145,72.268,67.566,138.993,67.566,139.086,139.086,80.145,80.145,126.125,67.228,183.928,46.181,67.566,67.228,126.125,80.145,138.993,46.181,80.145,80.145,126.125,46.181,80.145,72.268,67.566,67.566,46.181,139.086,224.124
INST0272_N25_S02_P001,72.268,67.228,0.0,0.0,71.658,126.125,67.566,67.566,126.125,126.125,67.566,139.086,71.658,0.0,139.086,72.268,139.086,0.0,71.658,67.566,80.145,80.145,72.268,67.566,138.993,67.566,139.086,139.086,80.145,80.145,126.125,67.228,183.928,46.181,67.566,67.228,126.125,80.145,138.993,46.181,80.145,80.145,126.125,46.181,80.145,72.268,67.566,67.566,46.181,139.086,224.124
INST0272_N25_S02_D001,29.68,51.136,71.658,71.658,0.0,61.135,6.707,6.707,61.135,61.135,6.707,74.382,0.0,71.658,74.382,29.68,74.382,71.658,0.0,6.707,8.581,8.581,29.68,6.707,77.018,6.707,74.382,74.382,8.581,8.581,61.135,51.136,117.194,32.455,6.707,51.136,61.135,8.581,77.018,32.455,8.581,8.581,61.135,32.455,8.581,29.68,6.707,6.707,32.455,74.382,158.604
INST0272_N25_S02_P002,55.105,72.248,126.125,126.125,61.135,0.0,61.869,61.869,0.0,0.0,61.869,13.307,61.135,126.125,13.307,55.105,13.307,126.125,61.135,61.869,53.679,53.679,55.105,61.869,87.998,61.869,13.307,13.307,53.679,53.679,0.0,72.248,57.803,80.067,61.869,72.248,0.0,53.679,87.998,80.067,53.679,53.679,0.0,80.067,53.679,55.105,61.869,61.869,80.067,13.307,98.41
INST0272_N25_S02_D002,24.036,44.645,67.566,67.566,6.707,61.869,0.0,0.0,61.869,61.869,0.0,75.176,6.707,67.566,75.176,24.036,75.176,67.566,6.707,0.0,13.324,13.324,24.036,0.0,83.656,0.0,75.176,75.176,13.324,13.324,61.869,44.645,118.85,26.3,0.0,44.645,61.869,13.324,83.656,26.3,13.324,13.324,61.869,26.3,13.324,24.036,0.0,0.0,26.3,75.176,160.028
INST0272_N25_S02_P003,24.036,44.645,67.566,67.566,6.707,61.869,0.0,0.0,61.869,61.869,0.0,75.176,6.707,67.566,75.176,24.036,75.176,67.566,6.707,0.0,13.324,13.324,24.036,0.0,83.656,0.0,75.176,75.176,13.324,13.324,61.869,44.645,118.85,26.3,0.0,44.645,61.869,13.324,83.656,26.3,13.324,13.324,61.869,26.3,13.324,24.036,0.0,0.0,26.3,75.176,160.028
INST0272_N25_S02_D003,55.105,72.248,126.125,126.125,61.135,0.0,61.869,61.869,0.0,0.0,61.869,13.307,61.135,126.125,13.307,55.105,13.307,126.125,61.135,61.869,53.679,53.679,55.105,61.869,87.998,61.869,13.307,13.307,53.679,53.679,0.0,72.248,57.803,80.067,61.869,72.248,0.0,53.679,87.998,80.067,53.679,53.679,0.0,80.067,53.679,55.105,61.869,61.869,80.067,13.307,98.41
INST0272_N25_S02_P004,55.105,72.248,126.125,126.125,61.135,0.0,61.869,61.869,0.0,0.0,61.869,13.307,61.135,126.125,13.307,55.105,13.307,126.125,61.135,61.869,53.679,53.679,55.105,61.869,87.998,61.869,13.307,13.307,53.679,53.679,0.0,72.248,57.803,80.067,61.869,72.248,0.0,53.679,87.998,80.067,53.679,53.679,0.0,80.067,53.679,55.105,61.869,61.869,80.067,13.307,98.41
INST0272_N25_S02_D004,24.036,44.645,67.566,67.566,6.707,61.869,0.0,0.0,61.869,61.869,0.0,75.176,6.707,67.566,75.176,24.036,75.176,67.566,6.707,0.0,13.324,13.324,24.036,0.0,83.656,0.0,75.176,75.176,13.324,13.324,61.869,44.645,118.85,26.3,0.0,44.645,61.869,13.324,83.656,26.3,13.324,13.324,61.869,26.3,13.324,24.036,0.0,0.0,26.3,75.176,160.028
INST0272_N25_S02_P005,67.557,83.129,139.086,139.086,74.382,13.307,75.176,75.176,13.307,13.307,75.176,0.0,74.382,139.086,0.0,67.557,0.0,139.086,74.382,75.176,66.815,66.815,67.557,75.176,94.398,75.176,0.0,0.0,66.815,66.815,13.307,83.129,44.98,92.948,75.176,83.129,13.307,66.815,94.398,92.948,66.815,66.815,13.307,92.948,66.815,67.557,75.176,75.176,92.948,0.0,85.211
INST0272_N25_S02_D005,29.68,51.136,71.658,71.658,0.0,61.135,6.707,6.707,61.135,61.135,6.707,74.382,0.0,71.658,74.382,29.68,74.382,71.658,0.0,6.707,8.581,8.581,29.68,6.707,77.018,6.707,74.382,74.382,8.581,8.581,61.135,51.136,117.194,32.455,6.707,51.136,61.135,8.581,77.018,32.455,8.581,8.581,61.135,32.455,8.581,29.68,6.707,6.707,32.455,74.382,158.604
INST0272_N25_S02_P006,72.268,67.228,0.0,0.0,71.658,126.125,67.566,67.566,126.125,126.125,67.566,139.086,71.658,0.0,139.086,72.268,139.086,0.0,71.658,67.566,80.145,80.145,72.268,67.566,138.993,67.566,139.086,139.086,80.145,80.145,126.125,67.228,183.928,46.181,67.566,67.228,126.125,80.145,138.993,46.181,80.145,80.145,126.125,46.181,80.145,72.268,67.566,67.566,46.181,139.086,224.124
INST0272_N25_S02_D006,67.557,83.129,139.086,139.086,74.382,13.307,75.176,75.176,13.307,13.307,75.176,0.0,74.382,139.086,0.0,67.557,0.0,139.086,74.382,75.176,66.815,66.815,67.557,75.176,94.398,75.176,0.0,0.0,66.815,66.815,13.307,83.129,44.98,92.948,75.176,83.129,13.307,66.815,94.398,92.948,66.815,66.815,13.307,92.948,66.815,67.557,75.176,75.176,92.948,0.0,85.211
INST0272_N25_S02_P007,0.0,23.863,72.268,72.268,29.68,55.105,24.036,24.036,55.105,55.105,24.036,67.557,29.68,72.268,67.557,0.0,67.557,72.268,29.68,24.036,31.149,31.149,0.0,24.036,102.142,24.036,67.557,67.557,31.149,31.149,55.105,23.863,112.533,26.348,24.036,23.863,55.105,31.149,102.142,26.348,31.149,31.149,55.105,26.348,31.149,0.0,24.036,24.036,26.348,67.557,152.108
INST0272_N25_S02_D007,67.557,83.129,139.086,139.086,74.382,13.307,75.176,75.176,13.307,13.307,75.176,0.0,74.382,139.086,0.0,67.557,0.0,139.086,74.382,75.176,66.815,66.815,67.557,75.176,94.398,75.176,0.0,0.0,66.815,66.815,13.307,83.129,44.98,92.948,75.176,83.129,13.307,66.815,94.398,92.948,66.815,66.815,13.307,92.948,66.815,67.557,75.176,75.176,92.948,0.0,85.211
INST0272_N25_S02_P008,72.268,67.228,0.0,0.0,71.658,126.125,67.566,67.566,126.125,126.125,67.566,139.086,71.658,0.0,139.086,72.268,139.086,0.0,71.658,67.566,80.145,80.145,72.268,67.566,138.993,67.566,139.086,139.086,80.145,80.145,126.125,67.228,183.928,46.181,67.566,67.228,126.125,80.145,138.993,46.181,80.145,80.145,126.125,46.181,80.145,72.268,67.566,67.566,46.181,139.086,224.124
INST0272_N25_S02_D008,29.68,51.136,71.658,71.658,0.0,61.135,6.707,6.707,61.135,61.135,6.707,74.382,0.0,71.658,74.382,29.68,74.382,71.658,0.0,6.707,8.581,8.581,29.68,6.707,77.018,6.707,74.382,74.382,8.581,8.581,61.135,51.136,117.194,32.455,6.707,51.136,61.135,8.581,77.018,32.455,8.581,8.581,61.135,32.455,8.581,29.68,6.707,6.707,32.455,74.382,158.604
INST0272_N25_S02_P009,24.036,44.645,67.566,67.566,6.707,61.869,0.0,0.0,61.869,61.869,0.0,75.176,6.707,67.566,75.176,24.036,75.176,67.566,6.707,0.0,13.324,13.324,24.036,0.0,83.656,0.0,75.176,75.176,13.324,13.324,61.869,44.645,118.85,26.3,0.0,44.645,61.869,13.324,83.656,26.3,13.324,13.324,61.869,26.3,13.324,24.036,0.0,0.0,26.3,75.176,160.028
INST0272_N25_S02_D009,31.149,54.293,80.145,80.145,8.581,53.679,13.324,13.324,53.679,53.679,13.324,66.815,8.581,80.145,66.815,31.149,66.815,80.145,8.581,13.324,0.0,0.0,31.149,13.324,71.877,13.324,66.815,66.815,0.0,0.0,53.679,54.293,109.068,39.549,13.324,54.293,53.679,0.0,71.877,39.549,0.0,0.0,53.679,39.549,0.0,31.149,13.324,13.324,39.549,66.815,150.553
