,depot,INST0277_N25_W07_P000,INST0277_N25_W07_D000,INST0277_N25_W07_P001,INST0277_N25_W07_D001,INST0277_N25_W07_P002,INST0277_N25_W07_D002,INST0277_N25_W07_P003,INST0277_N25_W07_D003,INST0277_N25_W07_P004,INST0277_N25_W07_D004,INST0277_N25_W07_P005,INST0277_N25_W07_D005,INST0277_N25_W07_P006,INST0277_N25_W07_D006,INST0277_N25_W07_P007,INST0277_N25_W07_D007,INST0277_N25_W07_P008,INST0277_N25_W07_D008,INST0277_N25_W07_P009,INST0277_N25_W07_D009,INST0277_N25_W07_P010,INST0277_N25_W07_D010,INST0277_N25_W07_P011,INST0277_N25_W07_D011,INST0277_N25_W07_P012,INST0277_N25_W07_D012,INST0277_N25_W07_P013,INST0277_N25_W07_D013,INST0277_N25_W07_P014,INST0277_N25_W07_D014,INST0277_N25_W07_P015,INST0277_N25_W07_D015,INST0277_N25_W07_P016,INST0277_N25_W07_D016,INST0277_N25_W07_P017,INST0277_N25_W07_D017,INST0277_N25_W07_P018,INST0277_N25_W07_D018,INST0277_N25_W07_P019,INST0277_N25_W07_D019,INST0277_N25_W07_P020,INST0277_N25_W07_D020,INST0277_N25_W07_P021,INST0277_N25_W07_D021,INST0277_N25_W07_P022,INST0277_N25_W07_D022,INST0277_N25_W07_P023,INST0277_N25_W07_D023,INST0277_N25_W07_P024,INST0277_N25_W07_D024
depot,0.0,17.435,0.0,20.56,17.435,20.56,75.699,20.081,20.02,77.687,32.905,29.878,53.818,20.081,124.166,32.905,20.081,0.0,17.435,29.878,0.0,53.818,20.081,0.0,32.905,29.878,53.818,0.0,77.687,53.818,17.435,77.687,141.804,75.699,124.166,20.081,0.0,17.435,32.905,0.0,77.687,75.699,0.0,20.56,20.02,20.081,77.687,20.56,29.878,20.56,17.435
INST0277_N25_W07_P000,17.435,0.0,17.435,36.679,0.0,36.679,92.961,28.407,35.228,86.82,50.317,43.098,61.972,28.407,129.907,50.317,28.407,17.435,0.0,43.098,17.435,61.972,28.407,17.435,50.317,43.098,61.972,17.435,86.82,61.972,0.0,86.82,147.866,92.961,129.907,28.407,17.435,0.0,50.317,17.435,86.82,92.961,17.435,36.679,35.228,28.407,86.82,36.679,43.098,36.679,0.0
INST0277_N25_W07_D000,0.0,17.435,0.0,20.56,17.435,20.56,75.699,20.081,20.02,77.687,32.905,29.878,53.818,20.081,124.166,32.905,20.081,0.0,17.435,29.878,0.0,53.818,20.081,0.0,32.905,29.878,53.818,0.0,77.687,53.818,17.435,77.687,141.804,75.699,124.166,20.081,0.0,17.435,32.905,0.0,77.687,75.699,0.0,20.56,20.02,20.081,77.687,20.56,29.878,20.56,17.435
INST0277_N25_W07_P001,20.56,36.679,20.56,0.0,36.679,0.0,57.051,33.728,23.331,61.567,17.238,12.767,40.204,33.728,110.354,17.238,33.728,20.56,36.679,12.767,20.56,40.204,33.728,20.56,17.238,12.767,40.204,20.56,61.567,40.204,36.679,61.567,127.423,57.051,110.354,33.728,20.56,36.679,17.238,20.56,61.567,57.051,20.56,0.0,23.331,33.728,61.567,0.0,12.767,0.0,36.679
INST0277_N25_W07_D001,17.435,0.0,17.435,36.679,0.0,36.679,92.961,28.407,35.228,86.82,50.317,43.098,61.972,28.407,129.907,50.317,28.407,17.435,0.0,43.098,17.435,61.972,28.407,17.435,50.317,43.098,61.972,17.435,86.82,61.972,0.0,86.82,147.866,92.961,129.907,28.407,17.435,0.0,50.317,17.435,86.82,92.961,17.435,36.679,35.228,28.407,86.82,36.679,43.098,36.679,0.0
INST0277_N25_W07_P002,20.56,36.679,20.56,0.0,36.679,0.0,57.051,33.728,23.331,61.567,17.238,12.767,40.204,33.728,110.354,17.238,33.728,20.56,36.679,12.767,20.56,40.204,33.728,20.56,17.238,12.767,40.204,20.56,61.567,40.204,36.679,61.567,127.423,57.051,110.354,33.728,20.56,36.679,17.238,20.56,61.567,57.051,20.56,0.0,23.331,33.728,61.567,0.0,12.767,0.0,36.679
INST0277_N25_W07_D002,75.699,92.961,75.699,57.051,92.961,57.051,0.0,78.578,64.294,70.587,43.046,56.961,68.471,78.578,115.643,43.046,78.578,75.699,92.961,56.961,75.699,68.471,78.578,75.699,43.046,56.961,68.471,75.699,70.587,68.471,92.961,70.587,128.123,0.0,115.643,78.578,75.699,92.961,43.046,75.699,70.587,0.0,75.699,57.051,64.294,78.578,70.587,57.051,56.961,57.051,92.961
INST0277_N25_W07_P003,20.081,28.407,20.081,33.728,28.407,33.728,78.578,0.0,14.369,94.929,37.156,45.89,72.151,0.0,142.787,37.156,0.0,20.081,28.407,45.89,20.081,72.151,0.0,20.081,37.156,45.89,72.151,20.081,94.929,72.151,28.407,94.929,160.194,78.578,142.787,0.0,20.081,28.407,37.156,20.081,94.929,78.578,20.081,33.728,14.369,0.0,94.929,33.728,45.89,33.728,28.407
INST0277_N25_W07_D003,20.02,35.228,20.02,23.331,35.228,23.331,64.294,14.369,0.0,84.648,22.951,36.098,63.48,14.369,133.671,22.951,14.369,20.02,35.228,36.098,20.02,63.48,14.369,20.02,22.951,36.098,63.48,20.02,84.648,63.48,35.228,84.648,150.679,64.294,133.671,14.369,20.02,35.228,22.951,20.02,84.648,64.294,20.02,23.331,0.0,14.369,84.648,23.331,36.098,23.331,35.228
INST0277_N25_W07_P004,77.687,86.82,77.687,61.567,86.82,61.567,70.587,94.929,84.648,0.0,67.612,49.056,24.909,94.929,50.015,67.612,94.929,77.687,86.82,49.056,77.687,24.909,94.929,77.687,67.612,49.056,24.909,77.687,0.0,24.909,86.82,0.0,66.284,70.587,50.015,94.929,77.687,86.82,67.612,77.687,0.0,70.587,77.687,61.567,84.648,94.929,0.0,61.567,49.056,61.567,86.82
