,depot,INST0194_N18_S14_P000,INST0194_N18_S14_D000,INST0194_N18_S14_P001,INST0194_N18_S14_D001,INST0194_N18_S14_P002,INST0194_N18_S14_D002,INST0194_N18_S14_P003,INST0194_N18_S14_D003,INST0194_N18_S14_P004,INST0194_N18_S14_D004,INST0194_N18_S14_P005,INST0194_N18_S14_D005,INST0194_N18_S14_P006,INST0194_N18_S14_D006,INST0194_N18_S14_P007,INST0194_N18_S14_D007,INST0194_N18_S14_P008,INST0194_N18_S14_D008,INST0194_N18_S14_P009,INST0194_N18_S14_D009,INST0194_N18_S14_P010,INST0194_N18_S14_D010,INST0194_N18_S14_P011,INST0194_N18_S14_D011,INST0194_N18_S14_P012,INST0194_N18_S14_D012,INST0194_N18_S14_P013,INST0194_N18_S14_D013,INST0194_N18_S14_P014,INST0194_N18_S14_D014,INST0194_N18_S14_P015,INST0194_N18_S14_D015,INST0194_N18_S14_P016,INST0194_N18_S14_D016,INST0194_N18_S14_P017,INST0194_N18_S14_D017
depot,0.0,31.149,54.293,8.581,150.553,66.815,0.0,80.145,66.815,54.293,80.145,53.679,54.293,66.815,150.553,31.149,39.549,53.679,71.877,13.324,80.145,31.149,0.0,0.0,109.068,54.293,109.068,66.815,39.549,66.815,109.068,31.149,54.293,0.0,13.324,39.549,0.0
INST0194_N18_S14_P000,31.149,0.0,23.863,29.68,152.108,67.557,31.149,72.268,67.557,23.863,72.268,55.105,23.863,67.557,152.108,0.0,26.348,55.105,102.142,24.036,72.268,0.0,31.149,31.149,112.533,23.863,112.533,67.557,26.348,67.557,112.533,0.0,23.863,31.149,24.036,26.348,31.149
INST0194_N18_S14_D000,54.293,23.863,0.0,51.136,164.482,83.129,54.293,67.228,83.129,0.0,67.228,72.248,0.0,83.129,164.482,23.863,30.556,72.248,125.848,44.645,67.228,23.863,54.293,54.293,127.137,0.0,127.137,83.129,30.556,83.129,127.137,23.863,0.0,54.293,44.645,30.556,54.293
INST0194_N18_S14_P001,8.581,29.68,51.136,0.0,158.604,74.382,8.581,71.658,74.382,51.136,71.658,61.135,51.136,74.382,158.604,29.68,32.455,61.135,77.018,6.707,71.658,29.68,8.581,8.581,117.194,51.136,117.194,74.382,32.455,74.382,117.194,29.68,51.136,8.581,6.707,32.455,8.581
INST0194_N18_S14_D001,150.553,152.108,164.482,158.604,0.0,85.211,150.553,224.124,85.211,164.482,224.124,98.41,164.482,85.211,0.0,152.108,177.944,98.41,151.155,160.028,224.124,152.108,150.553,150.553,41.594,164.482,41.594,85.211,177.944,85.211,41.594,152.108,164.482,150.553,160.028,177.944,150.553
INST0194_N18_S14_P002,66.815,67.557,83.129,74.382,85.211,0.0,66.815,139.086,0.0,83.129,139.086,13.307,83.129,0.0,85.211,67.557,92.948,13.307,94.398,75.176,139.086,67.557,66.815,66.815,44.98,83.129,44.98,0.0,92.948,0.0,44.98,67.557,83.129,66.815,75.176,92.948,66.815
INST0194_N18_S14_D002,0.0,31.149,54.293,8.581,150.553,66.815,0.0,80.145,66.815,54.293,80.145,53.679,54.293,66.815,150.553,31.149,39.549,53.679,71.877,13.324,80.145,31.149,0.0,0.0,109.068,54.293,109.068,66.815,39.549,66.815,109.068,31.149,54.293,0.0,13.324,39.549,0.0
INST0194_N18_S14_P003,80.145,72.268,67.228,71.658,224.124,139.086,80.145,0.0,139.086,67.228,0.0,126.125,67.228,139.086,224.124,72.268,46.181,126.125,138.993,67.566,0.0,72.268,80.145,80.145,183.928,67.228,183.928,139.086,46.181,139.086,183.928,72.268,67.228,80.145,67.566,46.181,80.145
INST0194_N18_S14_D003,66.815,67.557,83.129,74.382,85.211,0.0,66.815,139.086,0.0,83.129,139.086,13.307,83.129,0.0,85.211,67.557,92.948,13.307,94.398,75.176,139.086,67.557,66.815,66.815,44.98,83.129,44.98,0.0,92.948,0.0,44.98,67.557,83.129,66.815,75.176,92.948,66.815
INST0194_N18_S14_P004,54.293,23.863,0.0,51.136,164.482,83.129,54.293,67.228,83.129,0.0,67.228,72.248,0.0,83.129,164.482,23.863,30.556,72.248,125.848,44.645,67.228,23.863,54.293,54.293,127.137,0.0,127.137,83.129,30.556,83.129,127.137,23.863,0.0,54.293,44.645,30.556,54.293
