,depot,INST0129_N12_N09_P000,INST0129_N12_N09_D000,INST0129_N12_N09_P001,INST0129_N12_N09_D001,INST0129_N12_N09_P002,INST0129_N12_N09_D002,INST0129_N12_N09_P003,INST0129_N12_N09_D003,INST0129_N12_N09_P004,INST0129_N12_N09_D004,INST0129_N12_N09_P005,INST0129_N12_N09_D005,INST0129_N12_N09_P006,INST0129_N12_N09_D006,INST0129_N12_N09_P007,INST0129_N12_N09_D007,INST0129_N12_N09_P008,INST0129_N12_N09_D008,INST0129_N12_N09_P009,INST0129_N12_N09_D009,INST0129_N12_N09_P010,INST0129_N12_N09_D010,INST0129_N12_N09_P011,INST0129_N12_N09_D011
depot,0.0,43.657,58.839,54.669,0.0,35.041,33.197,41.993,0.0,35.041,99.467,56.4,33.197,41.993,54.669,58.839,134.941,54.669,149.69,56.4,187.802,54.669,41.993,54.669,149.69
INST0129_N12_N09_P000,43.657,0.0,49.306,33.929,43.657,43.511,22.387,23.01,43.657,43.511,57.966,37.312,22.387,23.01,33.929,49.306,175.714,33.929,114.14,37.312,149.729,33.929,23.01,33.929,114.14
INST0129_N12_N09_D000,58.839,49.306,0.0,17.072,58.839,25.326,31.992,26.694,58.839,25.326,95.498,14.003,31.992,26.694,17.072,0.0,157.017,17.072,99.415,14.003,139.481,17.072,26.694,17.072,99.415
INST0129_N12_N09_P001,54.669,33.929,17.072,0.0,54.669,28.727,22.322,14.053,54.669,28.727,78.656,3.413,22.322,14.053,0.0,17.072,167.44,0.0,95.867,3.413,134.948,0.0,14.053,0.0,95.867
INST0129_N12_N09_D001,0.0,43.657,58.839,54.669,0.0,35.041,33.197,41.993,0.0,35.041,99.467,56.4,33.197,41.993,54.669,58.839,134.941,54.669,149.69,56.4,187.802,54.669,41.993,54.669,149.69
INST0129_N12_N09_P002,35.041,43.511,25.326,28.727,35.041,0.0,21.127,24.088,35.041,0.0,99.392,28.595,21.127,24.088,28.727,25.326,139.347,28.727,122.983,28.595,162.63,28.727,24.088,28.727,122.983
INST0129_N12_N09_D002,33.197,22.387,31.992,22.322,33.197,21.127,0.0,8.817,33.197,21.127,78.919,24.705,0.0,8.817,22.322,31.992,156.702,22.322,116.493,24.705,154.717,22.322,8.817,22.322,116.493
INST0129_N12_N09_P003,41.993,23.01,26.694,14.053,41.993,24.088,8.817,0.0,41.993,24.088,75.654,16.848,8.817,0.0,14.053,26.694,162.641,14.053,107.703,16.848,146.035,14.053,0.0,14.053,107.703
INST0129_N12_N09_D003,0.0,43.657,58.839,54.669,0.0,35.041,33.197,41.993,0.0,35.041,99.467,56.4,33.197,41.993,54.669,58.839,134.941,54.669,149.69,56.4,187.802,54.669,41.993,54.669,149.69
INST0129_N12_N09_P004,35.041,43.511,25.326,28.727,35.041,0.0,21.127,24.088,35.041,0.0,99.392,28.595,21.127,24.088,28.727,25.326,139.347,28.727,122.983,28.595,162.63,28.727,24.088,28.727,122.983
