,depot,INST0140_N12_S20_P000,INST0140_N12_S20_D000,INST0140_N12_S20_P001,INST0140_N12_S20_D001,INST0140_N12_S20_P002,INST0140_N12_S20_D002,INST0140_N12_S20_P003,INST0140_N12_S20_D003,INST0140_N12_S20_P004,INST0140_N12_S20_D004,INST0140_N12_S20_P005,INST0140_N12_S20_D005,INST0140_N12_S20_P006,INST0140_N12_S20_D006,INST0140_N12_S20_P007,INST0140_N12_S20_D007,INST0140_N12_S20_P008,INST0140_N12_S20_D008,INST0140_N12_S20_P009,INST0140_N12_S20_D009,INST0140_N12_S20_P010,INST0140_N12_S20_D010,INST0140_N12_S20_P011,INST0140_N12_S20_D011
depot,0.0,44.645,26.3,61.869,83.656,24.036,160.028,6.707,67.566,83.656,0.0,26.3,0.0,83.656,26.3,24.036,6.707,75.176,67.566,6.707,44.645,83.656,67.566,26.3,83.656
INST0140_N12_S20_P000,44.645,0.0,30.556,72.248,125.848,23.863,164.482,51.136,67.228,125.848,44.645,30.556,44.645,125.848,30.556,23.863,51.136,83.129,67.228,51.136,0.0,125.848,67.228,30.556,125.848
INST0140_N12_S20_D000,26.3,30.556,0.0,80.067,108.949,26.348,177.944,32.455,46.181,108.949,26.3,0.0,26.3,108.949,0.0,26.348,32.455,92.948,46.181,32.455,30.556,108.949,46.181,0.0,108.949
INST0140_N12_S20_P001,61.869,72.248,80.067,0.0,87.998,55.105,98.41,61.135,126.125,87.998,61.869,80.067,61.869,87.998,80.067,55.105,61.135,13.307,126.125,61.135,72.248,87.998,126.125,80.067,87.998
INST0140_N12_S20_D001,83.656,125.848,108.949,87.998,0.0,102.142,151.155,77.018,138.993,0.0,83.656,108.949,83.656,0.0,108.949,102.142,77.018,94.398,138.993,77.018,125.848,0.0,138.993,108.949,0.0
INST0140_N12_S20_P002,24.036,23.863,26.348,55.105,102.142,0.0,152.108,29.68,72.268,102.142,24.036,26.348,24.036,102.142,26.348,0.0,29.68,67.557,72.268,29.68,23.863,102.142,72.268,26.348,102.142
INST0140_N12_S20_D002,160.028,164.482,177.944,98.41,151.155,152.108,0.0,158.604,224.124,151.155,160.028,177.944,160.028,151.155,177.944,152.108,158.604,85.211,224.124,158.604,164.482,151.155,224.124,177.944,151.155
INST0140_N12_S20_P003,6.707,51.136,32.455,61.135,77.018,29.68,158.604,0.0,71.658,77.018,6.707,32.455,6.707,77.018,32.455,29.68,0.0,74.382,71.658,0.0,51.136,77.018,71.658,32.455,77.018
INST0140_N12_S20_D003,67.566,67.228,46.181,126.125,138.993,72.268,224.124,71.658,0.0,138.993,67.566,46.181,67.566,138.993,46.181,72.268,71.658,139.086,0.0,71.658,67.228,138.993,0.0,46.181,138.993
INST0140_N12_S20_P004,83.656,125.848,108.949,87.998,0.0,102.142,151.155,77.018,138.993,0.0,83.656,108.949,83.656,0.0,108.949,102.142,77.018,94.398,138.993,77.018,125.848,0.0,138.993,108.949,0.0
