,depot,INST0083_N8_S23_P000,INST0083_N8_S23_D000,INST0083_N8_S23_P001,INST0083_N8_S23_D001,INST0083_N8_S23_P002,INST0083_N8_S23_D002,INST0083_N8_S23_P003,INST0083_N8_S23_D003,INST0083_N8_S23_P004,INST0083_N8_S23_D004,INST0083_N8_S23_P005,INST0083_N8_S23_D005,INST0083_N8_S23_P006,INST0083_N8_S23_D006,INST0083_N8_S23_P007,INST0083_N8_S23_D007
depot,0.0,74.382,6.707,74.382,0.0,77.018,51.136,74.382,29.68,77.018,117.194,74.382,8.581,0.0,77.018,74.382,8.581
INST0083_N8_S23_P000,74.382,0.0,75.176,0.0,74.382,94.398,83.129,0.0,67.557,94.398,44.98,0.0,66.815,74.382,94.398,0.0,66.815
INST0083_N8_S23_D000,6.707,75.176,0.0,75.176,6.707,83.656,44.645,75.176,24.036,83.656,118.85,75.176,13.324,6.707,83.656,75.176,13.324
INST0083_N8_S23_P001,74.382,0.0,75.176,0.0,74.382,94.398,83.129,0.0,67.557,94.398,44.98,0.0,66.815,74.382,94.398,0.0,66.815
INST0083_N8_S23_D001,0.0,74.382,6.707,74.382,0.0,77.018,51.136,74.382,29.68,77.018,117.194,74.382,8.581,0.0,77.018,74.382,8.581
INST0083_N8_S23_P002,77.018,94.398,83.656,94.398,77.018,0.0,125.848,94.398,102.142,0.0,114.428,94.398,71.877,77.018,0.0,94.398,71.877
INST0083_N8_S23_D002,51.136,83.129,44.645,83.129,51.136,125.848,0.0,83.129,23.863,125.848,127.137,83.129,54.293,51.136,125.848,83.129,54.293
INST0083_N8_S23_P003,74.382,0.0,75.176,0.0,74.382,94.398,83.129,0.0,67.557,94.398,44.98,0.0,66.815,74.382,94.398,0.0,66.815
INST0083_N8_S23_D003,29.68,67.557,24.036,67.557,29.68,102.142,23.863,67.557,0.0,102.142,112.533,67.557,31.149,29.68,102.142,67.557,31.149
INST0083_N8_S23_P004,77.018,94.398,83.656,94.398,77.018,0.0,125.848,94.398,102.142,0.0,114.428,94.398,71.877,77.018,0.0,94.398,71.877
INST0083_N8_S23_D004,117.194,44.98,118.85,44.98,117.194,114.428,127.137,44.98,112.533,114.428,0.0,44.98,109.068,117.194,114.428,44.98,109.068
INST0083_N8_S23_P005,74.382,0.0,75.176,0.0,74.382,94.398,83.129,0.0,67.557,94.398,44.98,0.0,66.815,74.382,94.398,0.0,66.815
INST0083_N8_S23_D005,8.581,66.815,13.324,66.815,8.581,71.877,54.293,66.815,31.149,71.877,109.068,66.815,0.0,8.581,71.877,66.815,0.0
INST0083_N8_S23_P006,0.0,74.382,6.707,74.382,0.0,77.018,51.136,74.382,29.68,77.018,117.194,74.382,8.581,0.0,77.018,74.382,8.581
INST0083_N8_S23_D006,77.018,94.398,83.656,94.398,77.018,0.0,125.848,94.398,102.142,0.0,114.428,94.398,71.877,77.018,0.0,94.398,71.877
INST0083_N8_S23_P007,74.382,0.0,75.176,0.0,74.382,94.398,83.129,0.0,67.557,94.398,44.98,0.0,66.815,74.382,94.398,0.0,66.815
INST0083_N8_S23_D007,8.581,66.815,13.324,66.815,8.581,71.877,54.293,66.815,31.149,71.877,109.068,66.815,0.0,8.581,71.877,66.815,0.0
