,depot,INST0069_N8_N09_P000,INST0069_N8_N09_D000,INST0069_N8_N09_P001,INST0069_N8_N09_D001,INST0069_N8_N09_P002,INST0069_N8_N09_D002,INST0069_N8_N09_P003,INST0069_N8_N09_D003,INST0069_N8_N09_P004,INST0069_N8_N09_D004,INST0069_N8_N09_P005,INST0069_N8_N09_D005,INST0069_N8_N09_P006,INST0069_N8_N09_D006,INST0069_N8_N09_P007,INST0069_N8_N09_D007
depot,0.0,34.294,48.052,35.653,27.111,27.111,0.0,0.0,35.653,46.06,81.232,0.0,48.052,34.294,28.616,27.111,44.646
INST0069_N8_N09_P000,34.294,0.0,21.8,18.791,7.201,7.201,34.294,34.294,18.791,13.759,61.784,34.294,21.8,0.0,19.671,7.201,11.477
INST0069_N8_N09_D000,48.052,21.8,0.0,40.266,26.126,26.126,48.052,48.052,40.266,11.436,77.99,48.052,0.0,21.8,20.683,26.126,13.942
INST0069_N8_N09_P001,35.653,18.791,40.266,0.0,18.283,18.283,35.653,35.653,0.0,30.471,47.339,35.653,40.266,18.791,35.534,18.283,27.709
INST0069_N8_N09_D001,27.111,7.201,26.126,18.283,0.0,0.0,27.111,27.111,18.283,20.176,64.45,27.111,26.126,7.201,17.254,0.0,18.229
INST0069_N8_N09_P002,27.111,7.201,26.126,18.283,0.0,0.0,27.111,27.111,18.283,20.176,64.45,27.111,26.126,7.201,17.254,0.0,18.229
INST0069_N8_N09_D002,0.0,34.294,48.052,35.653,27.111,27.111,0.0,0.0,35.653,46.06,81.232,0.0,48.052,34.294,28.616,27.111,44.646
INST0069_N8_N09_P003,0.0,34.294,48.052,35.653,27.111,27.111,0.0,0.0,35.653,46.06,81.232,0.0,48.052,34.294,28.616,27.111,44.646
INST0069_N8_N09_D003,35.653,18.791,40.266,0.0,18.283,18.283,35.653,35.653,0.0,30.471,47.339,35.653,40.266,18.791,35.534,18.283,27.709
INST0069_N8_N09_P004,46.06,13.759,11.436,30.471,20.176,20.176,46.06,46.06,30.471,0.0,66.572,46.06,11.436,13.759,23.353,20.176,2.788
INST0069_N8_N09_D004,81.232,61.784,77.99,47.339,64.45,64.45,81.232,81.232,47.339,66.572,0.0,81.232,77.99,61.784,81.17,64.45,64.236
INST0069_N8_N09_P005,0.0,34.294,48.052,35.653,27.111,27.111,0.0,0.0,35.653,46.06,81.232,0.0,48.052,34.294,28.616,27.111,44.646
INST0069_N8_N09_D005,48.052,21.8,0.0,40.266,26.126,26.126,48.052,48.052,40.266,11.436,77.99,48.052,0.0,21.8,20.683,26.126,13.942
INST0069_N8_N09_P006,34.294,0.0,21.8,18.791,7.201,7.201,34.294,34.294,18.791,13.759,61.784,34.294,21.8,0.0,19.671,7.201,11.477
INST0069_N8_N09_D006,28.616,19.671,20.683,35.534,17.254,17.254,28.616,28.616,35.534,23.353,81.17,28.616,20.683,19.671,0.0,17.254,23.461
INST0069_N8_N09_P007,27.111,7.201,26.126,18.283,0.0,0.0,27.111,27.111,18.283,20.176,64.45,27.111,26.126,7.201,17.254,0.0,18.229
INST0069_N8_N09_D007,44.646,11.477,13.942,27.709,18.229,18.229,44.646,44.646,27.709,2.788,64.236,44.646,13.942,11.477,23.461,18.229,0.0
