,depot,INST0093_N10_N03_P000,INST0093_N10_N03_D000,INST0093_N10_N03_P001,INST0093_N10_N03_D001,INST0093_N10_N03_P002,INST0093_N10_N03_D002,INST0093_N10_N03_P003,INST0093_N10_N03_D003,INST0093_N10_N03_P004,INST0093_N10_N03_D004,INST0093_N10_N03_P005,INST0093_N10_N03_D005,INST0093_N10_N03_P006,INST0093_N10_N03_D006,INST0093_N10_N03_P007,INST0093_N10_N03_D007,INST0093_N10_N03_P008,INST0093_N10_N03_D008,INST0093_N10_N03_P009,INST0093_N10_N03_D009
depot,0.0,66.572,23.353,52.8,13.759,0.0,11.436,46.06,0.0,2.788,77.555,66.572,2.788,23.353,11.436,2.788,11.436,46.06,20.176,30.471,23.353
INST0093_N10_N03_P000,66.572,0.0,81.17,107.477,61.784,66.572,77.99,81.232,66.572,64.236,85.106,0.0,64.236,81.17,77.99,64.236,77.99,81.232,64.45,47.339,81.17
INST0093_N10_N03_D000,23.353,81.17,0.0,64.86,19.671,23.353,20.683,28.616,23.353,23.461,100.436,81.17,23.461,0.0,20.683,23.461,20.683,28.616,17.254,35.534,0.0
INST0093_N10_N03_P001,52.8,107.477,64.86,0.0,66.32,52.8,46.019,93.371,52.8,55.435,65.084,107.477,55.435,64.86,46.019,55.435,46.019,93.371,71.779,82.833,64.86
INST0093_N10_N03_D001,13.759,61.784,19.671,66.32,0.0,13.759,21.8,34.294,13.759,11.477,87.958,61.784,11.477,19.671,21.8,11.477,21.8,34.294,7.201,18.791,19.671
INST0093_N10_N03_P002,0.0,66.572,23.353,52.8,13.759,0.0,11.436,46.06,0.0,2.788,77.555,66.572,2.788,23.353,11.436,2.788,11.436,46.06,20.176,30.471,23.353
INST0093_N10_N03_D002,11.436,77.99,20.683,46.019,21.8,11.436,0.0,48.052,11.436,13.942,81.189,77.99,13.942,20.683,0.0,13.942,0.0,48.052,26.126,40.266,20.683
INST0093_N10_N03_P003,46.06,81.232,28.616,93.371,34.294,46.06,48.052,0.0,46.06,44.646,122.247,81.232,44.646,28.616,48.052,44.646,48.052,0.0,27.111,35.653,28.616
INST0093_N10_N03_D003,0.0,66.572,23.353,52.8,13.759,0.0,11.436,46.06,0.0,2.788,77.555,66.572,2.788,23.353,11.436,2.788,11.436,46.06,20.176,30.471,23.353
INST0093_N10_N03_P004,2.788,64.236,23.461,55.435,11.477,2.788,13.942,44.646,2.788,0.0,78.292,64.236,0.0,23.461,13.942,0.0,13.942,44.646,18.229,27.709,23.461
INST0093_N10_N03_D004,77.555,85.106,100.436,65.084,87.958,77.555,81.189,122.247,77.555,78.292,0.0,85.106,78.292,100.436,81.189,78.292,81.189,122.247,95.136,93.214,100.436
INST0093_N10_N03_P005,66.572,0.0,81.17,107.477,61.784,66.572,77.99,81.232,66.572,64.236,85.106,0.0,64.236,81.17,77.99,64.236,77.99,81.232,64.45,47.339,81.17
INST0093_N10_N03_D005,2.788,64.236,23.461,55.435,11.477,2.788,13.942,44.646,2.788,0.0,78.292,64.236,0.0,23.461,13.942,0.0,13.942,44.646,18.229,27.709,23.461
INST0093_N10_N03_P006,23.353,81.17,0.0,64.86,19.671,23.353,20.683,28.616,23.353,23.461,100.436,81.17,23.461,0.0,20.683,23.461,20.683,28.616,17.254,35.534,0.0
INST0093_N10_N03_D006,11.436,77.99,20.683,46.019,21.8,11.436,0.0,48.052,11.436,13.942,81.189,77.99,13.942,20.683,0.0,13.942,0.0,48.052,26.126,40.266,20.683
INST0093_N10_N03_P007,2.788,64.236,23.461,55.435,11.477,2.788,13.942,44.646,2.788,0.0,78.292,64.236,0.0,23.461,13.942,0.0,13.942,44.646,18.229,27.709,23.461
INST0093_N10_N03_D007,11.436,77.99,20.683,46.019,21.8,11.436,0.0,48.052,11.436,13.942,81.189,77.99,13.942,20.683,0.0,13.942,0.0,48.052,26.126,40.266,20.683
INST0093_N10_N03_P008,46.06,81.232,28.616,93.371,34.294,46.06,48.052,0.0,46.06,44.646,122.247,81.232,44.646,28.616,48.052,44.646,48.052,0.0,27.111,35.653,28.616
INST0093_N10_N03_D008,20.176,64.45,17.254,71.779,7.201,20.176,26.126,27.111,20.176,18.229,95.136,64.45,18.229,17.254,26.126,18.229,26.126,27.111,0.0,18.283,17.254
INST0093_N10_N03_P009,30.471,47.339,35.534,82.833,18.791,30.471,40.266,35.653,30.471,27.709,93.214,47.339,27.709,35.534,40.266,27.709,40.266,35.653,18.283,0.0,35.534
INST0093_N10_N03_D009,23.353,81.17,0.0,64.86,19.671,23.353,20.683,28.616,23.353,23.461,100.436,81.17,23.461,0.0,20.683,23.461,20.683,28.616,17.254,35.534,0.0
