,depot,INST0238_N20_W28_P000,INST0238_N20_W28_D000,INST0238_N20_W28_P001,INST0238_N20_W28_D001,INST0238_N20_W28_P002,INST0238_N20_W28_D002,INST0238_N20_W28_P003,INST0238_N20_W28_D003,INST0238_N20_W28_P004,INST0238_N20_W28_D004,INST0238_N20_W28_P005,INST0238_N20_W28_D005,INST0238_N20_W28_P006,INST0238_N20_W28_D006,INST0238_N20_W28_P007,INST0238_N20_W28_D007,INST0238_N20_W28_P008,INST0238_N20_W28_D008,INST0238_N20_W28_P009,INST0238_N20_W28_D009,INST0238_N20_W28_P010,INST0238_N20_W28_D010,INST0238_N20_W28_P011,INST0238_N20_W28_D011,INST0238_N20_W28_P012,INST0238_N20_W28_D012,INST0238_N20_W28_P013,INST0238_N20_W28_D013,INST0238_N20_W28_P014,INST0238_N20_W28_D014,INST0238_N20_W28_P015,INST0238_N20_W28_D015,INST0238_N20_W28_P016,INST0238_N20_W28_D016,INST0238_N20_W28_P017,INST0238_N20_W28_D017,INST0238_N20_W28_P018,INST0238_N20_W28_D018,INST0238_N20_W28_P019,INST0238_N20_W28_D019
depot,0.0,70.637,133.671,50.015,133.671,0.0,117.595,70.637,133.671,0.0,97.602,97.602,70.637,50.015,97.602,97.602,110.354,70.637,18.026,18.026,110.354,97.602,50.015,50.015,133.671,0.0,117.595,70.637,142.787,97.602,18.026,50.015,110.354,0.0,124.166,50.015,133.671,0.0,70.637,18.026,124.166
INST0238_N20_W28_P000,70.637,0.0,63.48,24.909,63.48,70.637,50.631,0.0,63.48,70.637,27.496,27.496,0.0,24.909,27.496,27.496,40.204,0.0,88.095,88.095,40.204,27.496,24.909,24.909,63.48,70.637,50.631,0.0,72.151,27.496,88.095,24.909,40.204,70.637,53.818,24.909,63.48,70.637,0.0,88.095,53.818
INST0238_N20_W28_D000,133.671,63.48,0.0,84.648,0.0,133.671,22.951,63.48,0.0,133.671,36.098,36.098,63.48,84.648,36.098,36.098,23.331,63.48,150.679,150.679,23.331,36.098,84.648,84.648,0.0,133.671,22.951,63.48,14.369,36.098,150.679,84.648,23.331,133.671,20.02,84.648,0.0,133.671,63.48,150.679,20.02
INST0238_N20_W28_P001,50.015,24.909,84.648,0.0,84.648,50.015,67.612,24.909,84.648,50.015,49.056,49.056,24.909,0.0,49.056,49.056,61.567,24.909,66.284,66.284,61.567,49.056,0.0,0.0,84.648,50.015,67.612,24.909,94.929,49.056,66.284,0.0,61.567,50.015,77.687,0.0,84.648,50.015,24.909,66.284,77.687
INST0238_N20_W28_D001,133.671,63.48,0.0,84.648,0.0,133.671,22.951,63.48,0.0,133.671,36.098,36.098,63.48,84.648,36.098,36.098,23.331,63.48,150.679,150.679,23.331,36.098,84.648,84.648,0.0,133.671,22.951,63.48,14.369,36.098,150.679,84.648,23.331,133.671,20.02,84.648,0.0,133.671,63.48,150.679,20.02
INST0238_N20_W28_P002,0.0,70.637,133.671,50.015,133.671,0.0,117.595,70.637,133.671,0.0,97.602,97.602,70.637,50.015,97.602,97.602,110.354,70.637,18.026,18.026,110.354,97.602,50.015,50.015,133.671,0.0,117.595,70.637,142.787,97.602,18.026,50.015,110.354,0.0,124.166,50.015,133.671,0.0,70.637,18.026,124.166
INST0238_N20_W28_D002,117.595,50.631,22.951,67.612,22.951,117.595,0.0,50.631,22.951,117.595,25.201,25.201,50.631,67.612,25.201,25.201,17.238,50.631,133.769,133.769,17.238,25.201,67.612,67.612,22.951,117.595,0.0,50.631,37.156,25.201,133.769,67.612,17.238,117.595,32.905,67.612,22.951,117.595,50.631,133.769,32.905
INST0238_N20_W28_P003,70.637,0.0,63.48,24.909,63.48,70.637,50.631,0.0,63.48,70.637,27.496,27.496,0.0,24.909,27.496,27.496,40.204,0.0,88.095,88.095,40.204,27.496,24.909,24.909,63.48,70.637,50.631,0.0,72.151,27.496,88.095,24.909,40.204,70.637,53.818,24.909,63.48,70.637,0.0,88.095,53.818
INST0238_N20_W28_D003,133.671,63.48,0.0,84.648,0.0,133.671,22.951,63.48,0.0,133.671,36.098,36.098,63.48,84.648,36.098,36.098,23.331,63.48,150.679,150.679,23.331,36.098,84.648,84.648,0.0,133.671,22.951,63.48,14.369,36.098,150.679,84.648,23.331,133.671,20.02,84.648,0.0,133.671,63.48,150.679,20.02
INST0238_N20_W28_P004,0.0,70.637,133.671,50.015,133.671,0.0,117.595,70.637,133.671,0.0,97.602,97.602,70.637,50.015,97.602,97.602,110.354,70.637,18.026,18.026,110.354,97.602,50.015,50.015,133.671,0.0,117.595,70.637,142.787,97.602,18.026,50.015,110.354,0.0,124.166,50.015,133.671,0.0,70.637,18.026,124.166
