,depot,INST0261_N22_N21_P000,INST0261_N22_N21_D000,INST0261_N22_N21_P001,INST0261_N22_N21_D001,INST0261_N22_N21_P002,INST0261_N22_N21_D002,INST0261_N22_N21_P003,INST0261_N22_N21_D003,INST0261_N22_N21_P004,INST0261_N22_N21_D004,INST0261_N22_N21_P005,INST0261_N22_N21_D005,INST0261_N22_N21_P006,INST0261_N22_N21_D006,INST0261_N22_N21_P007,INST0261_N22_N21_D007,INST0261_N22_N21_P008,INST0261_N22_N21_D008,INST0261_N22_N21_P009,INST0261_N22_N21_D009,INST0261_N22_N21_P010,INST0261_N22_N21_D010,INST0261_N22_N21_P011,INST0261_N22_N21_D011,INST0261_N22_N21_P012,INST0261_N22_N21_D012,INST0261_N22_N21_P013,INST0261_N22_N21_D013,INST0261_N22_N21_P014,INST0261_N22_N21_D014,INST0261_N22_N21_P015,INST0261_N22_N21_D015,INST0261_N22_N21_P016,INST0261_N22_N21_D016,INST0261_N22_N21_P017,INST0261_N22_N21_D017,INST0261_N22_N21_P018,INST0261_N22_N21_D018,INST0261_N22_N21_P019,INST0261_N22_N21_D019,INST0261_N22_N21_P020,INST0261_N22_N21_D020,INST0261_N22_N21_P021,INST0261_N22_N21_D021
depot,0.0,23.461,0.0,64.86,23.461,64.86,17.254,19.671,100.436,19.671,100.436,64.86,0.0,35.534,64.86,17.254,81.17,17.254,81.17,23.461,35.534,35.534,17.254,20.683,23.353,28.616,20.683,23.353,20.683,0.0,113.8,28.616,23.461,28.616,0.0,64.86,81.17,28.616,35.534,28.616,125.319,23.353,0.0,23.461,0.0
INST0261_N22_N21_P000,23.461,0.0,23.461,55.435,0.0,55.435,18.229,11.477,78.292,11.477,78.292,55.435,23.461,27.709,55.435,18.229,64.236,18.229,64.236,0.0,27.709,27.709,18.229,13.942,2.788,44.646,13.942,2.788,13.942,23.461,136.742,44.646,0.0,44.646,23.461,55.435,64.236,44.646,27.709,44.646,144.673,2.788,23.461,0.0,23.461
INST0261_N22_N21_D000,0.0,23.461,0.0,64.86,23.461,64.86,17.254,19.671,100.436,19.671,100.436,64.86,0.0,35.534,64.86,17.254,81.17,17.254,81.17,23.461,35.534,35.534,17.254,20.683,23.353,28.616,20.683,23.353,20.683,0.0,113.8,28.616,23.461,28.616,0.0,64.86,81.17,28.616,35.534,28.616,125.319,23.353,0.0,23.461,0.0
INST0261_N22_N21_P001,64.86,55.435,64.86,0.0,55.435,0.0,71.779,66.32,65.084,66.32,65.084,0.0,64.86,82.833,0.0,71.779,107.477,71.779,107.477,55.435,82.833,82.833,71.779,46.019,52.8,93.371,46.019,52.8,46.019,64.86,149.304,93.371,55.435,93.371,64.86,0.0,107.477,93.371,82.833,93.371,187.822,52.8,64.86,55.435,64.86
INST0261_N22_N21_D001,23.461,0.0,23.461,55.435,0.0,55.435,18.229,11.477,78.292,11.477,78.292,55.435,23.461,27.709,55.435,18.229,64.236,18.229,64.236,0.0,27.709,27.709,18.229,13.942,2.788,44.646,13.942,2.788,13.942,23.461,136.742,44.646,0.0,44.646,23.461,55.435,64.236,44.646,27.709,44.646,144.673,2.788,23.461,0.0,23.461
INST0261_N22_N21_P002,64.86,55.435,64.86,0.0,55.435,0.0,71.779,66.32,65.084,66.32,65.084,0.0,64.86,82.833,0.0,71.779,107.477,71.779,107.477,55.435,82.833,82.833,71.779,46.019,52.8,93.371,46.019,52.8,46.019,64.86,149.304,93.371,55.435,93.371,64.86,0.0,107.477,93.371,82.833,93.371,187.822,52.8,64.86,55.435,64.86
INST0261_N22_N21_D002,17.254,18.229,17.254,71.779,18.229,71.779,0.0,7.201,95.136,7.201,95.136,71.779,17.254,18.283,71.779,0.0,64.45,0.0,64.45,18.229,18.283,18.283,0.0,26.126,20.176,27.111,26.126,20.176,26.126,17.254,127.973,27.111,18.229,27.111,17.254,71.779,64.45,27.111,18.283,27.111,127.166,20.176,17.254,18.229,17.254
INST0261_N22_N21_P003,19.671,11.477,19.671,66.32,11.477,66.32,7.201,0.0,87.958,0.0,87.958,66.32,19.671,18.791,66.32,7.201,61.784,7.201,61.784,11.477,18.791,18.791,7.201,21.8,13.759,34.294,21.8,13.759,21.8,19.671,132.823,34.294,11.477,34.294,19.671,66.32,61.784,34.294,18.791,34.294,134.365,13.759,19.671,11.477,19.671
INST0261_N22_N21_D003,100.436,78.292,100.436,65.084,78.292,65.084,95.136,87.958,0.0,87.958,0.0,65.084,100.436,93.214,65.084,95.136,85.106,95.136,85.106,78.292,93.214,93.214,95.136,81.189,77.555,122.247,81.189,77.555,81.189,100.436,206.878,122.247,78.292,122.247,100.436,65.084,85.106,122.247,93.214,122.247,222.229,77.555,100.436,78.292,100.436
INST0261_N22_N21_P004,19.671,11.477,19.671,66.32,11.477,66.32,7.201,0.0,87.958,0.0,87.958,66.32,19.671,18.791,66.32,7.201,61.784,7.201,61.784,11.477,18.791,18.791,7.201,21.8,13.759,34.294,21.8,13.759,21.8,19.671,132.823,34.294,11.477,34.294,19.671,66.32,61.784,34.294,18.791,34.294,134.365,13.759,19.671,11.477,19.671
INST0261_N22_N21_D004,100.436,78.292,100.436,65.084,78.292,65.084,95.136,87.958,0.0,87.958,0.0,65.084,100.436,93.214,65.084,95.136,85.106,95.136,85.106,78.292,93.214,93.214,95.136,81.189,77.555,122.247,81.189,77.555,81.189,100.436,206.878,122.247,78.292,122.247,100.436,65.084,85.106,122.247,93.214,122.247,222.229,77.555,100.436,78.292,100.436
INST0261_N22_N21_P005,64.86,55.435,64.86,0.0,55.435,0.0,71.779,66.32,65.084,66.32,65.084,0.0,64.86,82.833,0.0,71.779,107.477,71.779,107.477,55.435,82.833,82.833,71.779,46.019,52.8,93.371,46.019,52.8,46.019,64.86,149.304,93.371,55.435,93.371,64.86,0.0,107.477,93.371,82.833,93.371,187.822,52.8,64.86,55.435,64.86
INST0261_N22_N21_D005,0.0,23.461,0.0,64.86,23.461,64.86,17.254,19.671,100.436,19.671,100.436,64.86,0.0,35.534,64.86,17.254,81.17,17.254,81.17,23.461,35.534,35.534,17.254,20.683,23.353,28.616,20.683,23.353,20.683,0.0,113.8,28.616,23.461,28.616,0.0,64.86,81.17,28.616,35.534,28.616,125.319,23.353,0.0,23.461,0.0
INST0261_N22_N21_P006,35.534,27.709,35.534,82.833,27.709,82.833,18.283,18.791,93.214,18.791,93.214,82.833,35.534,0.0,82.833,18.283,47.339,18.283,47.339,27.709,0.0,0.0,18.283,40.266,30.471,35.653,40.266,30.471,40.266,35.534,143.5,35.653,27.709,35.653,35.534,82.833,47.339,35.653,0.0,35.653,131.141,30.471,35.534,27.709,35.534
INST0261_N22_N21_D006,64.86,55.435,64.86,0.0,55.435,0.0,71.779,66.32,65.084,66.32,65.084,0.0,64.86,82.833,0.0,71.779,107.477,71.779,107.477,55.435,82.833,82.833,71.779,46.019,52.8,93.371,46.019,52.8,46.019,64.86,149.304,93.371,55.435,93.371,64.86,0.0,107.477,93.371,82.833,93.371,187.822,52.8,64.86,55.435,64.86
INST0261_N22_N21_P007,17.254,18.229,17.254,71.779,18.229,71.779,0.0,7.201,95.136,7.201,95.136,71.779,17.254,18.283,71.779,0.0,64.45,0.0,64.45,18.229,18.283,18.283,0.0,26.126,20.176,27.111,26.126,20.176,26.126,17.254,127.973,27.111,18.229,27.111,17.254,71.779,64.45,27.111,18.283,27.111,127.166,20.176,17.254,18.229,17.254
