,depot,INST0182_N18_S02_P000,INST0182_N18_S02_D000,INST0182_N18_S02_P001,INST0182_N18_S02_D001,INST0182_N18_S02_P002,INST0182_N18_S02_D002,INST0182_N18_S02_P003,INST0182_N18_S02_D003,INST0182_N18_S02_P004,INST0182_N18_S02_D004,INST0182_N18_S02_P005,INST0182_N18_S02_D005,INST0182_N18_S02_P006,INST0182_N18_S02_D006,INST0182_N18_S02_P007,INST0182_N18_S02_D007,INST0182_N18_S02_P008,INST0182_N18_S02_D008,INST0182_N18_S02_P009,INST0182_N18_S02_D009,INST0182_N18_S02_P010,INST0182_N18_S02_D010,INST0182_N18_S02_P011,INST0182_N18_S02_D011,INST0182_N18_S02_P012,INST0182_N18_S02_D012,INST0182_N18_S02_P013,INST0182_N18_S02_D013,INST0182_N18_S02_P014,INST0182_N18_S02_D014,INST0182_N18_S02_P015,INST0182_N18_S02_D015,INST0182_N18_S02_P016,INST0182_N18_S02_D016,INST0182_N18_S02_P017,INST0182_N18_S02_D017
depot,0.0,24.239,0.0,55.171,25.439,19.629,21.517,19.488,91.902,25.439,59.019,59.019,19.629,24.239,21.517,19.629,59.019,24.239,45.002,19.488,24.239,59.019,0.0,45.002,124.222,0.0,19.488,55.171,21.517,45.002,21.517,19.488,25.439,19.629,83.416,59.019,83.416
INST0182_N18_S02_P000,24.239,0.0,24.239,60.745,7.008,5.477,26.505,41.761,95.708,7.008,58.521,58.521,5.477,0.0,26.505,5.477,58.521,0.0,49.927,41.761,0.0,58.521,24.239,49.927,129.526,24.239,41.761,60.745,26.505,49.927,26.505,41.761,7.008,5.477,62.898,58.521,62.898
INST0182_N18_S02_D000,0.0,24.239,0.0,55.171,25.439,19.629,21.517,19.488,91.902,25.439,59.019,59.019,19.629,24.239,21.517,19.629,59.019,24.239,45.002,19.488,24.239,59.019,0.0,45.002,124.222,0.0,19.488,55.171,21.517,45.002,21.517,19.488,25.439,19.629,83.416,59.019,83.416
INST0182_N18_S02_P001,55.171,60.745,55.171,0.0,54.565,61.394,75.908,67.889,36.733,54.565,113.587,113.587,61.394,60.745,75.908,61.394,113.587,60.745,10.867,67.889,60.745,113.587,55.171,10.867,69.589,55.171,67.889,0.0,75.908,10.867,75.908,67.889,54.565,61.394,77.092,113.587,77.092
INST0182_N18_S02_D001,25.439,7.008,25.439,54.565,0.0,10.881,32.298,44.339,89.072,0.0,65.452,65.452,10.881,7.008,32.298,10.881,65.452,7.008,43.838,44.339,7.008,65.452,25.439,43.838,122.952,25.439,44.339,54.565,32.298,43.838,32.298,44.339,0.0,10.881,58.699,65.452,58.699
INST0182_N18_S02_P002,19.629,5.477,19.629,61.394,10.881,0.0,21.478,36.46,97.061,10.881,55.179,55.179,0.0,5.477,21.478,0.0,55.179,5.477,50.526,36.46,5.477,55.179,19.629,50.526,130.689,19.629,36.46,61.394,21.478,50.526,21.478,36.46,10.881,0.0,68.319,55.179,68.319
INST0182_N18_S02_D002,21.517,26.505,21.517,75.908,32.298,21.478,0.0,24.954,112.576,32.298,37.715,37.715,21.478,26.505,0.0,21.478,37.715,26.505,65.388,24.954,26.505,37.715,21.517,65.388,145.321,21.517,24.954,75.908,0.0,65.388,0.0,24.954,32.298,21.478,88.975,37.715,88.975
INST0182_N18_S02_P003,19.488,41.761,19.488,67.889,44.339,36.46,24.954,0.0,103.829,44.339,54.903,54.903,36.46,41.761,24.954,36.46,54.903,41.761,59.003,0.0,41.761,54.903,19.488,59.003,134.327,19.488,0.0,67.889,24.954,59.003,24.954,0.0,44.339,36.46,102.776,54.903,102.776
INST0182_N18_S02_D003,91.902,95.708,91.902,36.733,89.072,97.061,112.576,103.829,0.0,89.072,150.208,150.208,97.061,95.708,112.576,97.061,150.208,95.708,47.206,103.829,95.708,150.208,91.902,47.206,33.969,91.902,103.829,36.733,112.576,47.206,112.576,103.829,89.072,97.061,93.449,150.208,93.449
INST0182_N18_S02_P004,25.439,7.008,25.439,54.565,0.0,10.881,32.298,44.339,89.072,0.0,65.452,65.452,10.881,7.008,32.298,10.881,65.452,7.008,43.838,44.339,7.008,65.452,25.439,43.838,122.952,25.439,44.339,54.565,32.298,43.838,32.298,44.339,0.0,10.881,58.699,65.452,58.699
