,depot,INST0279_N25_N09_P000,INST0279_N25_N09_D000,INST0279_N25_N09_P001,INST0279_N25_N09_D001,INST0279_N25_N09_P002,INST0279_N25_N09_D002,INST0279_N25_N09_P003,INST0279_N25_N09_D003,INST0279_N25_N09_P004,INST0279_N25_N09_D004,INST0279_N25_N09_P005,INST0279_N25_N09_D005,INST0279_N25_N09_P006,INST0279_N25_N09_D006,INST0279_N25_N09_P007,INST0279_N25_N09_D007,INST0279_N25_N09_P008,INST0279_N25_N09_D008,INST0279_N25_N09_P009,INST0279_N25_N09_D009,INST0279_N25_N09_P010,INST0279_N25_N09_D010,INST0279_N25_N09_P011,INST0279_N25_N09_D011,INST0279_N25_N09_P012,INST0279_N25_N09_D012,INST0279_N25_N09_P013,INST0279_N25_N09_D013,INST0279_N25_N09_P014,INST0279_N25_N09_D014,INST0279_N25_N09_P015,INST0279_N25_N09_D015,INST0279_N25_N09_P016,INST0279_N25_N09_D016,INST0279_N25_N09_P017,INST0279_N25_N09_D017,INST0279_N25_N09_P018,INST0279_N25_N09_D018,INST0279_N25_N09_P019,INST0279_N25_N09_D019,INST0279_N25_N09_P020,INST0279_N25_N09_D020,INST0279_N25_N09_P021,INST0279_N25_N09_D021,INST0279_N25_N09_P022,INST0279_N25_N09_D022,INST0279_N25_N09_P023,INST0279_N25_N09_D023,INST0279_N25_N09_P024,INST0279_N25_N09_D024
depot,0.0,48.052,35.653,0.0,44.646,48.052,110.202,0.0,48.052,0.0,93.371,44.646,93.371,27.111,46.06,34.294,48.052,28.616,35.653,0.0,93.371,35.653,34.294,35.653,122.247,44.646,35.653,27.111,110.202,27.111,35.653,46.06,122.247,35.653,81.232,27.111,110.202,28.616,81.232,35.653,34.294,35.653,48.052,28.616,48.052,34.294,122.247,48.052,46.06,46.06,0.0
INST0279_N25_N09_P000,48.052,0.0,40.266,48.052,13.942,0.0,128.231,48.052,0.0,48.052,46.019,13.942,46.019,26.126,11.436,21.8,0.0,20.683,40.266,48.052,46.019,40.266,21.8,40.266,81.189,13.942,40.266,26.126,128.231,26.126,40.266,11.436,81.189,40.266,77.99,26.126,128.231,20.683,77.99,40.266,21.8,40.266,0.0,20.683,0.0,21.8,81.189,0.0,11.436,11.436,48.052
INST0279_N25_N09_D000,35.653,40.266,0.0,35.653,27.709,40.266,143.5,35.653,40.266,35.653,82.833,27.709,82.833,18.283,30.471,18.791,40.266,35.534,0.0,35.653,82.833,0.0,18.791,0.0,93.214,27.709,0.0,18.283,143.5,18.283,0.0,30.471,93.214,0.0,47.339,18.283,143.5,35.534,47.339,0.0,18.791,0.0,40.266,35.534,40.266,18.791,93.214,40.266,30.471,30.471,35.653
INST0279_N25_N09_P001,0.0,48.052,35.653,0.0,44.646,48.052,110.202,0.0,48.052,0.0,93.371,44.646,93.371,27.111,46.06,34.294,48.052,28.616,35.653,0.0,93.371,35.653,34.294,35.653,122.247,44.646,35.653,27.111,110.202,27.111,35.653,46.06,122.247,35.653,81.232,27.111,110.202,28.616,81.232,35.653,34.294,35.653,48.052,28.616,48.052,34.294,122.247,48.052,46.06,46.06,0.0
INST0279_N25_N09_D001,44.646,13.942,27.709,44.646,0.0,13.942,136.742,44.646,13.942,44.646,55.435,0.0,55.435,18.229,2.788,11.477,13.942,23.461,27.709,44.646,55.435,27.709,11.477,27.709,78.292,0.0,27.709,18.229,136.742,18.229,27.709,2.788,78.292,27.709,64.236,18.229,136.742,23.461,64.236,27.709,11.477,27.709,13.942,23.461,13.942,11.477,78.292,13.942,2.788,2.788,44.646
INST0279_N25_N09_P002,48.052,0.0,40.266,48.052,13.942,0.0,128.231,48.052,0.0,48.052,46.019,13.942,46.019,26.126,11.436,21.8,0.0,20.683,40.266,48.052,46.019,40.266,21.8,40.266,81.189,13.942,40.266,26.126,128.231,26.126,40.266,11.436,81.189,40.266,77.99,26.126,128.231,20.683,77.99,40.266,21.8,40.266,0.0,20.683,0.0,21.8,81.189,0.0,11.436,11.436,48.052
INST0279_N25_N09_D002,110.202,128.231,143.5,110.202,136.742,128.231,0.0,110.202,128.231,110.202,149.304,136.742,149.304,127.973,135.971,132.823,128.231,113.8,143.5,110.202,149.304,143.5,132.823,143.5,206.878,136.742,143.5,127.973,0.0,127.973,143.5,135.971,206.878,143.5,190.666,127.973,0.0,113.8,190.666,143.5,132.823,143.5,128.231,113.8,128.231,132.823,206.878,128.231,135.971,135.971,110.202
INST0279_N25_N09_P003,0.0,48.052,35.653,0.0,44.646,48.052,110.202,0.0,48.052,0.0,93.371,44.646,93.371,27.111,46.06,34.294,48.052,28.616,35.653,0.0,93.371,35.653,34.294,35.653,122.247,44.646,35.653,27.111,110.202,27.111,35.653,46.06,122.247,35.653,81.232,27.111,110.202,28.616,81.232,35.653,34.294,35.653,48.052,28.616,48.052,34.294,122.247,48.052,46.06,46.06,0.0
INST0279_N25_N09_D003,48.052,0.0,40.266,48.052,13.942,0.0,128.231,48.052,0.0,48.052,46.019,13.942,46.019,26.126,11.436,21.8,0.0,20.683,40.266,48.052,46.019,40.266,21.8,40.266,81.189,13.942,40.266,26.126,128.231,26.126,40.266,11.436,81.189,40.266,77.99,26.126,128.231,20.683,77.99,40.266,21.8,40.266,0.0,20.683,0.0,21.8,81.189,0.0,11.436,11.436,48.052
INST0279_N25_N09_P004,0.0,48.052,35.653,0.0,44.646,48.052,110.202,0.0,48.052,0.0,93.371,44.646,93.371,27.111,46.06,34.294,48.052,28.616,35.653,0.0,93.371,35.653,34.294,35.653,122.247,44.646,35.653,27.111,110.202,27.111,35.653,46.06,122.247,35.653,81.232,27.111,110.202,28.616,81.232,35.653,34.294,35.653,48.052,28.616,48.052,34.294,122.247,48.052,46.06,46.06,0.0
