,depot,INST0124_N12_W04_P000,INST0124_N12_W04_D000,INST0124_N12_W04_P001,INST0124_N12_W04_D001,INST0124_N12_W04_P002,INST0124_N12_W04_D002,INST0124_N12_W04_P003,INST0124_N12_W04_D003,INST0124_N12_W04_P004,INST0124_N12_W04_D004,INST0124_N12_W04_P005,INST0124_N12_W04_D005,INST0124_N12_W04_P006,INST0124_N12_W04_D006,INST0124_N12_W04_P007,INST0124_N12_W04_D007,INST0124_N12_W04_P008,INST0124_N12_W04_D008,INST0124_N12_W04_P009,INST0124_N12_W04_D009,INST0124_N12_W04_P010,INST0124_N12_W04_D010,INST0124_N12_W04_P011,INST0124_N12_W04_D011
depot,0.0,54.132,93.687,71.944,14.722,71.944,0.0,14.722,0.0,54.132,14.722,54.132,104.062,0.0,104.062,71.944,130.825,0.0,14.722,0.0,104.062,71.944,54.132,71.944,104.062
INST0124_N12_W04_P000,54.132,0.0,40.063,20.342,40.846,20.342,54.132,40.846,54.132,0.0,40.846,0.0,50.28,54.132,50.28,20.342,77.525,54.132,40.846,54.132,50.28,20.342,0.0,20.342,50.28
INST0124_N12_W04_D000,93.687,40.063,0.0,22.455,79.708,22.455,93.687,79.708,93.687,40.063,79.708,40.063,10.426,93.687,10.426,22.455,37.477,93.687,79.708,93.687,10.426,22.455,40.063,22.455,10.426
INST0124_N12_W04_P001,71.944,20.342,22.455,0.0,57.687,0.0,71.944,57.687,71.944,20.342,57.687,20.342,32.833,71.944,32.833,0.0,58.923,71.944,57.687,71.944,32.833,0.0,20.342,0.0,32.833
INST0124_N12_W04_D001,14.722,40.846,79.708,57.687,0.0,57.687,14.722,0.0,14.722,40.846,0.0,40.846,90.122,14.722,90.122,57.687,116.61,14.722,0.0,14.722,90.122,57.687,40.846,57.687,90.122
INST0124_N12_W04_P002,71.944,20.342,22.455,0.0,57.687,0.0,71.944,57.687,71.944,20.342,57.687,20.342,32.833,71.944,32.833,0.0,58.923,71.944,57.687,71.944,32.833,0.0,20.342,0.0,32.833
INST0124_N12_W04_D002,0.0,54.132,93.687,71.944,14.722,71.944,0.0,14.722,0.0,54.132,14.722,54.132,104.062,0.0,104.062,71.944,130.825,0.0,14.722,0.0,104.062,71.944,54.132,71.944,104.062
INST0124_N12_W04_P003,14.722,40.846,79.708,57.687,0.0,57.687,14.722,0.0,14.722,40.846,0.0,40.846,90.122,14.722,90.122,57.687,116.61,14.722,0.0,14.722,90.122,57.687,40.846,57.687,90.122
INST0124_N12_W04_D003,0.0,54.132,93.687,71.944,14.722,71.944,0.0,14.722,0.0,54.132,14.722,54.132,104.062,0.0,104.062,71.944,130.825,0.0,14.722,0.0,104.062,71.944,54.132,71.944,104.062
INST0124_N12_W04_P004,54.132,0.0,40.063,20.342,40.846,20.342,54.132,40.846,54.132,0.0,40.846,0.0,50.28,54.132,50.28,20.342,77.525,54.132,40.846,54.132,50.28,20.342,0.0,20.342,50.28
INST0124_N12_W04_D004,14.722,40.846,79.708,57.687,0.0,57.687,14.722,0.0,14.722,40.846,0.0,40.846,90.122,14.722,90.122,57.687,116.61,14.722,0.0,14.722,90.122,57.687,40.846,57.687,90.122
