,depot,INST0204_N18_N24_P000,INST0204_N18_N24_D000,INST0204_N18_N24_P001,INST0204_N18_N24_D001,INST0204_N18_N24_P002,INST0204_N18_N24_D002,INST0204_N18_N24_P003,INST0204_N18_N24_D003,INST0204_N18_N24_P004,INST0204_N18_N24_D004,INST0204_N18_N24_P005,INST0204_N18_N24_D005,INST0204_N18_N24_P006,INST0204_N18_N24_D006,INST0204_N18_N24_P007,INST0204_N18_N24_D007,INST0204_N18_N24_P008,INST0204_N18_N24_D008,INST0204_N18_N24_P009,INST0204_N18_N24_D009,INST0204_N18_N24_P010,INST0204_N18_N24_D010,INST0204_N18_N24_P011,INST0204_N18_N24_D011,INST0204_N18_N24_P012,INST0204_N18_N24_D012,INST0204_N18_N24_P013,INST0204_N18_N24_D013,INST0204_N18_N24_P014,INST0204_N18_N24_D014,INST0204_N18_N24_P015,INST0204_N18_N24_D015,INST0204_N18_N24_P016,INST0204_N18_N24_D016,INST0204_N18_N24_P017,INST0204_N18_N24_D017
depot,0.0,54.669,149.69,56.4,41.993,58.839,149.69,33.197,114.332,35.041,0.0,56.4,35.041,43.657,99.467,43.657,114.332,33.197,43.657,0.0,122.582,54.669,99.467,0.0,56.4,35.041,149.69,33.197,58.839,43.657,54.669,43.657,0.0,58.839,33.197,33.197,149.69
INST0204_N18_N24_P000,54.669,0.0,95.867,3.413,14.053,17.072,95.867,22.322,67.88,28.727,54.669,3.413,28.727,33.929,78.656,33.929,67.88,22.322,33.929,54.669,177.15,0.0,78.656,54.669,3.413,28.727,95.867,22.322,17.072,33.929,0.0,33.929,54.669,17.072,22.322,22.322,95.867
INST0204_N18_N24_D000,149.69,95.867,0.0,94.965,107.703,99.415,0.0,116.493,79.694,122.983,149.69,94.965,122.983,114.14,104.211,114.14,79.694,116.493,114.14,149.69,272.117,95.867,104.211,149.69,94.965,122.983,0.0,116.493,99.415,114.14,95.867,114.14,149.69,99.415,116.493,116.493,0.0
INST0204_N18_N24_P001,56.4,3.413,94.965,0.0,16.848,14.003,94.965,24.705,64.653,28.595,56.4,0.0,28.595,37.312,81.517,37.312,64.653,24.705,37.312,56.4,178.677,3.413,81.517,56.4,0.0,28.595,94.965,24.705,14.003,37.312,3.413,37.312,56.4,14.003,24.705,24.705,94.965
INST0204_N18_N24_D001,41.993,14.053,107.703,16.848,0.0,26.694,107.703,8.817,81.208,24.088,41.993,16.848,24.088,23.01,75.654,23.01,81.208,8.817,23.01,41.993,164.529,14.053,75.654,41.993,16.848,24.088,107.703,8.817,26.694,23.01,14.053,23.01,41.993,26.694,8.817,8.817,107.703
INST0204_N18_N24_P002,58.839,17.072,99.415,14.003,26.694,0.0,99.415,31.992,56.35,25.326,58.839,14.003,25.326,49.306,95.498,49.306,56.35,31.992,49.306,58.839,178.773,17.072,95.498,58.839,14.003,25.326,99.415,31.992,0.0,49.306,17.072,49.306,58.839,0.0,31.992,31.992,99.415
INST0204_N18_N24_D002,149.69,95.867,0.0,94.965,107.703,99.415,0.0,116.493,79.694,122.983,149.69,94.965,122.983,114.14,104.211,114.14,79.694,116.493,114.14,149.69,272.117,95.867,104.211,149.69,94.965,122.983,0.0,116.493,99.415,114.14,95.867,114.14,149.69,99.415,116.493,116.493,0.0
INST0204_N18_N24_P003,33.197,22.322,116.493,24.705,8.817,31.992,116.493,0.0,87.893,21.127,33.197,24.705,21.127,22.387,78.919,22.387,87.893,0.0,22.387,33.197,155.714,22.322,78.919,33.197,24.705,21.127,116.493,0.0,31.992,22.387,22.322,22.387,33.197,31.992,0.0,0.0,116.493
INST0204_N18_N24_D003,114.332,67.88,79.694,64.653,81.208,56.35,79.694,87.893,0.0,79.42,114.332,64.653,79.42,101.428,131.605,101.428,0.0,87.893,101.428,114.332,229.986,67.88,131.605,114.332,64.653,79.42,79.694,87.893,56.35,101.428,67.88,101.428,114.332,56.35,87.893,87.893,79.694
INST0204_N18_N24_P004,35.041,28.727,122.983,28.595,24.088,25.326,122.983,21.127,79.42,0.0,35.041,28.595,0.0,43.511,99.392,43.511,79.42,21.127,43.511,35.041,153.452,28.727,99.392,35.041,28.595,0.0,122.983,21.127,25.326,43.511,28.727,43.511,35.041,25.326,21.127,21.127,122.983
INST0204_N18_N24_D004,0.0,54.669,149.69,56.4,41.993,58.839,149.69,33.197,114.332,35.041,0.0,56.4,35.041,43.657,99.467,43.657,114.332,33.197,43.657,0.0,122.582,54.669,99.467,0.0,56.4,35.041,149.69,33.197,58.839,43.657,54.669,43.657,0.0,58.839,33.197,33.197,149.69
INST0204_N18_N24_P005,56.4,3.413,94.965,0.0,16.848,14.003,94.965,24.705,64.653,28.595,56.4,0.0,28.595,37.312,81.517,37.312,64.653,24.705,37.312,56.4,178.677,3.413,81.517,56.4,0.0,28.595,94.965,24.705,14.003,37.312,3.413,37.312,56.4,14.003,24.705,24.705,94.965
INST0204_N18_N24_D005,35.041,28.727,122.983,28.595,24.088,25.326,122.983,21.127,79.42,0.0,35.041,28.595,0.0,43.511,99.392,43.511,79.42,21.127,43.511,35.041,153.452,28.727,99.392,35.041,28.595,0.0,122.983,21.127,25.326,43.511,28.727,43.511,35.041,25.326,21.127,21.127,122.983
INST0204_N18_N24_P006,43.657,33.929,114.14,37.312,23.01,49.306,114.14,22.387,101.428,43.511,43.657,37.312,43.511,0.0,57.966,0.0,101.428,22.387,0.0,43.657,160.581,33.929,57.966,43.657,37.312,43.511,114.14,22.387,49.306,0.0,33.929,0.0,43.657,49.306,22.387,22.387,114.14
INST0204_N18_N24_D006,99.467,78.656,104.211,81.517,75.654,95.498,104.211,78.919,131.605,99.392,99.467,81.517,99.392,57.966,0.0,57.966,131.605,78.919,57.966,99.467,203.198,78.656,0.0,99.467,81.517,99.392,104.211,78.919,95.498,57.966,78.656,57.966,99.467,95.498,78.919,78.919,104.211
INST0204_N18_N24_P007,43.657,33.929,114.14,37.312,23.01,49.306,114.14,22.387,101.428,43.511,43.657,37.312,43.511,0.0,57.966,0.0,101.428,22.387,0.0,43.657,160.581,33.929,57.966,43.657,37.312,43.511,114.14,22.387,49.306,0.0,33.929,0.0,43.657,49.306,22.387,22.387,114.14
INST0204_N18_N24_D007,114.332,67.88,79.694,64.653,81.208,56.35,79.694,87.893,0.0,79.42,114.332,64.653,79.42,101.428,131.605,101.428,0.0,87.893,101.428,114.332,229.986,67.88,131.605,114.332,64.653,79.42,79.694,87.893,56.35,101.428,67.88,101.428,114.332,56.35,87.893,87.893,79.694
INST0204_N18_N24_P008,33.197,22.322,116.493,24.705,8.817,31.992,116.493,0.0,87.893,21.127,33.197,24.705,21.127,22.387,78.919,22.387,87.893,0.0,22.387,33.197,155.714,22.322,78.919,33.197,24.705,21.127,116.493,0.0,31.992,22.387,22.322,22.387,33.197,31.992,0.0,0.0,116.493
INST0204_N18_N24_D008,43.657,33.929,114.14,37.312,23.01,49.306,114.14,22.387,101.428,43.511,43.657,37.312,43.511,0.0,57.966,0.0,101.428,22.387,0.0,43.657,160.581,33.929,57.966,43.657,37.312,43.511,114.14,22.387,49.306,0.0,33.929,0.0,43.657,49.306,22.387,22.387,114.14
INST0204_N18_N24_P009,0.0,54.669,149.69,56.4,41.993,58.839,149.69,33.197,114.332,35.041,0.0,56.4,35.041,43.657,99.467,43.657,114.332,33.197,43.657,0.0,122.582,54.669,99.467,0.0,56.4,35.041,149.69,33.197,58.839,43.657,54.669,43.657,0.0,58.839,33.197,33.197,149.69
INST0204_N18_N24_D009,122.582,177.15,272.117,178.677,164.529,178.773,272.117,155.714,229.986,153.452,122.582,178.677,153.452,160.581,203.198,160.581,229.986,155.714,160.581,122.582,0.0,177.15,203.198,122.582,178.677,153.452,272.117,155.714,178.773,160.581,177.15,160.581,122.582,178.773,155.714,155.714,272.117
INST0204_N18_N24_P010,54.669,0.0,95.867,3.413,14.053,17.072,95.867,22.322,67.88,28.727,54.669,3.413,28.727,33.929,78.656,33.929,67.88,22.322,33.929,54.669,177.15,0.0,78.656,54.669,3.413,28.727,95.867,22.322,17.072,33.929,0.0,33.929,54.669,17.072,22.322,22.322,95.867
INST0204_N18_N24_D010,99.467,78.656,104.211,81.517,75.654,95.498,104.211,78.919,131.605,99.392,99.467,81.517,99.392,57.966,0.0,57.966,131.605,78.919,57.966,99.467,203.198,78.656,0.0,99.467,81.517,99.392,104.211,78.919,95.498,57.966,78.656,57.966,99.467,95.498,78.919,78.919,104.211
INST0204_N18_N24_P011,0.0,54.669,149.69,56.4,41.993,58.839,149.69,33.197,114.332,35.041,0.0,56.4,35.041,43.657,99.467,43.657,114.332,33.197,43.657,0.0,122.582,54.669,99.467,0.0,56.4,35.041,149.69,33.197,58.839,43.657,54.669,43.657,0.0,58.839,33.197,33.197,149.69
INST0204_N18_N24_D011,56.4,3.413,94.965,0.0,16.848,14.003,94.965,24.705,64.653,28.595,56.4,0.0,28.595,37.312,81.517,37.312,64.653,24.705,37.312,56.4,178.677,3.413,81.517,56.4,0.0,28.595,94.965,24.705,14.003,37.312,3.413,37.312,56.4,14.003,24.705,24.705,94.965
INST0204_N18_N24_P012,35.041,28.727,122.983,28.595,24.088,25.326,122.983,21.127,79.42,0.0,35.041,28.595,0.0,43.511,99.392,43.511,79.42,21.127,43.511,35.041,153.452,28.727,99.392,35.041,28.595,0.0,122.983,21.127,25.326,43.511,28.727,43.511,35.041,25.326,21.127,21.127,122.983
INST0204_N18_N24_D012,149.69,95.867,0.0,94.965,107.703,99.415,0.0,116.493,79.694,122.983,149.69,94.965,122.983,114.14,104.211,114.14,79.694,116.493,114.14,149.69,272.117,95.867,104.211,149.69,94.965,122.983,0.0,116.493,99.415,114.14,95.867,114.14,149.69,99.415,116.493,116.493,0.0
INST0204_N18_N24_P013,33.197,22.322,116.493,24.705,8.817,31.992,116.493,0.0,87.893,21.127,33.197,24.705,21.127,22.387,78.919,22.387,87.893,0.0,22.387,33.197,155.714,22.322,78.919,33.197,24.705,21.127,116.493,0.0,31.992,22.387,22.322,22.387,33.197,31.992,0.0,0.0,116.493
INST0204_N18_N24_D013,58.839,17.072,99.415,14.003,26.694,0.0,99.415,31.992,56.35,25.326,58.839,14.003,25.326,49.306,95.498,49.306,56.35,31.992,49.306,58.839,178.773,17.072,95.498,58.839,14.003,25.326,99.415,31.992,0.0,49.306,17.072,49.306,58.839,0.0,31.992,31.992,99.415
INST0204_N18_N24_P014,43.657,33.929,114.14,37.312,23.01,49.306,114.14,22.387,101.428,43.511,43.657,37.312,43.511,0.0,57.966,0.0,101.428,22.387,0.0,43.657,160.581,33.929,57.966,43.657,37.312,43.511,114.14,22.387,49.306,0.0,33.929,0.0,43.657,49.306,22.387,22.387,114.14
INST0204_N18_N24_D014,54.669,0.0,95.867,3.413,14.053,17.072,95.867,22.322,67.88,28.727,54.669,3.413,28.727,33.929,78.656,33.929,67.88,22.322,33.929,54.669,177.15,0.0,78.656,54.669,3.413,28.727,95.867,22.322,17.072,33.929,0.0,33.929,54.669,17.072,22.322,22.322,95.867
