,depot,INST0248_N22_S08_P000,INST0248_N22_S08_D000,INST0248_N22_S08_P001,INST0248_N22_S08_D001,INST0248_N22_S08_P002,INST0248_N22_S08_D002,INST0248_N22_S08_P003,INST0248_N22_S08_D003,INST0248_N22_S08_P004,INST0248_N22_S08_D004,INST0248_N22_S08_P005,INST0248_N22_S08_D005,INST0248_N22_S08_P006,INST0248_N22_S08_D006,INST0248_N22_S08_P007,INST0248_N22_S08_D007,INST0248_N22_S08_P008,INST0248_N22_S08_D008,INST0248_N22_S08_P009,INST0248_N22_S08_D009,INST0248_N22_S08_P010,INST0248_N22_S08_D010,INST0248_N22_S08_P011,INST0248_N22_S08_D011,INST0248_N22_S08_P012,INST0248_N22_S08_D012,INST0248_N22_S08_P013,INST0248_N22_S08_D013,INST0248_N22_S08_P014,INST0248_N22_S08_D014,INST0248_N22_S08_P015,INST0248_N22_S08_D015,INST0248_N22_S08_P016,INST0248_N22_S08_D016,INST0248_N22_S08_P017,INST0248_N22_S08_D017,INST0248_N22_S08_P018,INST0248_N22_S08_D018,INST0248_N22_S08_P019,INST0248_N22_S08_D019,INST0248_N22_S08_P020,INST0248_N22_S08_D020,INST0248_N22_S08_P021,INST0248_N22_S08_D021
depot,0.0,74.382,71.658,74.382,6.707,32.455,61.135,51.136,71.658,29.68,51.136,29.68,117.194,32.455,74.382,61.135,77.018,71.658,6.707,6.707,29.68,0.0,74.382,8.581,117.194,51.136,61.135,32.455,71.658,74.382,8.581,61.135,71.658,32.455,6.707,29.68,6.707,6.707,74.382,61.135,32.455,77.018,74.382,51.136,71.658
INST0248_N22_S08_P000,74.382,0.0,139.086,0.0,75.176,92.948,13.307,83.129,139.086,67.557,83.129,67.557,44.98,92.948,0.0,13.307,94.398,139.086,75.176,75.176,67.557,74.382,0.0,66.815,44.98,83.129,13.307,92.948,139.086,0.0,66.815,13.307,139.086,92.948,75.176,67.557,75.176,75.176,0.0,13.307,92.948,94.398,0.0,83.129,139.086
INST0248_N22_S08_D000,71.658,139.086,0.0,139.086,67.566,46.181,126.125,67.228,0.0,72.268,67.228,72.268,183.928,46.181,139.086,126.125,138.993,0.0,67.566,67.566,72.268,71.658,139.086,80.145,183.928,67.228,126.125,46.181,0.0,139.086,80.145,126.125,0.0,46.181,67.566,72.268,67.566,67.566,139.086,126.125,46.181,138.993,139.086,67.228,0.0
INST0248_N22_S08_P001,74.382,0.0,139.086,0.0,75.176,92.948,13.307,83.129,139.086,67.557,83.129,67.557,44.98,92.948,0.0,13.307,94.398,139.086,75.176,75.176,67.557,74.382,0.0,66.815,44.98,83.129,13.307,92.948,139.086,0.0,66.815,13.307,139.086,92.948,75.176,67.557,75.176,75.176,0.0,13.307,92.948,94.398,0.0,83.129,139.086
INST0248_N22_S08_D001,6.707,75.176,67.566,75.176,0.0,26.3,61.869,44.645,67.566,24.036,44.645,24.036,118.85,26.3,75.176,61.869,83.656,67.566,0.0,0.0,24.036,6.707,75.176,13.324,118.85,44.645,61.869,26.3,67.566,75.176,13.324,61.869,67.566,26.3,0.0,24.036,0.0,0.0,75.176,61.869,26.3,83.656,75.176,44.645,67.566
INST0248_N22_S08_P002,32.455,92.948,46.181,92.948,26.3,0.0,80.067,30.556,46.181,26.348,30.556,26.348,137.848,0.0,92.948,80.067,108.949,46.181,26.3,26.3,26.348,32.455,92.948,39.549,137.848,30.556,80.067,0.0,46.181,92.948,39.549,80.067,46.181,0.0,26.3,26.348,26.3,26.3,92.948,80.067,0.0,108.949,92.948,30.556,46.181
INST0248_N22_S08_D002,61.135,13.307,126.125,13.307,61.869,80.067,0.0,72.248,126.125,55.105,72.248,55.105,57.803,80.067,13.307,0.0,87.998,126.125,61.869,61.869,55.105,61.135,13.307,53.679,57.803,72.248,0.0,80.067,126.125,13.307,53.679,0.0,126.125,80.067,61.869,55.105,61.869,61.869,13.307,0.0,80.067,87.998,13.307,72.248,126.125
INST0248_N22_S08_P003,51.136,83.129,67.228,83.129,44.645,30.556,72.248,0.0,67.228,23.863,0.0,23.863,127.137,30.556,83.129,72.248,125.848,67.228,44.645,44.645,23.863,51.136,83.129,54.293,127.137,0.0,72.248,30.556,67.228,83.129,54.293,72.248,67.228,30.556,44.645,23.863,44.645,44.645,83.129,72.248,30.556,125.848,83.129,0.0,67.228
INST0248_N22_S08_D003,71.658,139.086,0.0,139.086,67.566,46.181,126.125,67.228,0.0,72.268,67.228,72.268,183.928,46.181,139.086,126.125,138.993,0.0,67.566,67.566,72.268,71.658,139.086,80.145,183.928,67.228,126.125,46.181,0.0,139.086,80.145,126.125,0.0,46.181,67.566,72.268,67.566,67.566,139.086,126.125,46.181,138.993,139.086,67.228,0.0
INST0248_N22_S08_P004,29.68,67.557,72.268,67.557,24.036,26.348,55.105,23.863,72.268,0.0,23.863,0.0,112.533,26.348,67.557,55.105,102.142,72.268,24.036,24.036,0.0,29.68,67.557,31.149,112.533,23.863,55.105,26.348,72.268,67.557,31.149,55.105,72.268,26.348,24.036,0.0,24.036,24.036,67.557,55.105,26.348,102.142,67.557,23.863,72.268
