,depot,INST0169_N15_W19_P000,INST0169_N15_W19_D000,INST0169_N15_W19_P001,INST0169_N15_W19_D001,INST0169_N15_W19_P002,INST0169_N15_W19_D002,INST0169_N15_W19_P003,INST0169_N15_W19_D003,INST0169_N15_W19_P004,INST0169_N15_W19_D004,INST0169_N15_W19_P005,INST0169_N15_W19_D005,INST0169_N15_W19_P006,INST0169_N15_W19_D006,INST0169_N15_W19_P007,INST0169_N15_W19_D007,INST0169_N15_W19_P008,INST0169_N15_W19_D008,INST0169_N15_W19_P009,INST0169_N15_W19_D009,INST0169_N15_W19_P010,INST0169_N15_W19_D010,INST0169_N15_W19_P011,INST0169_N15_W19_D011,INST0169_N15_W19_P012,INST0169_N15_W19_D012,INST0169_N15_W19_P013,INST0169_N15_W19_D013,INST0169_N15_W19_P014,INST0169_N15_W19_D014
depot,0.0,71.944,14.722,0.0,93.687,71.944,104.634,71.944,0.0,14.722,104.062,71.944,93.687,14.722,130.825,54.132,130.825,0.0,71.944,54.132,130.825,0.0,104.062,54.132,115.807,71.944,120.757,14.722,115.807,14.722,104.634
INST0169_N15_W19_P000,71.944,0.0,57.687,71.944,22.455,0.0,55.918,0.0,71.944,57.687,32.833,0.0,22.455,57.687,58.923,20.342,58.923,71.944,0.0,20.342,58.923,71.944,32.833,20.342,43.952,0.0,50.611,57.687,43.952,57.687,55.918
INST0169_N15_W19_D000,14.722,57.687,0.0,14.722,79.708,57.687,94.442,57.687,14.722,0.0,90.122,57.687,79.708,0.0,116.61,40.846,116.61,14.722,57.687,40.846,116.61,14.722,90.122,40.846,101.402,57.687,106.091,0.0,101.402,0.0,94.442
INST0169_N15_W19_P001,0.0,71.944,14.722,0.0,93.687,71.944,104.634,71.944,0.0,14.722,104.062,71.944,93.687,14.722,130.825,54.132,130.825,0.0,71.944,54.132,130.825,0.0,104.062,54.132,115.807,71.944,120.757,14.722,115.807,14.722,104.634
INST0169_N15_W19_D001,93.687,22.455,79.708,93.687,0.0,22.455,46.518,22.455,93.687,79.708,10.426,22.455,0.0,79.708,37.477,40.063,37.477,93.687,22.455,40.063,37.477,93.687,10.426,40.063,24.4,22.455,35.196,79.708,24.4,79.708,46.518
INST0169_N15_W19_P002,71.944,0.0,57.687,71.944,22.455,0.0,55.918,0.0,71.944,57.687,32.833,0.0,22.455,57.687,58.923,20.342,58.923,71.944,0.0,20.342,58.923,71.944,32.833,20.342,43.952,0.0,50.611,57.687,43.952,57.687,55.918
INST0169_N15_W19_D002,104.634,55.918,94.442,104.634,46.518,55.918,0.0,55.918,104.634,94.442,46.592,55.918,46.518,94.442,64.172,57.646,64.172,104.634,55.918,57.646,64.172,104.634,46.592,57.646,61.821,55.918,75.918,94.442,61.821,94.442,0.0
INST0169_N15_W19_P003,71.944,0.0,57.687,71.944,22.455,0.0,55.918,0.0,71.944,57.687,32.833,0.0,22.455,57.687,58.923,20.342,58.923,71.944,0.0,20.342,58.923,71.944,32.833,20.342,43.952,0.0,50.611,57.687,43.952,57.687,55.918
INST0169_N15_W19_D003,0.0,71.944,14.722,0.0,93.687,71.944,104.634,71.944,0.0,14.722,104.062,71.944,93.687,14.722,130.825,54.132,130.825,0.0,71.944,54.132,130.825,0.0,104.062,54.132,115.807,71.944,120.757,14.722,115.807,14.722,104.634
INST0169_N15_W19_P004,14.722,57.687,0.0,14.722,79.708,57.687,94.442,57.687,14.722,0.0,90.122,57.687,79.708,0.0,116.61,40.846,116.61,14.722,57.687,40.846,116.61,14.722,90.122,40.846,101.402,57.687,106.091,0.0,101.402,0.0,94.442
