,depot,INST0033_N5_N03_P000,INST0033_N5_N03_D000,INST0033_N5_N03_P001,INST0033_N5_N03_D001,INST0033_N5_N03_P002,INST0033_N5_N03_D002,INST0033_N5_N03_P003,INST0033_N5_N03_D003,INST0033_N5_N03_P004,INST0033_N5_N03_D004
depot,0.0,46.06,77.555,23.353,77.555,77.555,52.8,30.471,66.572,2.788,20.176
INST0033_N5_N03_P000,46.06,0.0,122.247,28.616,122.247,122.247,93.371,35.653,81.232,44.646,27.111
INST0033_N5_N03_D000,77.555,122.247,0.0,100.436,0.0,0.0,65.084,93.214,85.106,78.292,95.136
INST0033_N5_N03_P001,23.353,28.616,100.436,0.0,100.436,100.436,64.86,35.534,81.17,23.461,17.254
INST0033_N5_N03_D001,77.555,122.247,0.0,100.436,0.0,0.0,65.084,93.214,85.106,78.292,95.136
INST0033_N5_N03_P002,77.555,122.247,0.0,100.436,0.0,0.0,65.084,93.214,85.106,78.292,95.136
INST0033_N5_N03_D002,52.8,93.371,65.084,64.86,65.084,65.084,0.0,82.833,107.477,55.435,71.779
INST0033_N5_N03_P003,30.471,35.653,93.214,35.534,93.214,93.214,82.833,0.0,47.339,27.709,18.283
INST0033_N5_N03_D003,66.572,81.232,85.106,81.17,85.106,85.106,107.477,47.339,0.0,64.236,64.45
INST0033_N5_N03_P004,2.788,44.646,78.292,23.461,78.292,78.292,55.435,27.709,64.236,0.0,18.229
INST0033_N5_N03_D004,20.176,27.111,95.136,17.254,95.136,95.136,71.779,18.283,64.45,18.229,0.0
