,depot,INST0291_N25_N21_P000,INST0291_N25_N21_D000,INST0291_N25_N21_P001,INST0291_N25_N21_D001,INST0291_N25_N21_P002,INST0291_N25_N21_D002,INST0291_N25_N21_P003,INST0291_N25_N21_D003,INST0291_N25_N21_P004,INST0291_N25_N21_D004,INST0291_N25_N21_P005,INST0291_N25_N21_D005,INST0291_N25_N21_P006,INST0291_N25_N21_D006,INST0291_N25_N21_P007,INST0291_N25_N21_D007,INST0291_N25_N21_P008,INST0291_N25_N21_D008,INST0291_N25_N21_P009,INST0291_N25_N21_D009,INST0291_N25_N21_P010,INST0291_N25_N21_D010,INST0291_N25_N21_P011,INST0291_N25_N21_D011,INST0291_N25_N21_P012,INST0291_N25_N21_D012,INST0291_N25_N21_P013,INST0291_N25_N21_D013,INST0291_N25_N21_P014,INST0291_N25_N21_D014,INST0291_N25_N21_P015,INST0291_N25_N21_D015,INST0291_N25_N21_P016,INST0291_N25_N21_D016,INST0291_N25_N21_P017,INST0291_N25_N21_D017,INST0291_N25_N21_P018,INST0291_N25_N21_D018,INST0291_N25_N21_P019,INST0291_N25_N21_D019,INST0291_N25_N21_P020,INST0291_N25_N21_D020,INST0291_N25_N21_P021,INST0291_N25_N21_D021,INST0291_N25_N21_P022,INST0291_N25_N21_D022,INST0291_N25_N21_P023,INST0291_N25_N21_D023,INST0291_N25_N21_P024,INST0291_N25_N21_D024
depot,0.0,17.254,35.534,19.671,23.461,19.671,23.353,64.86,132.815,28.616,0.0,28.616,20.683,19.671,0.0,35.534,23.461,28.616,35.534,35.534,28.616,35.534,23.461,17.254,125.319,0.0,81.17,23.461,17.254,19.671,100.436,23.461,0.0,28.616,20.683,19.671,100.436,35.534,64.86,35.534,19.671,35.534,28.616,28.616,35.534,35.534,132.815,19.671,100.436,23.353,81.17
INST0291_N25_N21_P000,17.254,0.0,18.283,7.201,18.229,7.201,20.176,71.779,126.352,27.111,17.254,27.111,26.126,7.201,17.254,18.283,18.229,27.111,18.283,18.283,27.111,18.283,18.229,0.0,127.166,17.254,64.45,18.229,0.0,7.201,95.136,18.229,17.254,27.111,26.126,7.201,95.136,18.283,71.779,18.283,7.201,18.283,27.111,27.111,18.283,18.283,126.352,7.201,95.136,20.176,64.45
INST0291_N25_N21_D000,35.534,18.283,0.0,18.791,27.709,18.791,30.471,82.833,122.278,35.653,35.534,35.653,40.266,18.791,35.534,0.0,27.709,35.653,0.0,0.0,35.653,0.0,27.709,18.283,131.141,35.534,47.339,27.709,18.283,18.791,93.214,27.709,35.534,35.653,40.266,18.791,93.214,0.0,82.833,0.0,18.791,0.0,35.653,35.653,0.0,0.0,122.278,18.791,93.214,30.471,47.339
INST0291_N25_N21_P001,19.671,7.201,18.791,0.0,11.477,0.0,13.759,66.32,119.262,34.294,19.671,34.294,21.8,0.0,19.671,18.791,11.477,34.294,18.791,18.791,34.294,18.791,11.477,7.201,134.365,19.671,61.784,11.477,7.201,0.0,87.958,11.477,19.671,34.294,21.8,0.0,87.958,18.791,66.32,18.791,0.0,18.791,34.294,34.294,18.791,18.791,119.262,0.0,87.958,13.759,61.784
INST0291_N25_N21_D001,23.461,18.229,27.709,11.477,0.0,11.477,2.788,55.435,110.207,44.646,23.461,44.646,13.942,11.477,23.461,27.709,0.0,44.646,27.709,27.709,44.646,27.709,0.0,18.229,144.673,23.461,64.236,0.0,18.229,11.477,78.292,0.0,23.461,44.646,13.942,11.477,78.292,27.709,55.435,27.709,11.477,27.709,44.646,44.646,27.709,27.709,110.207,11.477,78.292,2.788,64.236
INST0291_N25_N21_P002,19.671,7.201,18.791,0.0,11.477,0.0,13.759,66.32,119.262,34.294,19.671,34.294,21.8,0.0,19.671,18.791,11.477,34.294,18.791,18.791,34.294,18.791,11.477,7.201,134.365,19.671,61.784,11.477,7.201,0.0,87.958,11.477,19.671,34.294,21.8,0.0,87.958,18.791,66.32,18.791,0.0,18.791,34.294,34.294,18.791,18.791,119.262,0.0,87.958,13.759,61.784
INST0291_N25_N21_D002,23.353,20.176,30.471,13.759,2.788,13.759,0.0,52.8,109.689,46.06,23.353,46.06,11.436,13.759,23.353,30.471,2.788,46.06,30.471,30.471,46.06,30.471,2.788,20.176,145.919,23.353,66.572,2.788,20.176,13.759,77.555,2.788,23.353,46.06,11.436,13.759,77.555,30.471,52.8,30.471,13.759,30.471,46.06,46.06,30.471,30.471,109.689,13.759,77.555,0.0,66.572
INST0291_N25_N21_P003,64.86,71.779,82.833,66.32,55.435,66.32,52.8,0.0,95.428,93.371,64.86,93.371,46.019,66.32,64.86,82.833,55.435,93.371,82.833,82.833,93.371,82.833,55.435,71.779,187.822,64.86,107.477,55.435,71.779,66.32,65.084,55.435,64.86,93.371,46.019,66.32,65.084,82.833,0.0,82.833,66.32,82.833,93.371,93.371,82.833,82.833,95.428,66.32,65.084,52.8,107.477
INST0291_N25_N21_D003,132.815,126.352,122.278,119.262,110.207,119.262,109.689,95.428,0.0,153.371,132.815,153.371,113.909,119.262,132.815,122.278,110.207,153.371,122.278,122.278,153.371,122.278,110.207,126.352,252.84,132.815,104.379,110.207,126.352,119.262,32.884,110.207,132.815,153.371,113.909,119.262,32.884,122.278,95.428,122.278,119.262,122.278,153.371,153.371,122.278,122.278,0.0,119.262,32.884,109.689,104.379
INST0291_N25_N21_P004,28.616,27.111,35.653,34.294,44.646,34.294,46.06,93.371,153.371,0.0,28.616,0.0,48.052,34.294,28.616,35.653,44.646,0.0,35.653,35.653,0.0,35.653,44.646,27.111,100.108,28.616,81.232,44.646,27.111,34.294,122.247,44.646,28.616,0.0,48.052,34.294,122.247,35.653,93.371,35.653,34.294,35.653,0.0,0.0,35.653,35.653,153.371,34.294,122.247,46.06,81.232
INST0291_N25_N21_D004,0.0,17.254,35.534,19.671,23.461,19.671,23.353,64.86,132.815,28.616,0.0,28.616,20.683,19.671,0.0,35.534,23.461,28.616,35.534,35.534,28.616,35.534,23.461,17.254,125.319,0.0,81.17,23.461,17.254,19.671,100.436,23.461,0.0,28.616,20.683,19.671,100.436,35.534,64.86,35.534,19.671,35.534,28.616,28.616,35.534,35.534,132.815,19.671,100.436,23.353,81.17
INST0291_N25_N21_P005,28.616,27.111,35.653,34.294,44.646,34.294,46.06,93.371,153.371,0.0,28.616,0.0,48.052,34.294,28.616,35.653,44.646,0.0,35.653,35.653,0.0,35.653,44.646,27.111,100.108,28.616,81.232,44.646,27.111,34.294,122.247,44.646,28.616,0.0,48.052,34.294,122.247,35.653,93.371,35.653,34.294,35.653,0.0,0.0,35.653,35.653,153.371,34.294,122.247,46.06,81.232
INST0291_N25_N21_D005,20.683,26.126,40.266,21.8,13.942,21.8,11.436,46.019,113.909,48.052,20.683,48.052,0.0,21.8,20.683,40.266,13.942,48.052,40.266,40.266,48.052,40.266,13.942,26.126,145.998,20.683,77.99,13.942,26.126,21.8,81.189,13.942,20.683,48.052,0.0,21.8,81.189,40.266,46.019,40.266,21.8,40.266,48.052,48.052,40.266,40.266,113.909,21.8,81.189,11.436,77.99
