,depot,INST0118_N10_W28_P000,INST0118_N10_W28_D000,INST0118_N10_W28_P001,INST0118_N10_W28_D001,INST0118_N10_W28_P002,INST0118_N10_W28_D002,INST0118_N10_W28_P003,INST0118_N10_W28_D003,INST0118_N10_W28_P004,INST0118_N10_W28_D004,INST0118_N10_W28_P005,INST0118_N10_W28_D005,INST0118_N10_W28_P006,INST0118_N10_W28_D006,INST0118_N10_W28_P007,INST0118_N10_W28_D007,INST0118_N10_W28_P008,INST0118_N10_W28_D008,INST0118_N10_W28_P009,INST0118_N10_W28_D009
depot,0.0,40.846,0.0,40.846,0.0,40.846,0.0,0.0,57.687,0.0,57.687,57.687,0.0,14.722,106.091,40.846,90.122,79.708,14.722,0.0,109.164
INST0118_N10_W28_P000,40.846,0.0,40.846,0.0,40.846,0.0,40.846,40.846,20.342,40.846,20.342,20.342,40.846,54.132,70.903,0.0,50.28,40.063,54.132,40.846,69.129
INST0118_N10_W28_D000,0.0,40.846,0.0,40.846,0.0,40.846,0.0,0.0,57.687,0.0,57.687,57.687,0.0,14.722,106.091,40.846,90.122,79.708,14.722,0.0,109.164
INST0118_N10_W28_P001,40.846,0.0,40.846,0.0,40.846,0.0,40.846,40.846,20.342,40.846,20.342,20.342,40.846,54.132,70.903,0.0,50.28,40.063,54.132,40.846,69.129
INST0118_N10_W28_D001,0.0,40.846,0.0,40.846,0.0,40.846,0.0,0.0,57.687,0.0,57.687,57.687,0.0,14.722,106.091,40.846,90.122,79.708,14.722,0.0,109.164
INST0118_N10_W28_P002,40.846,0.0,40.846,0.0,40.846,0.0,40.846,40.846,20.342,40.846,20.342,20.342,40.846,54.132,70.903,0.0,50.28,40.063,54.132,40.846,69.129
INST0118_N10_W28_D002,0.0,40.846,0.0,40.846,0.0,40.846,0.0,0.0,57.687,0.0,57.687,57.687,0.0,14.722,106.091,40.846,90.122,79.708,14.722,0.0,109.164
INST0118_N10_W28_P003,0.0,40.846,0.0,40.846,0.0,40.846,0.0,0.0,57.687,0.0,57.687,57.687,0.0,14.722,106.091,40.846,90.122,79.708,14.722,0.0,109.164
INST0118_N10_W28_D003,57.687,20.342,57.687,20.342,57.687,20.342,57.687,57.687,0.0,57.687,0.0,0.0,57.687,71.944,50.611,20.342,32.833,22.455,71.944,57.687,51.842
INST0118_N10_W28_P004,0.0,40.846,0.0,40.846,0.0,40.846,0.0,0.0,57.687,0.0,57.687,57.687,0.0,14.722,106.091,40.846,90.122,79.708,14.722,0.0,109.164
INST0118_N10_W28_D004,57.687,20.342,57.687,20.342,57.687,20.342,57.687,57.687,0.0,57.687,0.0,0.0,57.687,71.944,50.611,20.342,32.833,22.455,71.944,57.687,51.842
INST0118_N10_W28_P005,57.687,20.342,57.687,20.342,57.687,20.342,57.687,57.687,0.0,57.687,0.0,0.0,57.687,71.944,50.611,20.342,32.833,22.455,71.944,57.687,51.842
INST0118_N10_W28_D005,0.0,40.846,0.0,40.846,0.0,40.846,0.0,0.0,57.687,0.0,57.687,57.687,0.0,14.722,106.091,40.846,90.122,79.708,14.722,0.0,109.164
INST0118_N10_W28_P006,14.722,54.132,14.722,54.132,14.722,54.132,14.722,14.722,71.944,14.722,71.944,71.944,14.722,0.0,120.757,54.132,104.062,93.687,0.0,14.722,123.055
INST0118_N10_W28_D006,106.091,70.903,106.091,70.903,106.091,70.903,106.091,106.091,50.611,106.091,50.611,50.611,106.091,120.757,0.0,70.903,29.954,35.196,120.757,106.091,28.769
INST0118_N10_W28_P007,40.846,0.0,40.846,0.0,40.846,0.0,40.846,40.846,20.342,40.846,20.342,20.342,40.846,54.132,70.903,0.0,50.28,40.063,54.132,40.846,69.129
INST0118_N10_W28_D007,90.122,50.28,90.122,50.28,90.122,50.28,90.122,90.122,32.833,90.122,32.833,32.833,90.122,104.062,29.954,50.28,0.0,10.426,104.062,90.122,19.054
INST0118_N10_W28_P008,79.708,40.063,79.708,40.063,79.708,40.063,79.708,79.708,22.455,79.708,22.455,22.455,79.708,93.687,35.196,40.063,10.426,0.0,93.687,79.708,29.48
INST0118_N10_W28_D008,14.722,54.132,14.722,54.132,14.722,54.132,14.722,14.722,71.944,14.722,71.944,71.944,14.722,0.0,120.757,54.132,104.062,93.687,0.0,14.722,123.055
INST0118_N10_W28_P009,0.0,40.846,0.0,40.846,0.0,40.846,0.0,0.0,57.687,0.0,57.687,57.687,0.0,14.722,106.091,40.846,90.122,79.708,14.722,0.0,109.164
INST0118_N10_W28_D009,109.164,69.129,109.164,69.129,109.164,69.129,109.164,109.164,51.842,109.164,51.842,51.842,109.164,123.055,28.769,69.129,19.054,29.48,123.055,109.164,0.0
