,depot,INST0031_N5_W01_P000,INST0031_N5_W01_D000,INST0031_N5_W01_P001,INST0031_N5_W01_D001,INST0031_N5_W01_P002,INST0031_N5_W01_D002,INST0031_N5_W01_P003,INST0031_N5_W01_D003,INST0031_N5_W01_P004,INST0031_N5_W01_D004
depot,0.0,30.344,20.581,41.092,26.872,0.0,14.077,14.077,35.155,20.581,18.744
INST0031_N5_W01_P000,30.344,0.0,37.477,23.199,16.399,30.344,27.544,27.544,64.172,37.477,11.735
INST0031_N5_W01_D000,20.581,37.477,0.0,35.196,24.4,20.581,10.426,10.426,46.518,0.0,29.48
INST0031_N5_W01_P001,41.092,23.199,35.196,0.0,14.239,41.092,29.954,29.954,75.918,35.196,28.769
INST0031_N5_W01_D001,26.872,16.399,24.4,14.239,0.0,26.872,16.791,16.791,61.821,24.4,16.35
INST0031_N5_W01_P002,0.0,30.344,20.581,41.092,26.872,0.0,14.077,14.077,35.155,20.581,18.744
INST0031_N5_W01_D002,14.077,27.544,10.426,29.954,16.791,14.077,0.0,0.0,46.592,10.426,19.054
INST0031_N5_W01_P003,14.077,27.544,10.426,29.954,16.791,14.077,0.0,0.0,46.592,10.426,19.054
INST0031_N5_W01_D003,35.155,64.172,46.518,75.918,61.821,35.155,46.592,46.592,0.0,46.518,52.507
INST0031_N5_W01_P004,20.581,37.477,0.0,35.196,24.4,20.581,10.426,10.426,46.518,0.0,29.48
INST0031_N5_W01_D004,18.744,11.735,29.48,28.769,16.35,18.744,19.054,19.054,52.507,29.48,0.0
