,depot,INST0224_N20_S14_P000,INST0224_N20_S14_D000,INST0224_N20_S14_P001,INST0224_N20_S14_D001,INST0224_N20_S14_P002,INST0224_N20_S14_D002,INST0224_N20_S14_P003,INST0224_N20_S14_D003,INST0224_N20_S14_P004,INST0224_N20_S14_D004,INST0224_N20_S14_P005,INST0224_N20_S14_D005,INST0224_N20_S14_P006,INST0224_N20_S14_D006,INST0224_N20_S14_P007,INST0224_N20_S14_D007,INST0224_N20_S14_P008,INST0224_N20_S14_D008,INST0224_N20_S14_P009,INST0224_N20_S14_D009,INST0224_N20_S14_P010,INST0224_N20_S14_D010,INST0224_N20_S14_P011,INST0224_N20_S14_D011,INST0224_N20_S14_P012,INST0224_N20_S14_D012,INST0224_N20_S14_P013,INST0224_N20_S14_D013,INST0224_N20_S14_P014,INST0224_N20_S14_D014,INST0224_N20_S14_P015,INST0224_N20_S14_D015,INST0224_N20_S14_P016,INST0224_N20_S14_D016,INST0224_N20_S14_P017,INST0224_N20_S14_D017,INST0224_N20_S14_P018,INST0224_N20_S14_D018,INST0224_N20_S14_P019,INST0224_N20_S14_D019
depot,0.0,7.008,25.439,54.565,58.699,44.339,25.439,0.0,10.881,25.439,32.298,0.0,58.699,25.439,43.838,65.452,43.838,7.008,122.952,10.881,65.452,25.439,7.008,58.699,7.008,54.565,122.952,58.699,43.838,54.565,7.008,25.439,7.008,0.0,10.881,58.699,10.881,44.339,0.0,32.298,44.339
INST0224_N20_S14_P000,7.008,0.0,24.239,60.745,62.898,41.761,24.239,7.008,5.477,24.239,26.505,7.008,62.898,24.239,49.927,58.521,49.927,0.0,129.526,5.477,58.521,24.239,0.0,62.898,0.0,60.745,129.526,62.898,49.927,60.745,0.0,24.239,0.0,7.008,5.477,62.898,5.477,41.761,7.008,26.505,41.761
INST0224_N20_S14_D000,25.439,24.239,0.0,55.171,83.416,19.488,0.0,25.439,19.629,0.0,21.517,25.439,83.416,0.0,45.002,59.019,45.002,24.239,124.222,19.629,59.019,0.0,24.239,83.416,24.239,55.171,124.222,83.416,45.002,55.171,24.239,0.0,24.239,25.439,19.629,83.416,19.629,19.488,25.439,21.517,19.488
INST0224_N20_S14_P001,54.565,60.745,55.171,0.0,77.092,67.889,55.171,54.565,61.394,55.171,75.908,54.565,77.092,55.171,10.867,113.587,10.867,60.745,69.589,61.394,113.587,55.171,60.745,77.092,60.745,0.0,69.589,77.092,10.867,0.0,60.745,55.171,60.745,54.565,61.394,77.092,61.394,67.889,54.565,75.908,67.889
INST0224_N20_S14_D001,58.699,62.898,83.416,77.092,0.0,102.776,83.416,58.699,68.319,83.416,88.975,58.699,0.0,83.416,71.865,113.511,71.865,62.898,123.443,68.319,113.511,83.416,62.898,0.0,62.898,77.092,123.443,0.0,71.865,77.092,62.898,83.416,62.898,58.699,68.319,0.0,68.319,102.776,58.699,88.975,102.776
INST0224_N20_S14_P002,44.339,41.761,19.488,67.889,102.776,0.0,19.488,44.339,36.46,19.488,24.954,44.339,102.776,19.488,59.003,54.903,59.003,41.761,134.327,36.46,54.903,19.488,41.761,102.776,41.761,67.889,134.327,102.776,59.003,67.889,41.761,19.488,41.761,44.339,36.46,102.776,36.46,0.0,44.339,24.954,0.0
INST0224_N20_S14_D002,25.439,24.239,0.0,55.171,83.416,19.488,0.0,25.439,19.629,0.0,21.517,25.439,83.416,0.0,45.002,59.019,45.002,24.239,124.222,19.629,59.019,0.0,24.239,83.416,24.239,55.171,124.222,83.416,45.002,55.171,24.239,0.0,24.239,25.439,19.629,83.416,19.629,19.488,25.439,21.517,19.488
INST0224_N20_S14_P003,0.0,7.008,25.439,54.565,58.699,44.339,25.439,0.0,10.881,25.439,32.298,0.0,58.699,25.439,43.838,65.452,43.838,7.008,122.952,10.881,65.452,25.439,7.008,58.699,7.008,54.565,122.952,58.699,43.838,54.565,7.008,25.439,7.008,0.0,10.881,58.699,10.881,44.339,0.0,32.298,44.339
INST0224_N20_S14_D003,10.881,5.477,19.629,61.394,68.319,36.46,19.629,10.881,0.0,19.629,21.478,10.881,68.319,19.629,50.526,55.179,50.526,5.477,130.689,0.0,55.179,19.629,5.477,68.319,5.477,61.394,130.689,68.319,50.526,61.394,5.477,19.629,5.477,10.881,0.0,68.319,0.0,36.46,10.881,21.478,36.46
INST0224_N20_S14_P004,25.439,24.239,0.0,55.171,83.416,19.488,0.0,25.439,19.629,0.0,21.517,25.439,83.416,0.0,45.002,59.019,45.002,24.239,124.222,19.629,59.019,0.0,24.239,83.416,24.239,55.171,124.222,83.416,45.002,55.171,24.239,0.0,24.239,25.439,19.629,83.416,19.629,19.488,25.439,21.517,19.488
