,depot,INST0054_N5_N24_P000,INST0054_N5_N24_D000,INST0054_N5_N24_P001,INST0054_N5_N24_D001,INST0054_N5_N24_P002,INST0054_N5_N24_D002,INST0054_N5_N24_P003,INST0054_N5_N24_D003,INST0054_N5_N24_P004,INST0054_N5_N24_D004
depot,0.0,33.197,122.582,43.657,54.669,58.839,43.657,0.0,122.582,33.197,149.69
INST0054_N5_N24_P000,33.197,0.0,155.714,22.387,22.322,31.992,22.387,33.197,155.714,0.0,116.493
INST0054_N5_N24_D000,122.582,155.714,0.0,160.581,177.15,178.773,160.581,122.582,0.0,155.714,272.117
INST0054_N5_N24_P001,43.657,22.387,160.581,0.0,33.929,49.306,0.0,43.657,160.581,22.387,114.14
INST0054_N5_N24_D001,54.669,22.322,177.15,33.929,0.0,17.072,33.929,54.669,177.15,22.322,95.867
INST0054_N5_N24_P002,58.839,31.992,178.773,49.306,17.072,0.0,49.306,58.839,178.773,31.992,99.415
INST0054_N5_N24_D002,43.657,22.387,160.581,0.0,33.929,49.306,0.0,43.657,160.581,22.387,114.14
INST0054_N5_N24_P003,0.0,33.197,122.582,43.657,54.669,58.839,43.657,0.0,122.582,33.197,149.69
INST0054_N5_N24_D003,122.582,155.714,0.0,160.581,177.15,178.773,160.581,122.582,0.0,155.714,272.117
INST0054_N5_N24_P004,33.197,0.0,155.714,22.387,22.322,31.992,22.387,33.197,155.714,0.0,116.493
INST0054_N5_N24_D004,149.69,116.493,272.117,114.14,95.867,99.415,114.14,149.69,272.117,116.493,0.0
