,depot,INST0122_N12_S02_P000,INST0122_N12_S02_D000,INST0122_N12_S02_P001,INST0122_N12_S02_D001,INST0122_N12_S02_P002,INST0122_N12_S02_D002,INST0122_N12_S02_P003,INST0122_N12_S02_D003,INST0122_N12_S02_P004,INST0122_N12_S02_D004,INST0122_N12_S02_P005,INST0122_N12_S02_D005,INST0122_N12_S02_P006,INST0122_N12_S02_D006,INST0122_N12_S02_P007,INST0122_N12_S02_D007,INST0122_N12_S02_P008,INST0122_N12_S02_D008,INST0122_N12_S02_P009,INST0122_N12_S02_D009,INST0122_N12_S02_P010,INST0122_N12_S02_D010,INST0122_N12_S02_P011,INST0122_N12_S02_D011
depot,0.0,59.019,45.002,21.517,45.002,55.171,91.902,21.517,24.239,55.171,59.019,24.239,19.488,24.239,59.019,59.019,0.0,59.019,19.488,21.517,59.019,0.0,24.239,55.171,19.488
INST0122_N12_S02_P000,59.019,0.0,103.002,37.715,103.002,113.587,150.208,37.715,58.521,113.587,0.0,58.521,54.903,58.521,0.0,0.0,59.019,0.0,54.903,37.715,0.0,59.019,58.521,113.587,54.903
INST0122_N12_S02_D000,45.002,103.002,0.0,65.388,0.0,10.867,47.206,65.388,49.927,10.867,103.002,49.927,59.003,49.927,103.002,103.002,45.002,103.002,59.003,65.388,103.002,45.002,49.927,10.867,59.003
INST0122_N12_S02_P001,21.517,37.715,65.388,0.0,65.388,75.908,112.576,0.0,26.505,75.908,37.715,26.505,24.954,26.505,37.715,37.715,21.517,37.715,24.954,0.0,37.715,21.517,26.505,75.908,24.954
INST0122_N12_S02_D001,45.002,103.002,0.0,65.388,0.0,10.867,47.206,65.388,49.927,10.867,103.002,49.927,59.003,49.927,103.002,103.002,45.002,103.002,59.003,65.388,103.002,45.002,49.927,10.867,59.003
INST0122_N12_S02_P002,55.171,113.587,10.867,75.908,10.867,0.0,36.733,75.908,60.745,0.0,113.587,60.745,67.889,60.745,113.587,113.587,55.171,113.587,67.889,75.908,113.587,55.171,60.745,0.0,67.889
INST0122_N12_S02_D002,91.902,150.208,47.206,112.576,47.206,36.733,0.0,112.576,95.708,36.733,150.208,95.708,103.829,95.708,150.208,150.208,91.902,150.208,103.829,112.576,150.208,91.902,95.708,36.733,103.829
INST0122_N12_S02_P003,21.517,37.715,65.388,0.0,65.388,75.908,112.576,0.0,26.505,75.908,37.715,26.505,24.954,26.505,37.715,37.715,21.517,37.715,24.954,0.0,37.715,21.517,26.505,75.908,24.954
INST0122_N12_S02_D003,24.239,58.521,49.927,26.505,49.927,60.745,95.708,26.505,0.0,60.745,58.521,0.0,41.761,0.0,58.521,58.521,24.239,58.521,41.761,26.505,58.521,24.239,0.0,60.745,41.761
INST0122_N12_S02_P004,55.171,113.587,10.867,75.908,10.867,0.0,36.733,75.908,60.745,0.0,113.587,60.745,67.889,60.745,113.587,113.587,55.171,113.587,67.889,75.908,113.587,55.171,60.745,0.0,67.889
INST0122_N12_S02_D004,59.019,0.0,103.002,37.715,103.002,113.587,150.208,37.715,58.521,113.587,0.0,58.521,54.903,58.521,0.0,0.0,59.019,0.0,54.903,37.715,0.0,59.019,58.521,113.587,54.903
INST0122_N12_S02_P005,24.239,58.521,49.927,26.505,49.927,60.745,95.708,26.505,0.0,60.745,58.521,0.0,41.761,0.0,58.521,58.521,24.239,58.521,41.761,26.505,58.521,24.239,0.0,60.745,41.761
INST0122_N12_S02_D005,19.488,54.903,59.003,24.954,59.003,67.889,103.829,24.954,41.761,67.889,54.903,41.761,0.0,41.761,54.903,54.903,19.488,54.903,0.0,24.954,54.903,19.488,41.761,67.889,0.0
INST0122_N12_S02_P006,24.239,58.521,49.927,26.505,49.927,60.745,95.708,26.505,0.0,60.745,58.521,0.0,41.761,0.0,58.521,58.521,24.239,58.521,41.761,26.505,58.521,24.239,0.0,60.745,41.761
