,depot,INST0170_N15_S20_P000,INST0170_N15_S20_D000,INST0170_N15_S20_P001,INST0170_N15_S20_D001,INST0170_N15_S20_P002,INST0170_N15_S20_D002,INST0170_N15_S20_P003,INST0170_N15_S20_D003,INST0170_N15_S20_P004,INST0170_N15_S20_D004,INST0170_N15_S20_P005,INST0170_N15_S20_D005,INST0170_N15_S20_P006,INST0170_N15_S20_D006,INST0170_N15_S20_P007,INST0170_N15_S20_D007,INST0170_N15_S20_P008,INST0170_N15_S20_D008,INST0170_N15_S20_P009,INST0170_N15_S20_D009,INST0170_N15_S20_P010,INST0170_N15_S20_D010,INST0170_N15_S20_P011,INST0170_N15_S20_D011,INST0170_N15_S20_P012,INST0170_N15_S20_D012,INST0170_N15_S20_P013,INST0170_N15_S20_D013,INST0170_N15_S20_P014,INST0170_N15_S20_D014
depot,0.0,21.478,0.0,19.629,50.526,50.526,0.0,50.526,21.478,68.319,0.0,21.478,0.0,68.319,5.477,68.319,61.394,5.477,19.629,21.478,10.881,19.629,61.394,61.394,55.179,36.46,61.394,50.526,55.179,68.319,21.478
INST0170_N15_S20_P000,21.478,0.0,21.478,21.517,65.388,65.388,21.478,65.388,0.0,88.975,21.478,0.0,21.478,88.975,26.505,88.975,75.908,26.505,21.517,0.0,32.298,21.517,75.908,75.908,37.715,24.954,75.908,65.388,37.715,88.975,0.0
INST0170_N15_S20_D000,0.0,21.478,0.0,19.629,50.526,50.526,0.0,50.526,21.478,68.319,0.0,21.478,0.0,68.319,5.477,68.319,61.394,5.477,19.629,21.478,10.881,19.629,61.394,61.394,55.179,36.46,61.394,50.526,55.179,68.319,21.478
INST0170_N15_S20_P001,19.629,21.517,19.629,0.0,45.002,45.002,19.629,45.002,21.517,83.416,19.629,21.517,19.629,83.416,24.239,83.416,55.171,24.239,0.0,21.517,25.439,0.0,55.171,55.171,59.019,19.488,55.171,45.002,59.019,83.416,21.517
INST0170_N15_S20_D001,50.526,65.388,50.526,45.002,0.0,0.0,50.526,0.0,65.388,71.865,50.526,65.388,50.526,71.865,49.927,71.865,10.867,49.927,45.002,65.388,43.838,45.002,10.867,10.867,103.002,59.003,10.867,0.0,103.002,71.865,65.388
INST0170_N15_S20_P002,50.526,65.388,50.526,45.002,0.0,0.0,50.526,0.0,65.388,71.865,50.526,65.388,50.526,71.865,49.927,71.865,10.867,49.927,45.002,65.388,43.838,45.002,10.867,10.867,103.002,59.003,10.867,0.0,103.002,71.865,65.388
INST0170_N15_S20_D002,0.0,21.478,0.0,19.629,50.526,50.526,0.0,50.526,21.478,68.319,0.0,21.478,0.0,68.319,5.477,68.319,61.394,5.477,19.629,21.478,10.881,19.629,61.394,61.394,55.179,36.46,61.394,50.526,55.179,68.319,21.478
INST0170_N15_S20_P003,50.526,65.388,50.526,45.002,0.0,0.0,50.526,0.0,65.388,71.865,50.526,65.388,50.526,71.865,49.927,71.865,10.867,49.927,45.002,65.388,43.838,45.002,10.867,10.867,103.002,59.003,10.867,0.0,103.002,71.865,65.388
INST0170_N15_S20_D003,21.478,0.0,21.478,21.517,65.388,65.388,21.478,65.388,0.0,88.975,21.478,0.0,21.478,88.975,26.505,88.975,75.908,26.505,21.517,0.0,32.298,21.517,75.908,75.908,37.715,24.954,75.908,65.388,37.715,88.975,0.0
INST0170_N15_S20_P004,68.319,88.975,68.319,83.416,71.865,71.865,68.319,71.865,88.975,0.0,68.319,88.975,68.319,0.0,62.898,0.0,77.092,62.898,83.416,88.975,58.699,83.416,77.092,77.092,113.511,102.776,77.092,71.865,113.511,0.0,88.975
INST0170_N15_S20_D004,0.0,21.478,0.0,19.629,50.526,50.526,0.0,50.526,21.478,68.319,0.0,21.478,0.0,68.319,5.477,68.319,61.394,5.477,19.629,21.478,10.881,19.629,61.394,61.394,55.179,36.46,61.394,50.526,55.179,68.319,21.478
INST0170_N15_S20_P005,21.478,0.0,21.478,21.517,65.388,65.388,21.478,65.388,0.0,88.975,21.478,0.0,21.478,88.975,26.505,88.975,75.908,26.505,21.517,0.0,32.298,21.517,75.908,75.908,37.715,24.954,75.908,65.388,37.715,88.975,0.0
INST0170_N15_S20_D005,0.0,21.478,0.0,19.629,50.526,50.526,0.0,50.526,21.478,68.319,0.0,21.478,0.0,68.319,5.477,68.319,61.394,5.477,19.629,21.478,10.881,19.629,61.394,61.394,55.179,36.46,61.394,50.526,55.179,68.319,21.478
INST0170_N15_S20_P006,68.319,88.975,68.319,83.416,71.865,71.865,68.319,71.865,88.975,0.0,68.319,88.975,68.319,0.0,62.898,0.0,77.092,62.898,83.416,88.975,58.699,83.416,77.092,77.092,113.511,102.776,77.092,71.865,113.511,0.0,88.975
INST0170_N15_S20_D006,5.477,26.505,5.477,24.239,49.927,49.927,5.477,49.927,26.505,62.898,5.477,26.505,5.477,62.898,0.0,62.898,60.745,0.0,24.239,26.505,7.008,24.239,60.745,60.745,58.521,41.761,60.745,49.927,58.521,62.898,26.505
INST0170_N15_S20_P007,68.319,88.975,68.319,83.416,71.865,71.865,68.319,71.865,88.975,0.0,68.319,88.975,68.319,0.0,62.898,0.0,77.092,62.898,83.416,88.975,58.699,83.416,77.092,77.092,113.511,102.776,77.092,71.865,113.511,0.0,88.975
INST0170_N15_S20_D007,61.394,75.908,61.394,55.171,10.867,10.867,61.394,10.867,75.908,77.092,61.394,75.908,61.394,77.092,60.745,77.092,0.0,60.745,55.171,75.908,54.565,55.171,0.0,0.0,113.587,67.889,0.0,10.867,113.587,77.092,75.908
