,depot,INST0128_N12_S08_P000,INST0128_N12_S08_D000,INST0128_N12_S08_P001,INST0128_N12_S08_D001,INST0128_N12_S08_P002,INST0128_N12_S08_D002,INST0128_N12_S08_P003,INST0128_N12_S08_D003,INST0128_N12_S08_P004,INST0128_N12_S08_D004,INST0128_N12_S08_P005,INST0128_N12_S08_D005,INST0128_N12_S08_P006,INST0128_N12_S08_D006,INST0128_N12_S08_P007,INST0128_N12_S08_D007,INST0128_N12_S08_P008,INST0128_N12_S08_D008,INST0128_N12_S08_P009,INST0128_N12_S08_D009,INST0128_N12_S08_P010,INST0128_N12_S08_D010,INST0128_N12_S08_P011,INST0128_N12_S08_D011
depot,0.0,62.898,7.008,5.477,49.927,7.008,129.526,5.477,95.708,60.745,95.708,60.745,7.008,26.505,0.0,5.477,24.239,60.745,24.239,24.239,41.761,62.898,95.708,58.521,62.898
INST0128_N12_S08_P000,62.898,0.0,58.699,68.319,71.865,58.699,123.443,68.319,93.449,77.092,93.449,77.092,58.699,88.975,62.898,68.319,83.416,77.092,83.416,83.416,102.776,0.0,93.449,113.511,0.0
INST0128_N12_S08_D000,7.008,58.699,0.0,10.881,43.838,0.0,122.952,10.881,89.072,54.565,89.072,54.565,0.0,32.298,7.008,10.881,25.439,54.565,25.439,25.439,44.339,58.699,89.072,65.452,58.699
INST0128_N12_S08_P001,5.477,68.319,10.881,0.0,50.526,10.881,130.689,0.0,97.061,61.394,97.061,61.394,10.881,21.478,5.477,0.0,19.629,61.394,19.629,19.629,36.46,68.319,97.061,55.179,68.319
INST0128_N12_S08_D001,49.927,71.865,43.838,50.526,0.0,43.838,80.368,50.526,47.206,10.867,47.206,10.867,43.838,65.388,49.927,50.526,45.002,10.867,45.002,45.002,59.003,71.865,47.206,103.002,71.865
INST0128_N12_S08_P002,7.008,58.699,0.0,10.881,43.838,0.0,122.952,10.881,89.072,54.565,89.072,54.565,0.0,32.298,7.008,10.881,25.439,54.565,25.439,25.439,44.339,58.699,89.072,65.452,58.699
INST0128_N12_S08_D002,129.526,123.443,122.952,130.689,80.368,122.952,0.0,130.689,33.969,69.589,33.969,69.589,122.952,145.321,129.526,130.689,124.222,69.589,124.222,124.222,134.327,123.443,33.969,183.035,123.443
INST0128_N12_S08_P003,5.477,68.319,10.881,0.0,50.526,10.881,130.689,0.0,97.061,61.394,97.061,61.394,10.881,21.478,5.477,0.0,19.629,61.394,19.629,19.629,36.46,68.319,97.061,55.179,68.319
INST0128_N12_S08_D003,95.708,93.449,89.072,97.061,47.206,89.072,33.969,97.061,0.0,36.733,0.0,36.733,89.072,112.576,95.708,97.061,91.902,36.733,91.902,91.902,103.829,93.449,0.0,150.208,93.449
INST0128_N12_S08_P004,60.745,77.092,54.565,61.394,10.867,54.565,69.589,61.394,36.733,0.0,36.733,0.0,54.565,75.908,60.745,61.394,55.171,0.0,55.171,55.171,67.889,77.092,36.733,113.587,77.092
INST0128_N12_S08_D004,95.708,93.449,89.072,97.061,47.206,89.072,33.969,97.061,0.0,36.733,0.0,36.733,89.072,112.576,95.708,97.061,91.902,36.733,91.902,91.902,103.829,93.449,0.0,150.208,93.449
INST0128_N12_S08_P005,60.745,77.092,54.565,61.394,10.867,54.565,69.589,61.394,36.733,0.0,36.733,0.0,54.565,75.908,60.745,61.394,55.171,0.0,55.171,55.171,67.889,77.092,36.733,113.587,77.092
INST0128_N12_S08_D005,7.008,58.699,0.0,10.881,43.838,0.0,122.952,10.881,89.072,54.565,89.072,54.565,0.0,32.298,7.008,10.881,25.439,54.565,25.439,25.439,44.339,58.699,89.072,65.452,58.699
INST0128_N12_S08_P006,26.505,88.975,32.298,21.478,65.388,32.298,145.321,21.478,112.576,75.908,112.576,75.908,32.298,0.0,26.505,21.478,21.517,75.908,21.517,21.517,24.954,88.975,112.576,37.715,88.975
INST0128_N12_S08_D006,0.0,62.898,7.008,5.477,49.927,7.008,129.526,5.477,95.708,60.745,95.708,60.745,7.008,26.505,0.0,5.477,24.239,60.745,24.239,24.239,41.761,62.898,95.708,58.521,62.898
INST0128_N12_S08_P007,5.477,68.319,10.881,0.0,50.526,10.881,130.689,0.0,97.061,61.394,97.061,61.394,10.881,21.478,5.477,0.0,19.629,61.394,19.629,19.629,36.46,68.319,97.061,55.179,68.319
INST0128_N12_S08_D007,24.239,83.416,25.439,19.629,45.002,25.439,124.222,19.629,91.902,55.171,91.902,55.171,25.439,21.517,24.239,19.629,0.0,55.171,0.0,0.0,19.488,83.416,91.902,59.019,83.416
INST0128_N12_S08_P008,60.745,77.092,54.565,61.394,10.867,54.565,69.589,61.394,36.733,0.0,36.733,0.0,54.565,75.908,60.745,61.394,55.171,0.0,55.171,55.171,67.889,77.092,36.733,113.587,77.092
INST0128_N12_S08_D008,24.239,83.416,25.439,19.629,45.002,25.439,124.222,19.629,91.902,55.171,91.902,55.171,25.439,21.517,24.239,19.629,0.0,55.171,0.0,0.0,19.488,83.416,91.902,59.019,83.416
INST0128_N12_S08_P009,24.239,83.416,25.439,19.629,45.002,25.439,124.222,19.629,91.902,55.171,91.902,55.171,25.439,21.517,24.239,19.629,0.0,55.171,0.0,0.0,19.488,83.416,91.902,59.019,83.416
