,depot,INST0089_N8_S29_P000,INST0089_N8_S29_D000,INST0089_N8_S29_P001,INST0089_N8_S29_D001,INST0089_N8_S29_P002,INST0089_N8_S29_D002,INST0089_N8_S29_P003,INST0089_N8_S29_D003,INST0089_N8_S29_P004,INST0089_N8_S29_D004,INST0089_N8_S29_P005,INST0089_N8_S29_D005,INST0089_N8_S29_P006,INST0089_N8_S29_D006,INST0089_N8_S29_P007,INST0089_N8_S29_D007
depot,0.0,43.838,7.008,58.699,43.838,25.439,89.072,43.838,44.339,32.298,44.339,54.565,7.008,10.881,54.565,25.439,7.008
INST0089_N8_S29_P000,43.838,0.0,49.927,71.865,0.0,45.002,47.206,0.0,59.003,65.388,59.003,10.867,49.927,50.526,10.867,45.002,49.927
INST0089_N8_S29_D000,7.008,49.927,0.0,62.898,49.927,24.239,95.708,49.927,41.761,26.505,41.761,60.745,0.0,5.477,60.745,24.239,0.0
INST0089_N8_S29_P001,58.699,71.865,62.898,0.0,71.865,83.416,93.449,71.865,102.776,88.975,102.776,77.092,62.898,68.319,77.092,83.416,62.898
INST0089_N8_S29_D001,43.838,0.0,49.927,71.865,0.0,45.002,47.206,0.0,59.003,65.388,59.003,10.867,49.927,50.526,10.867,45.002,49.927
INST0089_N8_S29_P002,25.439,45.002,24.239,83.416,45.002,0.0,91.902,45.002,19.488,21.517,19.488,55.171,24.239,19.629,55.171,0.0,24.239
INST0089_N8_S29_D002,89.072,47.206,95.708,93.449,47.206,91.902,0.0,47.206,103.829,112.576,103.829,36.733,95.708,97.061,36.733,91.902,95.708
INST0089_N8_S29_P003,43.838,0.0,49.927,71.865,0.0,45.002,47.206,0.0,59.003,65.388,59.003,10.867,49.927,50.526,10.867,45.002,49.927
INST0089_N8_S29_D003,44.339,59.003,41.761,102.776,59.003,19.488,103.829,59.003,0.0,24.954,0.0,67.889,41.761,36.46,67.889,19.488,41.761
INST0089_N8_S29_P004,32.298,65.388,26.505,88.975,65.388,21.517,112.576,65.388,24.954,0.0,24.954,75.908,26.505,21.478,75.908,21.517,26.505
INST0089_N8_S29_D004,44.339,59.003,41.761,102.776,59.003,19.488,103.829,59.003,0.0,24.954,0.0,67.889,41.761,36.46,67.889,19.488,41.761
INST0089_N8_S29_P005,54.565,10.867,60.745,77.092,10.867,55.171,36.733,10.867,67.889,75.908,67.889,0.0,60.745,61.394,0.0,55.171,60.745
INST0089_N8_S29_D005,7.008,49.927,0.0,62.898,49.927,24.239,95.708,49.927,41.761,26.505,41.761,60.745,0.0,5.477,60.745,24.239,0.0
INST0089_N8_S29_P006,10.881,50.526,5.477,68.319,50.526,19.629,97.061,50.526,36.46,21.478,36.46,61.394,5.477,0.0,61.394,19.629,5.477
INST0089_N8_S29_D006,54.565,10.867,60.745,77.092,10.867,55.171,36.733,10.867,67.889,75.908,67.889,0.0,60.745,61.394,0.0,55.171,60.745
INST0089_N8_S29_P007,25.439,45.002,24.239,83.416,45.002,0.0,91.902,45.002,19.488,21.517,19.488,55.171,24.239,19.629,55.171,0.0,24.239
INST0089_N8_S29_D007,7.008,49.927,0.0,62.898,49.927,24.239,95.708,49.927,41.761,26.505,41.761,60.745,0.0,5.477,60.745,24.239,0.0
