,depot,INST0284_N25_S14_P000,INST0284_N25_S14_D000,INST0284_N25_S14_P001,INST0284_N25_S14_D001,INST0284_N25_S14_P002,INST0284_N25_S14_D002,INST0284_N25_S14_P003,INST0284_N25_S14_D003,INST0284_N25_S14_P004,INST0284_N25_S14_D004,INST0284_N25_S14_P005,INST0284_N25_S14_D005,INST0284_N25_S14_P006,INST0284_N25_S14_D006,INST0284_N25_S14_P007,INST0284_N25_S14_D007,INST0284_N25_S14_P008,INST0284_N25_S14_D008,INST0284_N25_S14_P009,INST0284_N25_S14_D009,INST0284_N25_S14_P010,INST0284_N25_S14_D010,INST0284_N25_S14_P011,INST0284_N25_S14_D011,INST0284_N25_S14_P012,INST0284_N25_S14_D012,INST0284_N25_S14_P013,INST0284_N25_S14_D013,INST0284_N25_S14_P014,INST0284_N25_S14_D014,INST0284_N25_S14_P015,INST0284_N25_S14_D015,INST0284_N25_S14_P016,INST0284_N25_S14_D016,INST0284_N25_S14_P017,INST0284_N25_S14_D017,INST0284_N25_S14_P018,INST0284_N25_S14_D018,INST0284_N25_S14_P019,INST0284_N25_S14_D019,INST0284_N25_S14_P020,INST0284_N25_S14_D020,INST0284_N25_S14_P021,INST0284_N25_S14_D021,INST0284_N25_S14_P022,INST0284_N25_S14_D022,INST0284_N25_S14_P023,INST0284_N25_S14_D023,INST0284_N25_S14_P024,INST0284_N25_S14_D024
depot,0.0,31.149,13.324,66.815,80.145,39.549,0.0,13.324,109.068,8.581,31.149,54.293,31.149,54.293,66.815,31.149,39.549,39.549,8.581,39.549,8.581,31.149,54.293,13.324,0.0,53.679,13.324,39.549,31.149,66.815,8.581,66.815,31.149,0.0,71.877,66.815,53.679,13.324,0.0,31.149,66.815,71.877,0.0,31.149,39.549,0.0,66.815,0.0,80.145,80.145,13.324
INST0284_N25_S14_P000,31.149,0.0,24.036,67.557,72.268,26.348,31.149,24.036,112.533,29.68,0.0,23.863,0.0,23.863,67.557,0.0,26.348,26.348,29.68,26.348,29.68,0.0,23.863,24.036,31.149,55.105,24.036,26.348,0.0,67.557,29.68,67.557,0.0,31.149,102.142,67.557,55.105,24.036,31.149,0.0,67.557,102.142,31.149,0.0,26.348,31.149,67.557,31.149,72.268,72.268,24.036
INST0284_N25_S14_D000,13.324,24.036,0.0,75.176,67.566,26.3,13.324,0.0,118.85,6.707,24.036,44.645,24.036,44.645,75.176,24.036,26.3,26.3,6.707,26.3,6.707,24.036,44.645,0.0,13.324,61.869,0.0,26.3,24.036,75.176,6.707,75.176,24.036,13.324,83.656,75.176,61.869,0.0,13.324,24.036,75.176,83.656,13.324,24.036,26.3,13.324,75.176,13.324,67.566,67.566,0.0
INST0284_N25_S14_P001,66.815,67.557,75.176,0.0,139.086,92.948,66.815,75.176,44.98,74.382,67.557,83.129,67.557,83.129,0.0,67.557,92.948,92.948,74.382,92.948,74.382,67.557,83.129,75.176,66.815,13.307,75.176,92.948,67.557,0.0,74.382,0.0,67.557,66.815,94.398,0.0,13.307,75.176,66.815,67.557,0.0,94.398,66.815,67.557,92.948,66.815,0.0,66.815,139.086,139.086,75.176
INST0284_N25_S14_D001,80.145,72.268,67.566,139.086,0.0,46.181,80.145,67.566,183.928,71.658,72.268,67.228,72.268,67.228,139.086,72.268,46.181,46.181,71.658,46.181,71.658,72.268,67.228,67.566,80.145,126.125,67.566,46.181,72.268,139.086,71.658,139.086,72.268,80.145,138.993,139.086,126.125,67.566,80.145,72.268,139.086,138.993,80.145,72.268,46.181,80.145,139.086,80.145,0.0,0.0,67.566
INST0284_N25_S14_P002,39.549,26.348,26.3,92.948,46.181,0.0,39.549,26.3,137.848,32.455,26.348,30.556,26.348,30.556,92.948,26.348,0.0,0.0,32.455,0.0,32.455,26.348,30.556,26.3,39.549,80.067,26.3,0.0,26.348,92.948,32.455,92.948,26.348,39.549,108.949,92.948,80.067,26.3,39.549,26.348,92.948,108.949,39.549,26.348,0.0,39.549,92.948,39.549,46.181,46.181,26.3
INST0284_N25_S14_D002,0.0,31.149,13.324,66.815,80.145,39.549,0.0,13.324,109.068,8.581,31.149,54.293,31.149,54.293,66.815,31.149,39.549,39.549,8.581,39.549,8.581,31.149,54.293,13.324,0.0,53.679,13.324,39.549,31.149,66.815,8.581,66.815,31.149,0.0,71.877,66.815,53.679,13.324,0.0,31.149,66.815,71.877,0.0,31.149,39.549,0.0,66.815,0.0,80.145,80.145,13.324
INST0284_N25_S14_P003,13.324,24.036,0.0,75.176,67.566,26.3,13.324,0.0,118.85,6.707,24.036,44.645,24.036,44.645,75.176,24.036,26.3,26.3,6.707,26.3,6.707,24.036,44.645,0.0,13.324,61.869,0.0,26.3,24.036,75.176,6.707,75.176,24.036,13.324,83.656,75.176,61.869,0.0,13.324,24.036,75.176,83.656,13.324,24.036,26.3,13.324,75.176,13.324,67.566,67.566,0.0
INST0284_N25_S14_D003,109.068,112.533,118.85,44.98,183.928,137.848,109.068,118.85,0.0,117.194,112.533,127.137,112.533,127.137,44.98,112.533,137.848,137.848,117.194,137.848,117.194,112.533,127.137,118.85,109.068,57.803,118.85,137.848,112.533,44.98,117.194,44.98,112.533,109.068,114.428,44.98,57.803,118.85,109.068,112.533,44.98,114.428,109.068,112.533,137.848,109.068,44.98,109.068,183.928,183.928,118.85
INST0284_N25_S14_P004,8.581,29.68,6.707,74.382,71.658,32.455,8.581,6.707,117.194,0.0,29.68,51.136,29.68,51.136,74.382,29.68,32.455,32.455,0.0,32.455,0.0,29.68,51.136,6.707,8.581,61.135,6.707,32.455,29.68,74.382,0.0,74.382,29.68,8.581,77.018,74.382,61.135,6.707,8.581,29.68,74.382,77.018,8.581,29.68,32.455,8.581,74.382,8.581,71.658,71.658,6.707
