,depot,INST0203_N18_S23_P000,INST0203_N18_S23_D000,INST0203_N18_S23_P001,INST0203_N18_S23_D001,INST0203_N18_S23_P002,INST0203_N18_S23_D002,INST0203_N18_S23_P003,INST0203_N18_S23_D003,INST0203_N18_S23_P004,INST0203_N18_S23_D004,INST0203_N18_S23_P005,INST0203_N18_S23_D005,INST0203_N18_S23_P006,INST0203_N18_S23_D006,INST0203_N18_S23_P007,INST0203_N18_S23_D007,INST0203_N18_S23_P008,INST0203_N18_S23_D008,INST0203_N18_S23_P009,INST0203_N18_S23_D009,INST0203_N18_S23_P010,INST0203_N18_S23_D010,INST0203_N18_S23_P011,INST0203_N18_S23_D011,INST0203_N18_S23_P012,INST0203_N18_S23_D012,INST0203_N18_S23_P013,INST0203_N18_S23_D013,INST0203_N18_S23_P014,INST0203_N18_S23_D014,INST0203_N18_S23_P015,INST0203_N18_S23_D015,INST0203_N18_S23_P016,INST0203_N18_S23_D016,INST0203_N18_S23_P017,INST0203_N18_S23_D017
depot,0.0,29.68,6.707,8.581,77.018,61.135,8.581,61.135,117.194,61.135,74.382,8.581,117.194,8.581,6.707,61.135,8.581,8.581,6.707,6.707,51.136,71.658,32.455,29.68,77.018,74.382,6.707,6.707,29.68,6.707,8.581,32.455,74.382,51.136,117.194,6.707,117.194
INST0203_N18_S23_P000,29.68,0.0,24.036,31.149,102.142,55.105,31.149,55.105,112.533,55.105,67.557,31.149,112.533,31.149,24.036,55.105,31.149,31.149,24.036,24.036,23.863,72.268,26.348,0.0,102.142,67.557,24.036,24.036,0.0,24.036,31.149,26.348,67.557,23.863,112.533,24.036,112.533
INST0203_N18_S23_D000,6.707,24.036,0.0,13.324,83.656,61.869,13.324,61.869,118.85,61.869,75.176,13.324,118.85,13.324,0.0,61.869,13.324,13.324,0.0,0.0,44.645,67.566,26.3,24.036,83.656,75.176,0.0,0.0,24.036,0.0,13.324,26.3,75.176,44.645,118.85,0.0,118.85
INST0203_N18_S23_P001,8.581,31.149,13.324,0.0,71.877,53.679,0.0,53.679,109.068,53.679,66.815,0.0,109.068,0.0,13.324,53.679,0.0,0.0,13.324,13.324,54.293,80.145,39.549,31.149,71.877,66.815,13.324,13.324,31.149,13.324,0.0,39.549,66.815,54.293,109.068,13.324,109.068
INST0203_N18_S23_D001,77.018,102.142,83.656,71.877,0.0,87.998,71.877,87.998,114.428,87.998,94.398,71.877,114.428,71.877,83.656,87.998,71.877,71.877,83.656,83.656,125.848,138.993,108.949,102.142,0.0,94.398,83.656,83.656,102.142,83.656,71.877,108.949,94.398,125.848,114.428,83.656,114.428
INST0203_N18_S23_P002,61.135,55.105,61.869,53.679,87.998,0.0,53.679,0.0,57.803,0.0,13.307,53.679,57.803,53.679,61.869,0.0,53.679,53.679,61.869,61.869,72.248,126.125,80.067,55.105,87.998,13.307,61.869,61.869,55.105,61.869,53.679,80.067,13.307,72.248,57.803,61.869,57.803
INST0203_N18_S23_D002,8.581,31.149,13.324,0.0,71.877,53.679,0.0,53.679,109.068,53.679,66.815,0.0,109.068,0.0,13.324,53.679,0.0,0.0,13.324,13.324,54.293,80.145,39.549,31.149,71.877,66.815,13.324,13.324,31.149,13.324,0.0,39.549,66.815,54.293,109.068,13.324,109.068
INST0203_N18_S23_P003,61.135,55.105,61.869,53.679,87.998,0.0,53.679,0.0,57.803,0.0,13.307,53.679,57.803,53.679,61.869,0.0,53.679,53.679,61.869,61.869,72.248,126.125,80.067,55.105,87.998,13.307,61.869,61.869,55.105,61.869,53.679,80.067,13.307,72.248,57.803,61.869,57.803
INST0203_N18_S23_D003,117.194,112.533,118.85,109.068,114.428,57.803,109.068,57.803,0.0,57.803,44.98,109.068,0.0,109.068,118.85,57.803,109.068,109.068,118.85,118.85,127.137,183.928,137.848,112.533,114.428,44.98,118.85,118.85,112.533,118.85,109.068,137.848,44.98,127.137,0.0,118.85,0.0
INST0203_N18_S23_P004,61.135,55.105,61.869,53.679,87.998,0.0,53.679,0.0,57.803,0.0,13.307,53.679,57.803,53.679,61.869,0.0,53.679,53.679,61.869,61.869,72.248,126.125,80.067,55.105,87.998,13.307,61.869,61.869,55.105,61.869,53.679,80.067,13.307,72.248,57.803,61.869,57.803
INST0203_N18_S23_D004,74.382,67.557,75.176,66.815,94.398,13.307,66.815,13.307,44.98,13.307,0.0,66.815,44.98,66.815,75.176,13.307,66.815,66.815,75.176,75.176,83.129,139.086,92.948,67.557,94.398,0.0,75.176,75.176,67.557,75.176,66.815,92.948,0.0,83.129,44.98,75.176,44.98
INST0203_N18_S23_P005,8.581,31.149,13.324,0.0,71.877,53.679,0.0,53.679,109.068,53.679,66.815,0.0,109.068,0.0,13.324,53.679,0.0,0.0,13.324,13.324,54.293,80.145,39.549,31.149,71.877,66.815,13.324,13.324,31.149,13.324,0.0,39.549,66.815,54.293,109.068,13.324,109.068
INST0203_N18_S23_D005,117.194,112.533,118.85,109.068,114.428,57.803,109.068,57.803,0.0,57.803,44.98,109.068,0.0,109.068,118.85,57.803,109.068,109.068,118.85,118.85,127.137,183.928,137.848,112.533,114.428,44.98,118.85,118.85,112.533,118.85,109.068,137.848,44.98,127.137,0.0,118.85,0.0
INST0203_N18_S23_P006,8.581,31.149,13.324,0.0,71.877,53.679,0.0,53.679,109.068,53.679,66.815,0.0,109.068,0.0,13.324,53.679,0.0,0.0,13.324,13.324,54.293,80.145,39.549,31.149,71.877,66.815,13.324,13.324,31.149,13.324,0.0,39.549,66.815,54.293,109.068,13.324,109.068
INST0203_N18_S23_D006,6.707,24.036,0.0,13.324,83.656,61.869,13.324,61.869,118.85,61.869,75.176,13.324,118.85,13.324,0.0,61.869,13.324,13.324,0.0,0.0,44.645,67.566,26.3,24.036,83.656,75.176,0.0,0.0,24.036,0.0,13.324,26.3,75.176,44.645,118.85,0.0,118.85
INST0203_N18_S23_P007,61.135,55.105,61.869,53.679,87.998,0.0,53.679,0.0,57.803,0.0,13.307,53.679,57.803,53.679,61.869,0.0,53.679,53.679,61.869,61.869,72.248,126.125,80.067,55.105,87.998,13.307,61.869,61.869,55.105,61.869,53.679,80.067,13.307,72.248,57.803,61.869,57.803
INST0203_N18_S23_D007,8.581,31.149,13.324,0.0,71.877,53.679,0.0,53.679,109.068,53.679,66.815,0.0,109.068,0.0,13.324,53.679,0.0,0.0,13.324,13.324,54.293,80.145,39.549,31.149,71.877,66.815,13.324,13.324,31.149,13.324,0.0,39.549,66.815,54.293,109.068,13.324,109.068
INST0203_N18_S23_P008,8.581,31.149,13.324,0.0,71.877,53.679,0.0,53.679,109.068,53.679,66.815,0.0,109.068,0.0,13.324,53.679,0.0,0.0,13.324,13.324,54.293,80.145,39.549,31.149,71.877,66.815,13.324,13.324,31.149,13.324,0.0,39.549,66.815,54.293,109.068,13.324,109.068
INST0203_N18_S23_D008,6.707,24.036,0.0,13.324,83.656,61.869,13.324,61.869,118.85,61.869,75.176,13.324,118.85,13.324,0.0,61.869,13.324,13.324,0.0,0.0,44.645,67.566,26.3,24.036,83.656,75.176,0.0,0.0,24.036,0.0,13.324,26.3,75.176,44.645,118.85,0.0,118.85
INST0203_N18_S23_P009,6.707,24.036,0.0,13.324,83.656,61.869,13.324,61.869,118.85,61.869,75.176,13.324,118.85,13.324,0.0,61.869,13.324,13.324,0.0,0.0,44.645,67.566,26.3,24.036,83.656,75.176,0.0,0.0,24.036,0.0,13.324,26.3,75.176,44.645,118.85,0.0,118.85
INST0203_N18_S23_D009,51.136,23.863,44.645,54.293,125.848,72.248,54.293,72.248,127.137,72.248,83.129,54.293,127.137,54.293,44.645,72.248,54.293,54.293,44.645,44.645,0.0,67.228,30.556,23.863,125.848,83.129,44.645,44.645,23.863,44.645,54.293,30.556,83.129,0.0,127.137,44.645,127.137
INST0203_N18_S23_P010,71.658,72.268,67.566,80.145,138.993,126.125,80.145,126.125,183.928,126.125,139.086,80.145,183.928,80.145,67.566,126.125,80.145,80.145,67.566,67.566,67.228,0.0,46.181,72.268,138.993,139.086,67.566,67.566,72.268,67.566,80.145,46.181,139.086,67.228,183.928,67.566,183.928
INST0203_N18_S23_D010,32.455,26.348,26.3,39.549,108.949,80.067,39.549,80.067,137.848,80.067,92.948,39.549,137.848,39.549,26.3,80.067,39.549,39.549,26.3,26.3,30.556,46.181,0.0,26.348,108.949,92.948,26.3,26.3,26.348,26.3,39.549,0.0,92.948,30.556,137.848,26.3,137.848
INST0203_N18_S23_P011,29.68,0.0,24.036,31.149,102.142,55.105,31.149,55.105,112.533,55.105,67.557,31.149,112.533,31.149,24.036,55.105,31.149,31.149,24.036,24.036,23.863,72.268,26.348,0.0,102.142,67.557,24.036,24.036,0.0,24.036,31.149,26.348,67.557,23.863,112.533,24.036,112.533
INST0203_N18_S23_D011,77.018,102.142,83.656,71.877,0.0,87.998,71.877,87.998,114.428,87.998,94.398,71.877,114.428,71.877,83.656,87.998,71.877,71.877,83.656,83.656,125.848,138.993,108.949,102.142,0.0,94.398,83.656,83.656,102.142,83.656,71.877,108.949,94.398,125.848,114.428,83.656,114.428
INST0203_N18_S23_P012,74.382,67.557,75.176,66.815,94.398,13.307,66.815,13.307,44.98,13.307,0.0,66.815,44.98,66.815,75.176,13.307,66.815,66.815,75.176,75.176,83.129,139.086,92.948,67.557,94.398,0.0,75.176,75.176,67.557,75.176,66.815,92.948,0.0,83.129,44.98,75.176,44.98
