,depot,INST0268_N22_W28_P000,INST0268_N22_W28_D000,INST0268_N22_W28_P001,INST0268_N22_W28_D001,INST0268_N22_W28_P002,INST0268_N22_W28_D002,INST0268_N22_W28_P003,INST0268_N22_W28_D003,INST0268_N22_W28_P004,INST0268_N22_W28_D004,INST0268_N22_W28_P005,INST0268_N22_W28_D005,INST0268_N22_W28_P006,INST0268_N22_W28_D006,INST0268_N22_W28_P007,INST0268_N22_W28_D007,INST0268_N22_W28_P008,INST0268_N22_W28_D008,INST0268_N22_W28_P009,INST0268_N22_W28_D009,INST0268_N22_W28_P010,INST0268_N22_W28_D010,INST0268_N22_W28_P011,INST0268_N22_W28_D011,INST0268_N22_W28_P012,INST0268_N22_W28_D012,INST0268_N22_W28_P013,INST0268_N22_W28_D013,INST0268_N22_W28_P014,INST0268_N22_W28_D014,INST0268_N22_W28_P015,INST0268_N22_W28_D015,INST0268_N22_W28_P016,INST0268_N22_W28_D016,INST0268_N22_W28_P017,INST0268_N22_W28_D017,INST0268_N22_W28_P018,INST0268_N22_W28_D018,INST0268_N22_W28_P019,INST0268_N22_W28_D019,INST0268_N22_W28_P020,INST0268_N22_W28_D020,INST0268_N22_W28_P021,INST0268_N22_W28_D021
depot,0.0,14.722,106.091,14.722,109.164,0.0,90.122,40.846,116.61,14.722,96.036,57.687,116.61,40.846,14.722,0.0,14.722,79.708,40.846,57.687,109.164,40.846,96.036,57.687,109.164,0.0,94.442,57.687,101.402,0.0,40.846,0.0,109.164,14.722,106.091,0.0,57.687,0.0,57.687,79.708,57.687,40.846,106.091,40.846,79.708
INST0268_N22_W28_P000,14.722,0.0,120.757,0.0,123.055,14.722,104.062,54.132,130.825,0.0,109.245,71.944,130.825,54.132,0.0,14.722,0.0,93.687,54.132,71.944,123.055,54.132,109.245,71.944,123.055,14.722,104.634,71.944,115.807,14.722,54.132,14.722,123.055,0.0,120.757,14.722,71.944,14.722,71.944,93.687,71.944,54.132,120.757,54.132,93.687
INST0268_N22_W28_D000,106.091,120.757,0.0,120.757,28.769,106.091,29.954,70.903,23.199,120.757,41.092,50.611,23.199,70.903,120.757,106.091,120.757,35.196,70.903,50.611,28.769,70.903,41.092,50.611,28.769,106.091,75.918,50.611,14.239,106.091,70.903,106.091,28.769,120.757,0.0,106.091,50.611,106.091,50.611,35.196,50.611,70.903,0.0,70.903,35.196
INST0268_N22_W28_P001,14.722,0.0,120.757,0.0,123.055,14.722,104.062,54.132,130.825,0.0,109.245,71.944,130.825,54.132,0.0,14.722,0.0,93.687,54.132,71.944,123.055,54.132,109.245,71.944,123.055,14.722,104.634,71.944,115.807,14.722,54.132,14.722,123.055,0.0,120.757,14.722,71.944,14.722,71.944,93.687,71.944,54.132,120.757,54.132,93.687
INST0268_N22_W28_D001,109.164,123.055,28.769,123.055,0.0,109.164,19.054,69.129,11.735,123.055,18.744,51.842,11.735,69.129,123.055,109.164,123.055,29.48,69.129,51.842,0.0,69.129,18.744,51.842,0.0,109.164,52.507,51.842,16.35,109.164,69.129,109.164,0.0,123.055,28.769,109.164,51.842,109.164,51.842,29.48,51.842,69.129,28.769,69.129,29.48
INST0268_N22_W28_P002,0.0,14.722,106.091,14.722,109.164,0.0,90.122,40.846,116.61,14.722,96.036,57.687,116.61,40.846,14.722,0.0,14.722,79.708,40.846,57.687,109.164,40.846,96.036,57.687,109.164,0.0,94.442,57.687,101.402,0.0,40.846,0.0,109.164,14.722,106.091,0.0,57.687,0.0,57.687,79.708,57.687,40.846,106.091,40.846,79.708
INST0268_N22_W28_D002,90.122,104.062,29.954,104.062,19.054,90.122,0.0,50.28,27.544,104.062,14.077,32.833,27.544,50.28,104.062,90.122,104.062,10.426,50.28,32.833,19.054,50.28,14.077,32.833,19.054,90.122,46.592,32.833,16.791,90.122,50.28,90.122,19.054,104.062,29.954,90.122,32.833,90.122,32.833,10.426,32.833,50.28,29.954,50.28,10.426
INST0268_N22_W28_P003,40.846,54.132,70.903,54.132,69.129,40.846,50.28,0.0,77.525,54.132,55.217,20.342,77.525,0.0,54.132,40.846,54.132,40.063,0.0,20.342,69.129,0.0,55.217,20.342,69.129,40.846,57.646,20.342,63.444,40.846,0.0,40.846,69.129,54.132,70.903,40.846,20.342,40.846,20.342,40.063,20.342,0.0,70.903,0.0,40.063
INST0268_N22_W28_D003,116.61,130.825,23.199,130.825,11.735,116.61,27.544,77.525,0.0,130.825,30.344,58.923,0.0,77.525,130.825,116.61,130.825,37.477,77.525,58.923,11.735,77.525,30.344,58.923,11.735,116.61,64.172,58.923,16.399,116.61,77.525,116.61,11.735,130.825,23.199,116.61,58.923,116.61,58.923,37.477,58.923,77.525,23.199,77.525,37.477
INST0268_N22_W28_P004,14.722,0.0,120.757,0.0,123.055,14.722,104.062,54.132,130.825,0.0,109.245,71.944,130.825,54.132,0.0,14.722,0.0,93.687,54.132,71.944,123.055,54.132,109.245,71.944,123.055,14.722,104.634,71.944,115.807,14.722,54.132,14.722,123.055,0.0,120.757,14.722,71.944,14.722,71.944,93.687,71.944,54.132,120.757,54.132,93.687
