,depot,INST0228_N20_N18_P000,INST0228_N20_N18_D000,INST0228_N20_N18_P001,INST0228_N20_N18_D001,INST0228_N20_N18_P002,INST0228_N20_N18_D002,INST0228_N20_N18_P003,INST0228_N20_N18_D003,INST0228_N20_N18_P004,INST0228_N20_N18_D004,INST0228_N20_N18_P005,INST0228_N20_N18_D005,INST0228_N20_N18_P006,INST0228_N20_N18_D006,INST0228_N20_N18_P007,INST0228_N20_N18_D007,INST0228_N20_N18_P008,INST0228_N20_N18_D008,INST0228_N20_N18_P009,INST0228_N20_N18_D009,INST0228_N20_N18_P010,INST0228_N20_N18_D010,INST0228_N20_N18_P011,INST0228_N20_N18_D011,INST0228_N20_N18_P012,INST0228_N20_N18_D012,INST0228_N20_N18_P013,INST0228_N20_N18_D013,INST0228_N20_N18_P014,INST0228_N20_N18_D014,INST0228_N20_N18_P015,INST0228_N20_N18_D015,INST0228_N20_N18_P016,INST0228_N20_N18_D016,INST0228_N20_N18_P017,INST0228_N20_N18_D017,INST0228_N20_N18_P018,INST0228_N20_N18_D018,INST0228_N20_N18_P019,INST0228_N20_N18_D019
depot,0.0,30.471,23.353,46.06,11.436,11.436,23.353,46.06,11.436,30.471,66.572,2.788,23.353,77.555,0.0,46.06,20.176,30.471,20.176,30.471,52.8,66.572,20.176,52.8,46.06,0.0,11.436,13.759,52.8,0.0,52.8,66.572,109.689,66.572,109.689,13.759,23.353,13.759,109.689,0.0,11.436
INST0228_N20_N18_P000,30.471,0.0,35.534,35.653,40.266,40.266,35.534,35.653,40.266,0.0,47.339,27.709,35.534,93.214,30.471,35.653,18.283,0.0,18.283,0.0,82.833,47.339,18.283,82.833,35.653,30.471,40.266,18.791,82.833,30.471,82.833,47.339,122.278,47.339,122.278,18.791,35.534,18.791,122.278,30.471,40.266
INST0228_N20_N18_D000,23.353,35.534,0.0,28.616,20.683,20.683,0.0,28.616,20.683,35.534,81.17,23.461,0.0,100.436,23.353,28.616,17.254,35.534,17.254,35.534,64.86,81.17,17.254,64.86,28.616,23.353,20.683,19.671,64.86,23.353,64.86,81.17,132.815,81.17,132.815,19.671,0.0,19.671,132.815,23.353,20.683
INST0228_N20_N18_P001,46.06,35.653,28.616,0.0,48.052,48.052,28.616,0.0,48.052,35.653,81.232,44.646,28.616,122.247,46.06,0.0,27.111,35.653,27.111,35.653,93.371,81.232,27.111,93.371,0.0,46.06,48.052,34.294,93.371,46.06,93.371,81.232,153.371,81.232,153.371,34.294,28.616,34.294,153.371,46.06,48.052
INST0228_N20_N18_D001,11.436,40.266,20.683,48.052,0.0,0.0,20.683,48.052,0.0,40.266,77.99,13.942,20.683,81.189,11.436,48.052,26.126,40.266,26.126,40.266,46.019,77.99,26.126,46.019,48.052,11.436,0.0,21.8,46.019,11.436,46.019,77.99,113.909,77.99,113.909,21.8,20.683,21.8,113.909,11.436,0.0
INST0228_N20_N18_P002,11.436,40.266,20.683,48.052,0.0,0.0,20.683,48.052,0.0,40.266,77.99,13.942,20.683,81.189,11.436,48.052,26.126,40.266,26.126,40.266,46.019,77.99,26.126,46.019,48.052,11.436,0.0,21.8,46.019,11.436,46.019,77.99,113.909,77.99,113.909,21.8,20.683,21.8,113.909,11.436,0.0
INST0228_N20_N18_D002,23.353,35.534,0.0,28.616,20.683,20.683,0.0,28.616,20.683,35.534,81.17,23.461,0.0,100.436,23.353,28.616,17.254,35.534,17.254,35.534,64.86,81.17,17.254,64.86,28.616,23.353,20.683,19.671,64.86,23.353,64.86,81.17,132.815,81.17,132.815,19.671,0.0,19.671,132.815,23.353,20.683
INST0228_N20_N18_P003,46.06,35.653,28.616,0.0,48.052,48.052,28.616,0.0,48.052,35.653,81.232,44.646,28.616,122.247,46.06,0.0,27.111,35.653,27.111,35.653,93.371,81.232,27.111,93.371,0.0,46.06,48.052,34.294,93.371,46.06,93.371,81.232,153.371,81.232,153.371,34.294,28.616,34.294,153.371,46.06,48.052
INST0228_N20_N18_D003,11.436,40.266,20.683,48.052,0.0,0.0,20.683,48.052,0.0,40.266,77.99,13.942,20.683,81.189,11.436,48.052,26.126,40.266,26.126,40.266,46.019,77.99,26.126,46.019,48.052,11.436,0.0,21.8,46.019,11.436,46.019,77.99,113.909,77.99,113.909,21.8,20.683,21.8,113.909,11.436,0.0
INST0228_N20_N18_P004,30.471,0.0,35.534,35.653,40.266,40.266,35.534,35.653,40.266,0.0,47.339,27.709,35.534,93.214,30.471,35.653,18.283,0.0,18.283,0.0,82.833,47.339,18.283,82.833,35.653,30.471,40.266,18.791,82.833,30.471,82.833,47.339,122.278,47.339,122.278,18.791,35.534,18.791,122.278,30.471,40.266
INST0228_N20_N18_D004,66.572,47.339,81.17,81.232,77.99,77.99,81.17,81.232,77.99,47.339,0.0,64.236,81.17,85.106,66.572,81.232,64.45,47.339,64.45,47.339,107.477,0.0,64.45,107.477,81.232,66.572,77.99,61.784,107.477,66.572,107.477,0.0,104.379,0.0,104.379,61.784,81.17,61.784,104.379,66.572,77.99
INST0228_N20_N18_P005,2.788,27.709,23.461,44.646,13.942,13.942,23.461,44.646,13.942,27.709,64.236,0.0,23.461,78.292,2.788,44.646,18.229,27.709,18.229,27.709,55.435,64.236,18.229,55.435,44.646,2.788,13.942,11.477,55.435,2.788,55.435,64.236,110.207,64.236,110.207,11.477,23.461,11.477,110.207,2.788,13.942
INST0228_N20_N18_D005,23.353,35.534,0.0,28.616,20.683,20.683,0.0,28.616,20.683,35.534,81.17,23.461,0.0,100.436,23.353,28.616,17.254,35.534,17.254,35.534,64.86,81.17,17.254,64.86,28.616,23.353,20.683,19.671,64.86,23.353,64.86,81.17,132.815,81.17,132.815,19.671,0.0,19.671,132.815,23.353,20.683
INST0228_N20_N18_P006,77.555,93.214,100.436,122.247,81.189,81.189,100.436,122.247,81.189,93.214,85.106,78.292,100.436,0.0,77.555,122.247,95.136,93.214,95.136,93.214,65.084,85.106,95.136,65.084,122.247,77.555,81.189,87.958,65.084,77.555,65.084,85.106,32.884,85.106,32.884,87.958,100.436,87.958,32.884,77.555,81.189
INST0228_N20_N18_D006,0.0,30.471,23.353,46.06,11.436,11.436,23.353,46.06,11.436,30.471,66.572,2.788,23.353,77.555,0.0,46.06,20.176,30.471,20.176,30.471,52.8,66.572,20.176,52.8,46.06,0.0,11.436,13.759,52.8,0.0,52.8,66.572,109.689,66.572,109.689,13.759,23.353,13.759,109.689,0.0,11.436
INST0228_N20_N18_P007,46.06,35.653,28.616,0.0,48.052,48.052,28.616,0.0,48.052,35.653,81.232,44.646,28.616,122.247,46.06,0.0,27.111,35.653,27.111,35.653,93.371,81.232,27.111,93.371,0.0,46.06,48.052,34.294,93.371,46.06,93.371,81.232,153.371,81.232,153.371,34.294,28.616,34.294,153.371,46.06,48.052
INST0228_N20_N18_D007,20.176,18.283,17.254,27.111,26.126,26.126,17.254,27.111,26.126,18.283,64.45,18.229,17.254,95.136,20.176,27.111,0.0,18.283,0.0,18.283,71.779,64.45,0.0,71.779,27.111,20.176,26.126,7.201,71.779,20.176,71.779,64.45,126.352,64.45,126.352,7.201,17.254,7.201,126.352,20.176,26.126
