,depot,INST0051_N5_N21_P000,INST0051_N5_N21_D000,INST0051_N5_N21_P001,INST0051_N5_N21_D001,INST0051_N5_N21_P002,INST0051_N5_N21_D002,INST0051_N5_N21_P003,INST0051_N5_N21_D003,INST0051_N5_N21_P004,INST0051_N5_N21_D004
depot,0.0,79.42,21.127,28.727,21.127,24.088,28.727,43.511,79.42,21.127,139.347
INST0051_N5_N21_P000,79.42,0.0,87.893,67.88,87.893,81.208,67.88,101.428,0.0,87.893,182.822
INST0051_N5_N21_D000,21.127,87.893,0.0,22.322,0.0,8.817,22.322,22.387,87.893,0.0,156.702
INST0051_N5_N21_P001,28.727,67.88,22.322,0.0,22.322,14.053,0.0,33.929,67.88,22.322,167.44
INST0051_N5_N21_D001,21.127,87.893,0.0,22.322,0.0,8.817,22.322,22.387,87.893,0.0,156.702
INST0051_N5_N21_P002,24.088,81.208,8.817,14.053,8.817,0.0,14.053,23.01,81.208,8.817,162.641
INST0051_N5_N21_D002,28.727,67.88,22.322,0.0,22.322,14.053,0.0,33.929,67.88,22.322,167.44
INST0051_N5_N21_P003,43.511,101.428,22.387,33.929,22.387,23.01,33.929,0.0,101.428,22.387,175.714
INST0051_N5_N21_D003,79.42,0.0,87.893,67.88,87.893,81.208,67.88,101.428,0.0,87.893,182.822
INST0051_N5_N21_P004,21.127,87.893,0.0,22.322,0.0,8.817,22.322,22.387,87.893,0.0,156.702
INST0051_N5_N21_D004,139.347,182.822,156.702,167.44,156.702,162.641,167.44,175.714,182.822,156.702,0.0
