,depot,INST0109_N10_W19_P000,INST0109_N10_W19_D000,INST0109_N10_W19_P001,INST0109_N10_W19_D001,INST0109_N10_W19_P002,INST0109_N10_W19_D002,INST0109_N10_W19_P003,INST0109_N10_W19_D003,INST0109_N10_W19_P004,INST0109_N10_W19_D004,INST0109_N10_W19_P005,INST0109_N10_W19_D005,INST0109_N10_W19_P006,INST0109_N10_W19_D006,INST0109_N10_W19_P007,INST0109_N10_W19_D007,INST0109_N10_W19_P008,INST0109_N10_W19_D008,INST0109_N10_W19_P009,INST0109_N10_W19_D009
depot,0.0,88.095,127.423,88.095,150.679,0.0,66.284,18.026,0.0,88.095,66.284,88.095,66.284,18.026,160.194,88.095,0.0,0.0,66.284,66.284,128.123
INST0109_N10_W19_P000,88.095,0.0,40.204,0.0,63.48,88.095,24.909,70.637,88.095,0.0,24.909,0.0,24.909,70.637,72.151,0.0,88.095,88.095,24.909,24.909,68.471
INST0109_N10_W19_D000,127.423,40.204,0.0,40.204,23.331,127.423,61.567,110.354,127.423,40.204,61.567,40.204,61.567,110.354,33.728,40.204,127.423,127.423,61.567,61.567,57.051
INST0109_N10_W19_P001,88.095,0.0,40.204,0.0,63.48,88.095,24.909,70.637,88.095,0.0,24.909,0.0,24.909,70.637,72.151,0.0,88.095,88.095,24.909,24.909,68.471
INST0109_N10_W19_D001,150.679,63.48,23.331,63.48,0.0,150.679,84.648,133.671,150.679,63.48,84.648,63.48,84.648,133.671,14.369,63.48,150.679,150.679,84.648,84.648,64.294
INST0109_N10_W19_P002,0.0,88.095,127.423,88.095,150.679,0.0,66.284,18.026,0.0,88.095,66.284,88.095,66.284,18.026,160.194,88.095,0.0,0.0,66.284,66.284,128.123
INST0109_N10_W19_D002,66.284,24.909,61.567,24.909,84.648,66.284,0.0,50.015,66.284,24.909,0.0,24.909,0.0,50.015,94.929,24.909,66.284,66.284,0.0,0.0,70.587
INST0109_N10_W19_P003,18.026,70.637,110.354,70.637,133.671,18.026,50.015,0.0,18.026,70.637,50.015,70.637,50.015,0.0,142.787,70.637,18.026,18.026,50.015,50.015,115.643
INST0109_N10_W19_D003,0.0,88.095,127.423,88.095,150.679,0.0,66.284,18.026,0.0,88.095,66.284,88.095,66.284,18.026,160.194,88.095,0.0,0.0,66.284,66.284,128.123
INST0109_N10_W19_P004,88.095,0.0,40.204,0.0,63.48,88.095,24.909,70.637,88.095,0.0,24.909,0.0,24.909,70.637,72.151,0.0,88.095,88.095,24.909,24.909,68.471
INST0109_N10_W19_D004,66.284,24.909,61.567,24.909,84.648,66.284,0.0,50.015,66.284,24.909,0.0,24.909,0.0,50.015,94.929,24.909,66.284,66.284,0.0,0.0,70.587
INST0109_N10_W19_P005,88.095,0.0,40.204,0.0,63.48,88.095,24.909,70.637,88.095,0.0,24.909,0.0,24.909,70.637,72.151,0.0,88.095,88.095,24.909,24.909,68.471
INST0109_N10_W19_D005,66.284,24.909,61.567,24.909,84.648,66.284,0.0,50.015,66.284,24.909,0.0,24.909,0.0,50.015,94.929,24.909,66.284,66.284,0.0,0.0,70.587
INST0109_N10_W19_P006,18.026,70.637,110.354,70.637,133.671,18.026,50.015,0.0,18.026,70.637,50.015,70.637,50.015,0.0,142.787,70.637,18.026,18.026,50.015,50.015,115.643
INST0109_N10_W19_D006,160.194,72.151,33.728,72.151,14.369,160.194,94.929,142.787,160.194,72.151,94.929,72.151,94.929,142.787,0.0,72.151,160.194,160.194,94.929,94.929,78.578
INST0109_N10_W19_P007,88.095,0.0,40.204,0.0,63.48,88.095,24.909,70.637,88.095,0.0,24.909,0.0,24.909,70.637,72.151,0.0,88.095,88.095,24.909,24.909,68.471
INST0109_N10_W19_D007,0.0,88.095,127.423,88.095,150.679,0.0,66.284,18.026,0.0,88.095,66.284,88.095,66.284,18.026,160.194,88.095,0.0,0.0,66.284,66.284,128.123
INST0109_N10_W19_P008,0.0,88.095,127.423,88.095,150.679,0.0,66.284,18.026,0.0,88.095,66.284,88.095,66.284,18.026,160.194,88.095,0.0,0.0,66.284,66.284,128.123
INST0109_N10_W19_D008,66.284,24.909,61.567,24.909,84.648,66.284,0.0,50.015,66.284,24.909,0.0,24.909,0.0,50.015,94.929,24.909,66.284,66.284,0.0,0.0,70.587
INST0109_N10_W19_P009,66.284,24.909,61.567,24.909,84.648,66.284,0.0,50.015,66.284,24.909,0.0,24.909,0.0,50.015,94.929,24.909,66.284,66.284,0.0,0.0,70.587
INST0109_N10_W19_D009,128.123,68.471,57.051,68.471,64.294,128.123,70.587,115.643,128.123,68.471,70.587,68.471,70.587,115.643,78.578,68.471,128.123,128.123,70.587,70.587,0.0
