,depot,INST0039_N5_N09_P000,INST0039_N5_N09_D000,INST0039_N5_N09_P001,INST0039_N5_N09_D001,INST0039_N5_N09_P002,INST0039_N5_N09_D002,INST0039_N5_N09_P003,INST0039_N5_N09_D003,INST0039_N5_N09_P004,INST0039_N5_N09_D004
depot,0.0,48.052,44.646,0.0,28.616,27.111,35.653,46.06,48.052,27.111,81.232
INST0039_N5_N09_P000,48.052,0.0,13.942,48.052,20.683,26.126,40.266,11.436,0.0,26.126,77.99
INST0039_N5_N09_D000,44.646,13.942,0.0,44.646,23.461,18.229,27.709,2.788,13.942,18.229,64.236
INST0039_N5_N09_P001,0.0,48.052,44.646,0.0,28.616,27.111,35.653,46.06,48.052,27.111,81.232
INST0039_N5_N09_D001,28.616,20.683,23.461,28.616,0.0,17.254,35.534,23.353,20.683,17.254,81.17
INST0039_N5_N09_P002,27.111,26.126,18.229,27.111,17.254,0.0,18.283,20.176,26.126,0.0,64.45
INST0039_N5_N09_D002,35.653,40.266,27.709,35.653,35.534,18.283,0.0,30.471,40.266,18.283,47.339
INST0039_N5_N09_P003,46.06,11.436,2.788,46.06,23.353,20.176,30.471,0.0,11.436,20.176,66.572
INST0039_N5_N09_D003,48.052,0.0,13.942,48.052,20.683,26.126,40.266,11.436,0.0,26.126,77.99
INST0039_N5_N09_P004,27.111,26.126,18.229,27.111,17.254,0.0,18.283,20.176,26.126,0.0,64.45
INST0039_N5_N09_D004,81.232,77.99,64.236,81.232,81.17,64.45,47.339,66.572,77.99,64.45,0.0
