,depot,INST0210_N20_N00_P000,INST0210_N20_N00_D000,INST0210_N20_N00_P001,INST0210_N20_N00_D001,INST0210_N20_N00_P002,INST0210_N20_N00_D002,INST0210_N20_N00_P003,INST0210_N20_N00_D003,INST0210_N20_N00_P004,INST0210_N20_N00_D004,INST0210_N20_N00_P005,INST0210_N20_N00_D005,INST0210_N20_N00_P006,INST0210_N20_N00_D006,INST0210_N20_N00_P007,INST0210_N20_N00_D007,INST0210_N20_N00_P008,INST0210_N20_N00_D008,INST0210_N20_N00_P009,INST0210_N20_N00_D009,INST0210_N20_N00_P010,INST0210_N20_N00_D010,INST0210_N20_N00_P011,INST0210_N20_N00_D011,INST0210_N20_N00_P012,INST0210_N20_N00_D012,INST0210_N20_N00_P013,INST0210_N20_N00_D013,INST0210_N20_N00_P014,INST0210_N20_N00_D014,INST0210_N20_N00_P015,INST0210_N20_N00_D015,INST0210_N20_N00_P016,INST0210_N20_N00_D016,INST0210_N20_N00_P017,INST0210_N20_N00_D017,INST0210_N20_N00_P018,INST0210_N20_N00_D018,INST0210_N20_N00_P019,INST0210_N20_N00_D019
depot,0.0,0.0,16.848,26.694,162.641,75.654,14.053,75.654,146.035,0.0,41.993,24.088,75.654,8.817,41.993,23.01,146.035,14.053,146.035,41.993,75.654,24.088,0.0,16.848,24.088,81.208,107.703,24.088,41.993,41.993,24.088,75.654,24.088,41.993,81.208,8.817,24.088,23.01,26.694,14.053,8.817
INST0210_N20_N00_P000,0.0,0.0,16.848,26.694,162.641,75.654,14.053,75.654,146.035,0.0,41.993,24.088,75.654,8.817,41.993,23.01,146.035,14.053,146.035,41.993,75.654,24.088,0.0,16.848,24.088,81.208,107.703,24.088,41.993,41.993,24.088,75.654,24.088,41.993,81.208,8.817,24.088,23.01,26.694,14.053,8.817
INST0210_N20_N00_D000,16.848,16.848,0.0,14.003,166.496,81.517,3.413,81.517,134.313,16.848,56.4,28.595,81.517,24.705,56.4,37.312,134.313,3.413,134.313,56.4,81.517,28.595,16.848,0.0,28.595,64.653,94.965,28.595,56.4,56.4,28.595,81.517,28.595,56.4,64.653,24.705,28.595,37.312,14.003,3.413,24.705
INST0210_N20_N00_P001,26.694,26.694,14.003,0.0,157.017,95.498,17.072,95.498,139.481,26.694,58.839,25.326,95.498,31.992,58.839,49.306,139.481,17.072,139.481,58.839,95.498,25.326,26.694,14.003,25.326,56.35,99.415,25.326,58.839,58.839,25.326,95.498,25.326,58.839,56.35,31.992,25.326,49.306,0.0,17.072,31.992
INST0210_N20_N00_D001,162.641,162.641,166.496,157.017,0.0,233.468,167.44,233.468,293.481,162.641,134.941,139.347,233.468,156.702,134.941,175.714,293.481,167.44,293.481,134.941,233.468,139.347,162.641,166.496,139.347,182.822,253.32,139.347,134.941,134.941,139.347,233.468,139.347,134.941,182.822,156.702,139.347,175.714,157.017,167.44,156.702
INST0210_N20_N00_P002,75.654,75.654,81.517,95.498,233.468,0.0,78.656,0.0,127.812,75.654,99.467,99.392,0.0,78.919,99.467,57.966,127.812,78.656,127.812,99.467,0.0,99.392,75.654,81.517,99.392,131.605,104.211,99.392,99.467,99.467,99.392,0.0,99.392,99.467,131.605,78.919,99.392,57.966,95.498,78.656,78.919
INST0210_N20_N00_D002,14.053,14.053,3.413,17.072,167.44,78.656,0.0,78.656,134.948,14.053,54.669,28.727,78.656,22.322,54.669,33.929,134.948,0.0,134.948,54.669,78.656,28.727,14.053,3.413,28.727,67.88,95.867,28.727,54.669,54.669,28.727,78.656,28.727,54.669,67.88,22.322,28.727,33.929,17.072,0.0,22.322
INST0210_N20_N00_P003,75.654,75.654,81.517,95.498,233.468,0.0,78.656,0.0,127.812,75.654,99.467,99.392,0.0,78.919,99.467,57.966,127.812,78.656,127.812,99.467,0.0,99.392,75.654,81.517,99.392,131.605,104.211,99.392,99.467,99.467,99.392,0.0,99.392,99.467,131.605,78.919,99.392,57.966,95.498,78.656,78.919
INST0210_N20_N00_D003,146.035,146.035,134.313,139.481,293.481,127.812,134.948,127.812,0.0,146.035,187.802,162.63,127.812,154.717,187.802,149.729,0.0,134.948,0.0,187.802,127.812,162.63,146.035,134.313,162.63,116.851,40.266,162.63,187.802,187.802,162.63,127.812,162.63,187.802,116.851,154.717,162.63,149.729,139.481,134.948,154.717
INST0210_N20_N00_P004,0.0,0.0,16.848,26.694,162.641,75.654,14.053,75.654,146.035,0.0,41.993,24.088,75.654,8.817,41.993,23.01,146.035,14.053,146.035,41.993,75.654,24.088,0.0,16.848,24.088,81.208,107.703,24.088,41.993,41.993,24.088,75.654,24.088,41.993,81.208,8.817,24.088,23.01,26.694,14.053,8.817
