,depot,INST0126_N12_N06_P000,INST0126_N12_N06_D000,INST0126_N12_N06_P001,INST0126_N12_N06_D001,INST0126_N12_N06_P002,INST0126_N12_N06_D002,INST0126_N12_N06_P003,INST0126_N12_N06_D003,INST0126_N12_N06_P004,INST0126_N12_N06_D004,INST0126_N12_N06_P005,INST0126_N12_N06_D005,INST0126_N12_N06_P006,INST0126_N12_N06_D006,INST0126_N12_N06_P007,INST0126_N12_N06_D007,INST0126_N12_N06_P008,INST0126_N12_N06_D008,INST0126_N12_N06_P009,INST0126_N12_N06_D009,INST0126_N12_N06_P010,INST0126_N12_N06_D010,INST0126_N12_N06_P011,INST0126_N12_N06_D011
depot,0.0,21.127,28.595,25.326,24.088,24.088,0.0,25.326,122.983,21.127,28.595,0.0,35.041,24.088,79.42,0.0,153.452,43.511,25.326,0.0,28.595,0.0,28.595,25.326,28.727
INST0126_N12_N06_P000,21.127,0.0,24.705,31.992,8.817,8.817,21.127,31.992,116.493,0.0,24.705,21.127,33.197,8.817,87.893,21.127,155.714,22.387,31.992,21.127,24.705,21.127,24.705,31.992,22.322
INST0126_N12_N06_D000,28.595,24.705,0.0,14.003,16.848,16.848,28.595,14.003,94.965,24.705,0.0,28.595,56.4,16.848,64.653,28.595,178.677,37.312,14.003,28.595,0.0,28.595,0.0,14.003,3.413
INST0126_N12_N06_P001,25.326,31.992,14.003,0.0,26.694,26.694,25.326,0.0,99.415,31.992,14.003,25.326,58.839,26.694,56.35,25.326,178.773,49.306,0.0,25.326,14.003,25.326,14.003,0.0,17.072
INST0126_N12_N06_D001,24.088,8.817,16.848,26.694,0.0,0.0,24.088,26.694,107.703,8.817,16.848,24.088,41.993,0.0,81.208,24.088,164.529,23.01,26.694,24.088,16.848,24.088,16.848,26.694,14.053
INST0126_N12_N06_P002,24.088,8.817,16.848,26.694,0.0,0.0,24.088,26.694,107.703,8.817,16.848,24.088,41.993,0.0,81.208,24.088,164.529,23.01,26.694,24.088,16.848,24.088,16.848,26.694,14.053
INST0126_N12_N06_D002,0.0,21.127,28.595,25.326,24.088,24.088,0.0,25.326,122.983,21.127,28.595,0.0,35.041,24.088,79.42,0.0,153.452,43.511,25.326,0.0,28.595,0.0,28.595,25.326,28.727
INST0126_N12_N06_P003,25.326,31.992,14.003,0.0,26.694,26.694,25.326,0.0,99.415,31.992,14.003,25.326,58.839,26.694,56.35,25.326,178.773,49.306,0.0,25.326,14.003,25.326,14.003,0.0,17.072
INST0126_N12_N06_D003,122.983,116.493,94.965,99.415,107.703,107.703,122.983,99.415,0.0,116.493,94.965,122.983,149.69,107.703,79.694,122.983,272.117,114.14,99.415,122.983,94.965,122.983,94.965,99.415,95.867
INST0126_N12_N06_P004,21.127,0.0,24.705,31.992,8.817,8.817,21.127,31.992,116.493,0.0,24.705,21.127,33.197,8.817,87.893,21.127,155.714,22.387,31.992,21.127,24.705,21.127,24.705,31.992,22.322
