,depot,INST0192_N18_N12_P000,INST0192_N18_N12_D000,INST0192_N18_N12_P001,INST0192_N18_N12_D001,INST0192_N18_N12_P002,INST0192_N18_N12_D002,INST0192_N18_N12_P003,INST0192_N18_N12_D003,INST0192_N18_N12_P004,INST0192_N18_N12_D004,INST0192_N18_N12_P005,INST0192_N18_N12_D005,INST0192_N18_N12_P006,INST0192_N18_N12_D006,INST0192_N18_N12_P007,INST0192_N18_N12_D007,INST0192_N18_N12_P008,INST0192_N18_N12_D008,INST0192_N18_N12_P009,INST0192_N18_N12_D009,INST0192_N18_N12_P010,INST0192_N18_N12_D010,INST0192_N18_N12_P011,INST0192_N18_N12_D011,INST0192_N18_N12_P012,INST0192_N18_N12_D012,INST0192_N18_N12_P013,INST0192_N18_N12_D013,INST0192_N18_N12_P014,INST0192_N18_N12_D014,INST0192_N18_N12_P015,INST0192_N18_N12_D015,INST0192_N18_N12_P016,INST0192_N18_N12_D016,INST0192_N18_N12_P017,INST0192_N18_N12_D017
depot,0.0,33.929,49.306,0.0,57.966,49.306,22.387,33.929,23.01,37.312,0.0,37.312,23.01,33.929,43.657,0.0,57.966,43.511,160.581,43.511,114.14,23.01,149.729,57.966,37.312,0.0,33.929,49.306,23.01,23.01,57.966,23.01,114.14,43.511,23.01,22.387,114.14
INST0192_N18_N12_P000,33.929,0.0,17.072,33.929,78.656,17.072,22.322,0.0,14.053,3.413,33.929,3.413,14.053,0.0,54.669,33.929,78.656,28.727,177.15,28.727,95.867,14.053,134.948,78.656,3.413,33.929,0.0,17.072,14.053,14.053,78.656,14.053,95.867,28.727,14.053,22.322,95.867
INST0192_N18_N12_D000,49.306,17.072,0.0,49.306,95.498,0.0,31.992,17.072,26.694,14.003,49.306,14.003,26.694,17.072,58.839,49.306,95.498,25.326,178.773,25.326,99.415,26.694,139.481,95.498,14.003,49.306,17.072,0.0,26.694,26.694,95.498,26.694,99.415,25.326,26.694,31.992,99.415
INST0192_N18_N12_P001,0.0,33.929,49.306,0.0,57.966,49.306,22.387,33.929,23.01,37.312,0.0,37.312,23.01,33.929,43.657,0.0,57.966,43.511,160.581,43.511,114.14,23.01,149.729,57.966,37.312,0.0,33.929,49.306,23.01,23.01,57.966,23.01,114.14,43.511,23.01,22.387,114.14
INST0192_N18_N12_D001,57.966,78.656,95.498,57.966,0.0,95.498,78.919,78.656,75.654,81.517,57.966,81.517,75.654,78.656,99.467,57.966,0.0,99.392,203.198,99.392,104.211,75.654,127.812,0.0,81.517,57.966,78.656,95.498,75.654,75.654,0.0,75.654,104.211,99.392,75.654,78.919,104.211
INST0192_N18_N12_P002,49.306,17.072,0.0,49.306,95.498,0.0,31.992,17.072,26.694,14.003,49.306,14.003,26.694,17.072,58.839,49.306,95.498,25.326,178.773,25.326,99.415,26.694,139.481,95.498,14.003,49.306,17.072,0.0,26.694,26.694,95.498,26.694,99.415,25.326,26.694,31.992,99.415
INST0192_N18_N12_D002,22.387,22.322,31.992,22.387,78.919,31.992,0.0,22.322,8.817,24.705,22.387,24.705,8.817,22.322,33.197,22.387,78.919,21.127,155.714,21.127,116.493,8.817,154.717,78.919,24.705,22.387,22.322,31.992,8.817,8.817,78.919,8.817,116.493,21.127,8.817,0.0,116.493
INST0192_N18_N12_P003,33.929,0.0,17.072,33.929,78.656,17.072,22.322,0.0,14.053,3.413,33.929,3.413,14.053,0.0,54.669,33.929,78.656,28.727,177.15,28.727,95.867,14.053,134.948,78.656,3.413,33.929,0.0,17.072,14.053,14.053,78.656,14.053,95.867,28.727,14.053,22.322,95.867
INST0192_N18_N12_D003,23.01,14.053,26.694,23.01,75.654,26.694,8.817,14.053,0.0,16.848,23.01,16.848,0.0,14.053,41.993,23.01,75.654,24.088,164.529,24.088,107.703,0.0,146.035,75.654,16.848,23.01,14.053,26.694,0.0,0.0,75.654,0.0,107.703,24.088,0.0,8.817,107.703
INST0192_N18_N12_P004,37.312,3.413,14.003,37.312,81.517,14.003,24.705,3.413,16.848,0.0,37.312,0.0,16.848,3.413,56.4,37.312,81.517,28.595,178.677,28.595,94.965,16.848,134.313,81.517,0.0,37.312,3.413,14.003,16.848,16.848,81.517,16.848,94.965,28.595,16.848,24.705,94.965
INST0192_N18_N12_D004,0.0,33.929,49.306,0.0,57.966,49.306,22.387,33.929,23.01,37.312,0.0,37.312,23.01,33.929,43.657,0.0,57.966,43.511,160.581,43.511,114.14,23.01,149.729,57.966,37.312,0.0,33.929,49.306,23.01,23.01,57.966,23.01,114.14,43.511,23.01,22.387,114.14
INST0192_N18_N12_P005,37.312,3.413,14.003,37.312,81.517,14.003,24.705,3.413,16.848,0.0,37.312,0.0,16.848,3.413,56.4,37.312,81.517,28.595,178.677,28.595,94.965,16.848,134.313,81.517,0.0,37.312,3.413,14.003,16.848,16.848,81.517,16.848,94.965,28.595,16.848,24.705,94.965
INST0192_N18_N12_D005,23.01,14.053,26.694,23.01,75.654,26.694,8.817,14.053,0.0,16.848,23.01,16.848,0.0,14.053,41.993,23.01,75.654,24.088,164.529,24.088,107.703,0.0,146.035,75.654,16.848,23.01,14.053,26.694,0.0,0.0,75.654,0.0,107.703,24.088,0.0,8.817,107.703
INST0192_N18_N12_P006,33.929,0.0,17.072,33.929,78.656,17.072,22.322,0.0,14.053,3.413,33.929,3.413,14.053,0.0,54.669,33.929,78.656,28.727,177.15,28.727,95.867,14.053,134.948,78.656,3.413,33.929,0.0,17.072,14.053,14.053,78.656,14.053,95.867,28.727,14.053,22.322,95.867
INST0192_N18_N12_D006,43.657,54.669,58.839,43.657,99.467,58.839,33.197,54.669,41.993,56.4,43.657,56.4,41.993,54.669,0.0,43.657,99.467,35.041,122.582,35.041,149.69,41.993,187.802,99.467,56.4,43.657,54.669,58.839,41.993,41.993,99.467,41.993,149.69,35.041,41.993,33.197,149.69
INST0192_N18_N12_P007,0.0,33.929,49.306,0.0,57.966,49.306,22.387,33.929,23.01,37.312,0.0,37.312,23.01,33.929,43.657,0.0,57.966,43.511,160.581,43.511,114.14,23.01,149.729,57.966,37.312,0.0,33.929,49.306,23.01,23.01,57.966,23.01,114.14,43.511,23.01,22.387,114.14
INST0192_N18_N12_D007,57.966,78.656,95.498,57.966,0.0,95.498,78.919,78.656,75.654,81.517,57.966,81.517,75.654,78.656,99.467,57.966,0.0,99.392,203.198,99.392,104.211,75.654,127.812,0.0,81.517,57.966,78.656,95.498,75.654,75.654,0.0,75.654,104.211,99.392,75.654,78.919,104.211
INST0192_N18_N12_P008,43.511,28.727,25.326,43.511,99.392,25.326,21.127,28.727,24.088,28.595,43.511,28.595,24.088,28.727,35.041,43.511,99.392,0.0,153.452,0.0,122.983,24.088,162.63,99.392,28.595,43.511,28.727,25.326,24.088,24.088,99.392,24.088,122.983,0.0,24.088,21.127,122.983
INST0192_N18_N12_D008,160.581,177.15,178.773,160.581,203.198,178.773,155.714,177.15,164.529,178.677,160.581,178.677,164.529,177.15,122.582,160.581,203.198,153.452,0.0,153.452,272.117,164.529,309.6,203.198,178.677,160.581,177.15,178.773,164.529,164.529,203.198,164.529,272.117,153.452,164.529,155.714,272.117
INST0192_N18_N12_P009,43.511,28.727,25.326,43.511,99.392,25.326,21.127,28.727,24.088,28.595,43.511,28.595,24.088,28.727,35.041,43.511,99.392,0.0,153.452,0.0,122.983,24.088,162.63,99.392,28.595,43.511,28.727,25.326,24.088,24.088,99.392,24.088,122.983,0.0,24.088,21.127,122.983
INST0192_N18_N12_D009,114.14,95.867,99.415,114.14,104.211,99.415,116.493,95.867,107.703,94.965,114.14,94.965,107.703,95.867,149.69,114.14,104.211,122.983,272.117,122.983,0.0,107.703,40.266,104.211,94.965,114.14,95.867,99.415,107.703,107.703,104.211,107.703,0.0,122.983,107.703,116.493,0.0
INST0192_N18_N12_P010,23.01,14.053,26.694,23.01,75.654,26.694,8.817,14.053,0.0,16.848,23.01,16.848,0.0,14.053,41.993,23.01,75.654,24.088,164.529,24.088,107.703,0.0,146.035,75.654,16.848,23.01,14.053,26.694,0.0,0.0,75.654,0.0,107.703,24.088,0.0,8.817,107.703
INST0192_N18_N12_D010,149.729,134.948,139.481,149.729,127.812,139.481,154.717,134.948,146.035,134.313,149.729,134.313,146.035,134.948,187.802,149.729,127.812,162.63,309.6,162.63,40.266,146.035,0.0,127.812,134.313,149.729,134.948,139.481,146.035,146.035,127.812,146.035,40.266,162.63,146.035,154.717,40.266
INST0192_N18_N12_P011,57.966,78.656,95.498,57.966,0.0,95.498,78.919,78.656,75.654,81.517,57.966,81.517,75.654,78.656,99.467,57.966,0.0,99.392,203.198,99.392,104.211,75.654,127.812,0.0,81.517,57.966,78.656,95.498,75.654,75.654,0.0,75.654,104.211,99.392,75.654,78.919,104.211
INST0192_N18_N12_D011,37.312,3.413,14.003,37.312,81.517,14.003,24.705,3.413,16.848,0.0,37.312,0.0,16.848,3.413,56.4,37.312,81.517,28.595,178.677,28.595,94.965,16.848,134.313,81.517,0.0,37.312,3.413,14.003,16.848,16.848,81.517,16.848,94.965,28.595,16.848,24.705,94.965
INST0192_N18_N12_P012,0.0,33.929,49.306,0.0,57.966,49.306,22.387,33.929,23.01,37.312,0.0,37.312,23.01,33.929,43.657,0.0,57.966,43.511,160.581,43.511,114.14,23.01,149.729,57.966,37.312,0.0,33.929,49.306,23.01,23.01,57.966,23.01,114.14,43.511,23.01,22.387,114.14
INST0192_N18_N12_D012,33.929,0.0,17.072,33.929,78.656,17.072,22.322,0.0,14.053,3.413,33.929,3.413,14.053,0.0,54.669,33.929,78.656,28.727,177.15,28.727,95.867,14.053,134.948,78.656,3.413,33.929,0.0,17.072,14.053,14.053,78.656,14.053,95.867,28.727,14.053,22.322,95.867
INST0192_N18_N12_P013,49.306,17.072,0.0,49.306,95.498,0.0,31.992,17.072,26.694,14.003,49.306,14.003,26.694,17.072,58.839,49.306,95.498,25.326,178.773,25.326,99.415,26.694,139.481,95.498,14.003,49.306,17.072,0.0,26.694,26.694,95.498,26.694,99.415,25.326,26.694,31.992,99.415
