,depot,INST0067_N8_W07_P000,INST0067_N8_W07_D000,INST0067_N8_W07_P001,INST0067_N8_W07_D001,INST0067_N8_W07_P002,INST0067_N8_W07_D002,INST0067_N8_W07_P003,INST0067_N8_W07_D003,INST0067_N8_W07_P004,INST0067_N8_W07_D004,INST0067_N8_W07_P005,INST0067_N8_W07_D005,INST0067_N8_W07_P006,INST0067_N8_W07_D006,INST0067_N8_W07_P007,INST0067_N8_W07_D007
depot,0.0,61.821,16.35,26.872,61.821,16.35,101.402,16.791,63.444,16.791,63.444,63.444,101.402,63.444,61.821,14.239,122.204
INST0067_N8_W07_P000,61.821,0.0,52.507,35.155,0.0,52.507,94.442,46.592,57.646,46.592,57.646,57.646,94.442,57.646,0.0,75.918,178.909
INST0067_N8_W07_D000,16.35,52.507,0.0,18.744,52.507,0.0,109.164,19.054,69.129,19.054,69.129,69.129,109.164,69.129,52.507,28.769,137.675
INST0067_N8_W07_P001,26.872,35.155,18.744,0.0,35.155,18.744,96.036,14.077,55.217,14.077,55.217,55.217,96.036,55.217,35.155,41.092,147.26
INST0067_N8_W07_D001,61.821,0.0,52.507,35.155,0.0,52.507,94.442,46.592,57.646,46.592,57.646,57.646,94.442,57.646,0.0,75.918,178.909
INST0067_N8_W07_P002,16.35,52.507,0.0,18.744,52.507,0.0,109.164,19.054,69.129,19.054,69.129,69.129,109.164,69.129,52.507,28.769,137.675
INST0067_N8_W07_D002,101.402,94.442,109.164,96.036,94.442,109.164,0.0,90.122,40.846,90.122,40.846,40.846,0.0,40.846,94.442,106.091,152.865
INST0067_N8_W07_P003,16.791,46.592,19.054,14.077,46.592,19.054,90.122,0.0,50.28,0.0,50.28,50.28,90.122,50.28,46.592,29.954,133.597
INST0067_N8_W07_D003,63.444,57.646,69.129,55.217,57.646,69.129,40.846,50.28,0.0,50.28,0.0,0.0,40.846,0.0,57.646,70.903,143.94
INST0067_N8_W07_P004,16.791,46.592,19.054,14.077,46.592,19.054,90.122,0.0,50.28,0.0,50.28,50.28,90.122,50.28,46.592,29.954,133.597
INST0067_N8_W07_D004,63.444,57.646,69.129,55.217,57.646,69.129,40.846,50.28,0.0,50.28,0.0,0.0,40.846,0.0,57.646,70.903,143.94
INST0067_N8_W07_P005,63.444,57.646,69.129,55.217,57.646,69.129,40.846,50.28,0.0,50.28,0.0,0.0,40.846,0.0,57.646,70.903,143.94
INST0067_N8_W07_D005,101.402,94.442,109.164,96.036,94.442,109.164,0.0,90.122,40.846,90.122,40.846,40.846,0.0,40.846,94.442,106.091,152.865
INST0067_N8_W07_P006,63.444,57.646,69.129,55.217,57.646,69.129,40.846,50.28,0.0,50.28,0.0,0.0,40.846,0.0,57.646,70.903,143.94
INST0067_N8_W07_D006,61.821,0.0,52.507,35.155,0.0,52.507,94.442,46.592,57.646,46.592,57.646,57.646,94.442,57.646,0.0,75.918,178.909
INST0067_N8_W07_P007,14.239,75.918,28.769,41.092,75.918,28.769,106.091,29.954,70.903,29.954,70.903,70.903,106.091,70.903,75.918,0.0,108.909
INST0067_N8_W07_D007,122.204,178.909,137.675,147.26,178.909,137.675,152.865,133.597,143.94,133.597,143.94,143.94,152.865,143.94,178.909,108.909,0.0
