,depot,INST0038_N5_S08_P000,INST0038_N5_S08_D000,INST0038_N5_S08_P001,INST0038_N5_S08_D001,INST0038_N5_S08_P002,INST0038_N5_S08_D002,INST0038_N5_S08_P003,INST0038_N5_S08_D003,INST0038_N5_S08_P004,INST0038_N5_S08_D004
depot,0.0,49.927,62.898,49.927,26.505,0.0,62.898,0.0,24.239,5.477,62.898
INST0038_N5_S08_P000,49.927,0.0,71.865,0.0,65.388,49.927,71.865,49.927,45.002,50.526,71.865
INST0038_N5_S08_D000,62.898,71.865,0.0,71.865,88.975,62.898,0.0,62.898,83.416,68.319,0.0
INST0038_N5_S08_P001,49.927,0.0,71.865,0.0,65.388,49.927,71.865,49.927,45.002,50.526,71.865
INST0038_N5_S08_D001,26.505,65.388,88.975,65.388,0.0,26.505,88.975,26.505,21.517,21.478,88.975
INST0038_N5_S08_P002,0.0,49.927,62.898,49.927,26.505,0.0,62.898,0.0,24.239,5.477,62.898
INST0038_N5_S08_D002,62.898,71.865,0.0,71.865,88.975,62.898,0.0,62.898,83.416,68.319,0.0
INST0038_N5_S08_P003,0.0,49.927,62.898,49.927,26.505,0.0,62.898,0.0,24.239,5.477,62.898
INST0038_N5_S08_D003,24.239,45.002,83.416,45.002,21.517,24.239,83.416,24.239,0.0,19.629,83.416
INST0038_N5_S08_P004,5.477,50.526,68.319,50.526,21.478,5.477,68.319,5.477,19.629,0.0,68.319
INST0038_N5_S08_D004,62.898,71.865,0.0,71.865,88.975,62.898,0.0,62.898,83.416,68.319,0.0
