,depot,INST0092_N10_S02_P000,INST0092_N10_S02_D000,INST0092_N10_S02_P001,INST0092_N10_S02_D001,INST0092_N10_S02_P002,INST0092_N10_S02_D002,INST0092_N10_S02_P003,INST0092_N10_S02_D003,INST0092_N10_S02_P004,INST0092_N10_S02_D004,INST0092_N10_S02_P005,INST0092_N10_S02_D005,INST0092_N10_S02_P006,INST0092_N10_S02_D006,INST0092_N10_S02_P007,INST0092_N10_S02_D007,INST0092_N10_S02_P008,INST0092_N10_S02_D008,INST0092_N10_S02_P009,INST0092_N10_S02_D009
depot,0.0,24.239,55.171,0.0,25.439,19.629,19.488,0.0,91.902,55.171,25.439,19.629,59.019,45.002,21.517,45.002,55.171,45.002,55.171,0.0,55.171
INST0092_N10_S02_P000,24.239,0.0,60.745,24.239,7.008,5.477,41.761,24.239,95.708,60.745,7.008,5.477,58.521,49.927,26.505,49.927,60.745,49.927,60.745,24.239,60.745
INST0092_N10_S02_D000,55.171,60.745,0.0,55.171,54.565,61.394,67.889,55.171,36.733,0.0,54.565,61.394,113.587,10.867,75.908,10.867,0.0,10.867,0.0,55.171,0.0
INST0092_N10_S02_P001,0.0,24.239,55.171,0.0,25.439,19.629,19.488,0.0,91.902,55.171,25.439,19.629,59.019,45.002,21.517,45.002,55.171,45.002,55.171,0.0,55.171
INST0092_N10_S02_D001,25.439,7.008,54.565,25.439,0.0,10.881,44.339,25.439,89.072,54.565,0.0,10.881,65.452,43.838,32.298,43.838,54.565,43.838,54.565,25.439,54.565
INST0092_N10_S02_P002,19.629,5.477,61.394,19.629,10.881,0.0,36.46,19.629,97.061,61.394,10.881,0.0,55.179,50.526,21.478,50.526,61.394,50.526,61.394,19.629,61.394
INST0092_N10_S02_D002,19.488,41.761,67.889,19.488,44.339,36.46,0.0,19.488,103.829,67.889,44.339,36.46,54.903,59.003,24.954,59.003,67.889,59.003,67.889,19.488,67.889
INST0092_N10_S02_P003,0.0,24.239,55.171,0.0,25.439,19.629,19.488,0.0,91.902,55.171,25.439,19.629,59.019,45.002,21.517,45.002,55.171,45.002,55.171,0.0,55.171
INST0092_N10_S02_D003,91.902,95.708,36.733,91.902,89.072,97.061,103.829,91.902,0.0,36.733,89.072,97.061,150.208,47.206,112.576,47.206,36.733,47.206,36.733,91.902,36.733
INST0092_N10_S02_P004,55.171,60.745,0.0,55.171,54.565,61.394,67.889,55.171,36.733,0.0,54.565,61.394,113.587,10.867,75.908,10.867,0.0,10.867,0.0,55.171,0.0
INST0092_N10_S02_D004,25.439,7.008,54.565,25.439,0.0,10.881,44.339,25.439,89.072,54.565,0.0,10.881,65.452,43.838,32.298,43.838,54.565,43.838,54.565,25.439,54.565
INST0092_N10_S02_P005,19.629,5.477,61.394,19.629,10.881,0.0,36.46,19.629,97.061,61.394,10.881,0.0,55.179,50.526,21.478,50.526,61.394,50.526,61.394,19.629,61.394
INST0092_N10_S02_D005,59.019,58.521,113.587,59.019,65.452,55.179,54.903,59.019,150.208,113.587,65.452,55.179,0.0,103.002,37.715,103.002,113.587,103.002,113.587,59.019,113.587
INST0092_N10_S02_P006,45.002,49.927,10.867,45.002,43.838,50.526,59.003,45.002,47.206,10.867,43.838,50.526,103.002,0.0,65.388,0.0,10.867,0.0,10.867,45.002,10.867
INST0092_N10_S02_D006,21.517,26.505,75.908,21.517,32.298,21.478,24.954,21.517,112.576,75.908,32.298,21.478,37.715,65.388,0.0,65.388,75.908,65.388,75.908,21.517,75.908
INST0092_N10_S02_P007,45.002,49.927,10.867,45.002,43.838,50.526,59.003,45.002,47.206,10.867,43.838,50.526,103.002,0.0,65.388,0.0,10.867,0.0,10.867,45.002,10.867
INST0092_N10_S02_D007,55.171,60.745,0.0,55.171,54.565,61.394,67.889,55.171,36.733,0.0,54.565,61.394,113.587,10.867,75.908,10.867,0.0,10.867,0.0,55.171,0.0
INST0092_N10_S02_P008,45.002,49.927,10.867,45.002,43.838,50.526,59.003,45.002,47.206,10.867,43.838,50.526,103.002,0.0,65.388,0.0,10.867,0.0,10.867,45.002,10.867
INST0092_N10_S02_D008,55.171,60.745,0.0,55.171,54.565,61.394,67.889,55.171,36.733,0.0,54.565,61.394,113.587,10.867,75.908,10.867,0.0,10.867,0.0,55.171,0.0
INST0092_N10_S02_P009,0.0,24.239,55.171,0.0,25.439,19.629,19.488,0.0,91.902,55.171,25.439,19.629,59.019,45.002,21.517,45.002,55.171,45.002,55.171,0.0,55.171
INST0092_N10_S02_D009,55.171,60.745,0.0,55.171,54.565,61.394,67.889,55.171,36.733,0.0,54.565,61.394,113.587,10.867,75.908,10.867,0.0,10.867,0.0,55.171,0.0
