,depot,INST0234_N20_N24_P000,INST0234_N20_N24_D000,INST0234_N20_N24_P001,INST0234_N20_N24_D001,INST0234_N20_N24_P002,INST0234_N20_N24_D002,INST0234_N20_N24_P003,INST0234_N20_N24_D003,INST0234_N20_N24_P004,INST0234_N20_N24_D004,INST0234_N20_N24_P005,INST0234_N20_N24_D005,INST0234_N20_N24_P006,INST0234_N20_N24_D006,INST0234_N20_N24_P007,INST0234_N20_N24_D007,INST0234_N20_N24_P008,INST0234_N20_N24_D008,INST0234_N20_N24_P009,INST0234_N20_N24_D009,INST0234_N20_N24_P010,INST0234_N20_N24_D010,INST0234_N20_N24_P011,INST0234_N20_N24_D011,INST0234_N20_N24_P012,INST0234_N20_N24_D012,INST0234_N20_N24_P013,INST0234_N20_N24_D013,INST0234_N20_N24_P014,INST0234_N20_N24_D014,INST0234_N20_N24_P015,INST0234_N20_N24_D015,INST0234_N20_N24_P016,INST0234_N20_N24_D016,INST0234_N20_N24_P017,INST0234_N20_N24_D017,INST0234_N20_N24_P018,INST0234_N20_N24_D018,INST0234_N20_N24_P019,INST0234_N20_N24_D019
depot,0.0,58.839,56.4,33.197,43.657,41.993,43.657,56.4,41.993,43.657,41.993,56.4,35.041,41.993,99.467,56.4,0.0,58.839,56.4,35.041,54.669,54.669,35.041,35.041,41.993,41.993,43.657,35.041,149.69,33.197,149.69,0.0,41.993,43.657,58.839,41.993,114.332,58.839,99.467,0.0,114.332
INST0234_N20_N24_P000,58.839,0.0,14.003,31.992,49.306,26.694,49.306,14.003,26.694,49.306,26.694,14.003,25.326,26.694,95.498,14.003,58.839,0.0,14.003,25.326,17.072,17.072,25.326,25.326,26.694,26.694,49.306,25.326,99.415,31.992,99.415,58.839,26.694,49.306,0.0,26.694,56.35,0.0,95.498,58.839,56.35
INST0234_N20_N24_D000,56.4,14.003,0.0,24.705,37.312,16.848,37.312,0.0,16.848,37.312,16.848,0.0,28.595,16.848,81.517,0.0,56.4,14.003,0.0,28.595,3.413,3.413,28.595,28.595,16.848,16.848,37.312,28.595,94.965,24.705,94.965,56.4,16.848,37.312,14.003,16.848,64.653,14.003,81.517,56.4,64.653
INST0234_N20_N24_P001,33.197,31.992,24.705,0.0,22.387,8.817,22.387,24.705,8.817,22.387,8.817,24.705,21.127,8.817,78.919,24.705,33.197,31.992,24.705,21.127,22.322,22.322,21.127,21.127,8.817,8.817,22.387,21.127,116.493,0.0,116.493,33.197,8.817,22.387,31.992,8.817,87.893,31.992,78.919,33.197,87.893
INST0234_N20_N24_D001,43.657,49.306,37.312,22.387,0.0,23.01,0.0,37.312,23.01,0.0,23.01,37.312,43.511,23.01,57.966,37.312,43.657,49.306,37.312,43.511,33.929,33.929,43.511,43.511,23.01,23.01,0.0,43.511,114.14,22.387,114.14,43.657,23.01,0.0,49.306,23.01,101.428,49.306,57.966,43.657,101.428
INST0234_N20_N24_P002,41.993,26.694,16.848,8.817,23.01,0.0,23.01,16.848,0.0,23.01,0.0,16.848,24.088,0.0,75.654,16.848,41.993,26.694,16.848,24.088,14.053,14.053,24.088,24.088,0.0,0.0,23.01,24.088,107.703,8.817,107.703,41.993,0.0,23.01,26.694,0.0,81.208,26.694,75.654,41.993,81.208
INST0234_N20_N24_D002,43.657,49.306,37.312,22.387,0.0,23.01,0.0,37.312,23.01,0.0,23.01,37.312,43.511,23.01,57.966,37.312,43.657,49.306,37.312,43.511,33.929,33.929,43.511,43.511,23.01,23.01,0.0,43.511,114.14,22.387,114.14,43.657,23.01,0.0,49.306,23.01,101.428,49.306,57.966,43.657,101.428
INST0234_N20_N24_P003,56.4,14.003,0.0,24.705,37.312,16.848,37.312,0.0,16.848,37.312,16.848,0.0,28.595,16.848,81.517,0.0,56.4,14.003,0.0,28.595,3.413,3.413,28.595,28.595,16.848,16.848,37.312,28.595,94.965,24.705,94.965,56.4,16.848,37.312,14.003,16.848,64.653,14.003,81.517,56.4,64.653
INST0234_N20_N24_D003,41.993,26.694,16.848,8.817,23.01,0.0,23.01,16.848,0.0,23.01,0.0,16.848,24.088,0.0,75.654,16.848,41.993,26.694,16.848,24.088,14.053,14.053,24.088,24.088,0.0,0.0,23.01,24.088,107.703,8.817,107.703,41.993,0.0,23.01,26.694,0.0,81.208,26.694,75.654,41.993,81.208
INST0234_N20_N24_P004,43.657,49.306,37.312,22.387,0.0,23.01,0.0,37.312,23.01,0.0,23.01,37.312,43.511,23.01,57.966,37.312,43.657,49.306,37.312,43.511,33.929,33.929,43.511,43.511,23.01,23.01,0.0,43.511,114.14,22.387,114.14,43.657,23.01,0.0,49.306,23.01,101.428,49.306,57.966,43.657,101.428
