,depot,INST0281_N25_S11_P000,INST0281_N25_S11_D000,INST0281_N25_S11_P001,INST0281_N25_S11_D001,INST0281_N25_S11_P002,INST0281_N25_S11_D002,INST0281_N25_S11_P003,INST0281_N25_S11_D003,INST0281_N25_S11_P004,INST0281_N25_S11_D004,INST0281_N25_S11_P005,INST0281_N25_S11_D005,INST0281_N25_S11_P006,INST0281_N25_S11_D006,INST0281_N25_S11_P007,INST0281_N25_S11_D007,INST0281_N25_S11_P008,INST0281_N25_S11_D008,INST0281_N25_S11_P009,INST0281_N25_S11_D009,INST0281_N25_S11_P010,INST0281_N25_S11_D010,INST0281_N25_S11_P011,INST0281_N25_S11_D011,INST0281_N25_S11_P012,INST0281_N25_S11_D012,INST0281_N25_S11_P013,INST0281_N25_S11_D013,INST0281_N25_S11_P014,INST0281_N25_S11_D014,INST0281_N25_S11_P015,INST0281_N25_S11_D015,INST0281_N25_S11_P016,INST0281_N25_S11_D016,INST0281_N25_S11_P017,INST0281_N25_S11_D017,INST0281_N25_S11_P018,INST0281_N25_S11_D018,INST0281_N25_S11_P019,INST0281_N25_S11_D019,INST0281_N25_S11_P020,INST0281_N25_S11_D020,INST0281_N25_S11_P021,INST0281_N25_S11_D021,INST0281_N25_S11_P022,INST0281_N25_S11_D022,INST0281_N25_S11_P023,INST0281_N25_S11_D023,INST0281_N25_S11_P024,INST0281_N25_S11_D024
depot,0.0,24.954,32.298,21.517,145.321,21.478,32.298,65.388,21.517,21.517,145.321,65.388,21.517,37.715,32.298,21.478,112.576,21.517,26.505,65.388,112.576,21.517,0.0,32.298,112.576,26.505,24.954,75.908,112.576,21.478,88.975,24.954,75.908,65.388,145.321,0.0,32.298,32.298,75.908,24.954,26.505,21.478,112.576,21.517,112.576,21.517,26.505,0.0,112.576,24.954,88.975
INST0281_N25_S11_P000,24.954,0.0,44.339,19.488,134.327,36.46,44.339,59.003,19.488,19.488,134.327,59.003,19.488,54.903,44.339,36.46,103.829,19.488,41.761,59.003,103.829,19.488,24.954,44.339,103.829,41.761,0.0,67.889,103.829,36.46,102.776,0.0,67.889,59.003,134.327,24.954,44.339,44.339,67.889,0.0,41.761,36.46,103.829,19.488,103.829,19.488,41.761,24.954,103.829,0.0,102.776
INST0281_N25_S11_D000,32.298,44.339,0.0,25.439,122.952,10.881,0.0,43.838,25.439,25.439,122.952,43.838,25.439,65.452,0.0,10.881,89.072,25.439,7.008,43.838,89.072,25.439,32.298,0.0,89.072,7.008,44.339,54.565,89.072,10.881,58.699,44.339,54.565,43.838,122.952,32.298,0.0,0.0,54.565,44.339,7.008,10.881,89.072,25.439,89.072,25.439,7.008,32.298,89.072,44.339,58.699
INST0281_N25_S11_P001,21.517,19.488,25.439,0.0,124.222,19.629,25.439,45.002,0.0,0.0,124.222,45.002,0.0,59.019,25.439,19.629,91.902,0.0,24.239,45.002,91.902,0.0,21.517,25.439,91.902,24.239,19.488,55.171,91.902,19.629,83.416,19.488,55.171,45.002,124.222,21.517,25.439,25.439,55.171,19.488,24.239,19.629,91.902,0.0,91.902,0.0,24.239,21.517,91.902,19.488,83.416
INST0281_N25_S11_D001,145.321,134.327,122.952,124.222,0.0,130.689,122.952,80.368,124.222,124.222,0.0,80.368,124.222,183.035,122.952,130.689,33.969,124.222,129.526,80.368,33.969,124.222,145.321,122.952,33.969,129.526,134.327,69.589,33.969,130.689,123.443,134.327,69.589,80.368,0.0,145.321,122.952,122.952,69.589,134.327,129.526,130.689,33.969,124.222,33.969,124.222,129.526,145.321,33.969,134.327,123.443
INST0281_N25_S11_P002,21.478,36.46,10.881,19.629,130.689,0.0,10.881,50.526,19.629,19.629,130.689,50.526,19.629,55.179,10.881,0.0,97.061,19.629,5.477,50.526,97.061,19.629,21.478,10.881,97.061,5.477,36.46,61.394,97.061,0.0,68.319,36.46,61.394,50.526,130.689,21.478,10.881,10.881,61.394,36.46,5.477,0.0,97.061,19.629,97.061,19.629,5.477,21.478,97.061,36.46,68.319
INST0281_N25_S11_D002,32.298,44.339,0.0,25.439,122.952,10.881,0.0,43.838,25.439,25.439,122.952,43.838,25.439,65.452,0.0,10.881,89.072,25.439,7.008,43.838,89.072,25.439,32.298,0.0,89.072,7.008,44.339,54.565,89.072,10.881,58.699,44.339,54.565,43.838,122.952,32.298,0.0,0.0,54.565,44.339,7.008,10.881,89.072,25.439,89.072,25.439,7.008,32.298,89.072,44.339,58.699
INST0281_N25_S11_P003,65.388,59.003,43.838,45.002,80.368,50.526,43.838,0.0,45.002,45.002,80.368,0.0,45.002,103.002,43.838,50.526,47.206,45.002,49.927,0.0,47.206,45.002,65.388,43.838,47.206,49.927,59.003,10.867,47.206,50.526,71.865,59.003,10.867,0.0,80.368,65.388,43.838,43.838,10.867,59.003,49.927,50.526,47.206,45.002,47.206,45.002,49.927,65.388,47.206,59.003,71.865
INST0281_N25_S11_D003,21.517,19.488,25.439,0.0,124.222,19.629,25.439,45.002,0.0,0.0,124.222,45.002,0.0,59.019,25.439,19.629,91.902,0.0,24.239,45.002,91.902,0.0,21.517,25.439,91.902,24.239,19.488,55.171,91.902,19.629,83.416,19.488,55.171,45.002,124.222,21.517,25.439,25.439,55.171,19.488,24.239,19.629,91.902,0.0,91.902,0.0,24.239,21.517,91.902,19.488,83.416
INST0281_N25_S11_P004,21.517,19.488,25.439,0.0,124.222,19.629,25.439,45.002,0.0,0.0,124.222,45.002,0.0,59.019,25.439,19.629,91.902,0.0,24.239,45.002,91.902,0.0,21.517,25.439,91.902,24.239,19.488,55.171,91.902,19.629,83.416,19.488,55.171,45.002,124.222,21.517,25.439,25.439,55.171,19.488,24.239,19.629,91.902,0.0,91.902,0.0,24.239,21.517,91.902,19.488,83.416
