,depot,INST0075_N8_N15_P000,INST0075_N8_N15_D000,INST0075_N8_N15_P001,INST0075_N8_N15_D001,INST0075_N8_N15_P002,INST0075_N8_N15_D002,INST0075_N8_N15_P003,INST0075_N8_N15_D003,INST0075_N8_N15_P004,INST0075_N8_N15_D004,INST0075_N8_N15_P005,INST0075_N8_N15_D005,INST0075_N8_N15_P006,INST0075_N8_N15_D006,INST0075_N8_N15_P007,INST0075_N8_N15_D007
depot,0.0,7.201,134.365,0.0,13.759,21.8,66.32,18.791,11.477,61.784,19.671,13.759,66.32,11.477,21.8,61.784,19.671
INST0075_N8_N15_P000,7.201,0.0,127.166,7.201,20.176,26.126,71.779,18.283,18.229,64.45,17.254,20.176,71.779,18.229,26.126,64.45,17.254
INST0075_N8_N15_D000,134.365,127.166,0.0,134.365,145.919,145.998,187.822,131.141,144.673,165.945,125.319,145.919,187.822,144.673,145.998,165.945,125.319
INST0075_N8_N15_P001,0.0,7.201,134.365,0.0,13.759,21.8,66.32,18.791,11.477,61.784,19.671,13.759,66.32,11.477,21.8,61.784,19.671
INST0075_N8_N15_D001,13.759,20.176,145.919,13.759,0.0,11.436,52.8,30.471,2.788,66.572,23.353,0.0,52.8,2.788,11.436,66.572,23.353
INST0075_N8_N15_P002,21.8,26.126,145.998,21.8,11.436,0.0,46.019,40.266,13.942,77.99,20.683,11.436,46.019,13.942,0.0,77.99,20.683
INST0075_N8_N15_D002,66.32,71.779,187.822,66.32,52.8,46.019,0.0,82.833,55.435,107.477,64.86,52.8,0.0,55.435,46.019,107.477,64.86
INST0075_N8_N15_P003,18.791,18.283,131.141,18.791,30.471,40.266,82.833,0.0,27.709,47.339,35.534,30.471,82.833,27.709,40.266,47.339,35.534
INST0075_N8_N15_D003,11.477,18.229,144.673,11.477,2.788,13.942,55.435,27.709,0.0,64.236,23.461,2.788,55.435,0.0,13.942,64.236,23.461
INST0075_N8_N15_P004,61.784,64.45,165.945,61.784,66.572,77.99,107.477,47.339,64.236,0.0,81.17,66.572,107.477,64.236,77.99,0.0,81.17
INST0075_N8_N15_D004,19.671,17.254,125.319,19.671,23.353,20.683,64.86,35.534,23.461,81.17,0.0,23.353,64.86,23.461,20.683,81.17,0.0
INST0075_N8_N15_P005,13.759,20.176,145.919,13.759,0.0,11.436,52.8,30.471,2.788,66.572,23.353,0.0,52.8,2.788,11.436,66.572,23.353
INST0075_N8_N15_D005,66.32,71.779,187.822,66.32,52.8,46.019,0.0,82.833,55.435,107.477,64.86,52.8,0.0,55.435,46.019,107.477,64.86
INST0075_N8_N15_P006,11.477,18.229,144.673,11.477,2.788,13.942,55.435,27.709,0.0,64.236,23.461,2.788,55.435,0.0,13.942,64.236,23.461
INST0075_N8_N15_D006,21.8,26.126,145.998,21.8,11.436,0.0,46.019,40.266,13.942,77.99,20.683,11.436,46.019,13.942,0.0,77.99,20.683
INST0075_N8_N15_P007,61.784,64.45,165.945,61.784,66.572,77.99,107.477,47.339,64.236,0.0,81.17,66.572,107.477,64.236,77.99,0.0,81.17
INST0075_N8_N15_D007,19.671,17.254,125.319,19.671,23.353,20.683,64.86,35.534,23.461,81.17,0.0,23.353,64.86,23.461,20.683,81.17,0.0
