,depot,INST0164_N15_S14_P000,INST0164_N15_S14_D000,INST0164_N15_S14_P001,INST0164_N15_S14_D001,INST0164_N15_S14_P002,INST0164_N15_S14_D002,INST0164_N15_S14_P003,INST0164_N15_S14_D003,INST0164_N15_S14_P004,INST0164_N15_S14_D004,INST0164_N15_S14_P005,INST0164_N15_S14_D005,INST0164_N15_S14_P006,INST0164_N15_S14_D006,INST0164_N15_S14_P007,INST0164_N15_S14_D007,INST0164_N15_S14_P008,INST0164_N15_S14_D008,INST0164_N15_S14_P009,INST0164_N15_S14_D009,INST0164_N15_S14_P010,INST0164_N15_S14_D010,INST0164_N15_S14_P011,INST0164_N15_S14_D011,INST0164_N15_S14_P012,INST0164_N15_S14_D012,INST0164_N15_S14_P013,INST0164_N15_S14_D013,INST0164_N15_S14_P014,INST0164_N15_S14_D014
depot,0.0,54.565,89.072,43.838,54.565,44.339,32.298,54.565,25.439,44.339,58.699,65.452,10.881,58.699,44.339,0.0,32.298,0.0,65.452,32.298,25.439,54.565,65.452,25.439,54.565,65.452,43.838,7.008,58.699,7.008,89.072
INST0164_N15_S14_P000,54.565,0.0,36.733,10.867,0.0,67.889,75.908,0.0,55.171,67.889,77.092,113.587,61.394,77.092,67.889,54.565,75.908,54.565,113.587,75.908,55.171,0.0,113.587,55.171,0.0,113.587,10.867,60.745,77.092,60.745,36.733
INST0164_N15_S14_D000,89.072,36.733,0.0,47.206,36.733,103.829,112.576,36.733,91.902,103.829,93.449,150.208,97.061,93.449,103.829,89.072,112.576,89.072,150.208,112.576,91.902,36.733,150.208,91.902,36.733,150.208,47.206,95.708,93.449,95.708,0.0
INST0164_N15_S14_P001,43.838,10.867,47.206,0.0,10.867,59.003,65.388,10.867,45.002,59.003,71.865,103.002,50.526,71.865,59.003,43.838,65.388,43.838,103.002,65.388,45.002,10.867,103.002,45.002,10.867,103.002,0.0,49.927,71.865,49.927,47.206
INST0164_N15_S14_D001,54.565,0.0,36.733,10.867,0.0,67.889,75.908,0.0,55.171,67.889,77.092,113.587,61.394,77.092,67.889,54.565,75.908,54.565,113.587,75.908,55.171,0.0,113.587,55.171,0.0,113.587,10.867,60.745,77.092,60.745,36.733
INST0164_N15_S14_P002,44.339,67.889,103.829,59.003,67.889,0.0,24.954,67.889,19.488,0.0,102.776,54.903,36.46,102.776,0.0,44.339,24.954,44.339,54.903,24.954,19.488,67.889,54.903,19.488,67.889,54.903,59.003,41.761,102.776,41.761,103.829
INST0164_N15_S14_D002,32.298,75.908,112.576,65.388,75.908,24.954,0.0,75.908,21.517,24.954,88.975,37.715,21.478,88.975,24.954,32.298,0.0,32.298,37.715,0.0,21.517,75.908,37.715,21.517,75.908,37.715,65.388,26.505,88.975,26.505,112.576
INST0164_N15_S14_P003,54.565,0.0,36.733,10.867,0.0,67.889,75.908,0.0,55.171,67.889,77.092,113.587,61.394,77.092,67.889,54.565,75.908,54.565,113.587,75.908,55.171,0.0,113.587,55.171,0.0,113.587,10.867,60.745,77.092,60.745,36.733
INST0164_N15_S14_D003,25.439,55.171,91.902,45.002,55.171,19.488,21.517,55.171,0.0,19.488,83.416,59.019,19.629,83.416,19.488,25.439,21.517,25.439,59.019,21.517,0.0,55.171,59.019,0.0,55.171,59.019,45.002,24.239,83.416,24.239,91.902
INST0164_N15_S14_P004,44.339,67.889,103.829,59.003,67.889,0.0,24.954,67.889,19.488,0.0,102.776,54.903,36.46,102.776,0.0,44.339,24.954,44.339,54.903,24.954,19.488,67.889,54.903,19.488,67.889,54.903,59.003,41.761,102.776,41.761,103.829
