,depot,INST0104_N10_S14_P000,INST0104_N10_S14_D000,INST0104_N10_S14_P001,INST0104_N10_S14_D001,INST0104_N10_S14_P002,INST0104_N10_S14_D002,INST0104_N10_S14_P003,INST0104_N10_S14_D003,INST0104_N10_S14_P004,INST0104_N10_S14_D004,INST0104_N10_S14_P005,INST0104_N10_S14_D005,INST0104_N10_S14_P006,INST0104_N10_S14_D006,INST0104_N10_S14_P007,INST0104_N10_S14_D007,INST0104_N10_S14_P008,INST0104_N10_S14_D008,INST0104_N10_S14_P009,INST0104_N10_S14_D009
depot,0.0,66.815,54.293,31.149,71.877,54.293,71.877,66.815,109.068,8.581,53.679,71.877,31.149,39.549,66.815,53.679,0.0,39.549,0.0,71.877,13.324
INST0104_N10_S14_P000,66.815,0.0,83.129,67.557,94.398,83.129,94.398,0.0,44.98,74.382,13.307,94.398,67.557,92.948,0.0,13.307,66.815,92.948,66.815,94.398,75.176
INST0104_N10_S14_D000,54.293,83.129,0.0,23.863,125.848,0.0,125.848,83.129,127.137,51.136,72.248,125.848,23.863,30.556,83.129,72.248,54.293,30.556,54.293,125.848,44.645
INST0104_N10_S14_P001,31.149,67.557,23.863,0.0,102.142,23.863,102.142,67.557,112.533,29.68,55.105,102.142,0.0,26.348,67.557,55.105,31.149,26.348,31.149,102.142,24.036
INST0104_N10_S14_D001,71.877,94.398,125.848,102.142,0.0,125.848,0.0,94.398,114.428,77.018,87.998,0.0,102.142,108.949,94.398,87.998,71.877,108.949,71.877,0.0,83.656
INST0104_N10_S14_P002,54.293,83.129,0.0,23.863,125.848,0.0,125.848,83.129,127.137,51.136,72.248,125.848,23.863,30.556,83.129,72.248,54.293,30.556,54.293,125.848,44.645
INST0104_N10_S14_D002,71.877,94.398,125.848,102.142,0.0,125.848,0.0,94.398,114.428,77.018,87.998,0.0,102.142,108.949,94.398,87.998,71.877,108.949,71.877,0.0,83.656
INST0104_N10_S14_P003,66.815,0.0,83.129,67.557,94.398,83.129,94.398,0.0,44.98,74.382,13.307,94.398,67.557,92.948,0.0,13.307,66.815,92.948,66.815,94.398,75.176
INST0104_N10_S14_D003,109.068,44.98,127.137,112.533,114.428,127.137,114.428,44.98,0.0,117.194,57.803,114.428,112.533,137.848,44.98,57.803,109.068,137.848,109.068,114.428,118.85
INST0104_N10_S14_P004,8.581,74.382,51.136,29.68,77.018,51.136,77.018,74.382,117.194,0.0,61.135,77.018,29.68,32.455,74.382,61.135,8.581,32.455,8.581,77.018,6.707
INST0104_N10_S14_D004,53.679,13.307,72.248,55.105,87.998,72.248,87.998,13.307,57.803,61.135,0.0,87.998,55.105,80.067,13.307,0.0,53.679,80.067,53.679,87.998,61.869
INST0104_N10_S14_P005,71.877,94.398,125.848,102.142,0.0,125.848,0.0,94.398,114.428,77.018,87.998,0.0,102.142,108.949,94.398,87.998,71.877,108.949,71.877,0.0,83.656
INST0104_N10_S14_D005,31.149,67.557,23.863,0.0,102.142,23.863,102.142,67.557,112.533,29.68,55.105,102.142,0.0,26.348,67.557,55.105,31.149,26.348,31.149,102.142,24.036
INST0104_N10_S14_P006,39.549,92.948,30.556,26.348,108.949,30.556,108.949,92.948,137.848,32.455,80.067,108.949,26.348,0.0,92.948,80.067,39.549,0.0,39.549,108.949,26.3
INST0104_N10_S14_D006,66.815,0.0,83.129,67.557,94.398,83.129,94.398,0.0,44.98,74.382,13.307,94.398,67.557,92.948,0.0,13.307,66.815,92.948,66.815,94.398,75.176
INST0104_N10_S14_P007,53.679,13.307,72.248,55.105,87.998,72.248,87.998,13.307,57.803,61.135,0.0,87.998,55.105,80.067,13.307,0.0,53.679,80.067,53.679,87.998,61.869
INST0104_N10_S14_D007,0.0,66.815,54.293,31.149,71.877,54.293,71.877,66.815,109.068,8.581,53.679,71.877,31.149,39.549,66.815,53.679,0.0,39.549,0.0,71.877,13.324
INST0104_N10_S14_P008,39.549,92.948,30.556,26.348,108.949,30.556,108.949,92.948,137.848,32.455,80.067,108.949,26.348,0.0,92.948,80.067,39.549,0.0,39.549,108.949,26.3
INST0104_N10_S14_D008,0.0,66.815,54.293,31.149,71.877,54.293,71.877,66.815,109.068,8.581,53.679,71.877,31.149,39.549,66.815,53.679,0.0,39.549,0.0,71.877,13.324
INST0104_N10_S14_P009,71.877,94.398,125.848,102.142,0.0,125.848,0.0,94.398,114.428,77.018,87.998,0.0,102.142,108.949,94.398,87.998,71.877,108.949,71.877,0.0,83.656
INST0104_N10_S14_D009,13.324,75.176,44.645,24.036,83.656,44.645,83.656,75.176,118.85,6.707,61.869,83.656,24.036,26.3,75.176,61.869,13.324,26.3,13.324,83.656,0.0
