,depot,INST0141_N12_N21_P000,INST0141_N12_N21_D000,INST0141_N12_N21_P001,INST0141_N12_N21_D001,INST0141_N12_N21_P002,INST0141_N12_N21_D002,INST0141_N12_N21_P003,INST0141_N12_N21_D003,INST0141_N12_N21_P004,INST0141_N12_N21_D004,INST0141_N12_N21_P005,INST0141_N12_N21_D005,INST0141_N12_N21_P006,INST0141_N12_N21_D006,INST0141_N12_N21_P007,INST0141_N12_N21_D007,INST0141_N12_N21_P008,INST0141_N12_N21_D008,INST0141_N12_N21_P009,INST0141_N12_N21_D009,INST0141_N12_N21_P010,INST0141_N12_N21_D010,INST0141_N12_N21_P011,INST0141_N12_N21_D011
depot,0.0,20.683,100.436,23.461,28.616,17.254,132.815,17.254,125.319,64.86,23.461,23.353,28.616,35.534,23.461,0.0,23.461,20.683,64.86,19.671,23.353,23.461,20.683,20.683,23.461
INST0141_N12_N21_P000,20.683,0.0,81.189,13.942,48.052,26.126,113.909,26.126,145.998,46.019,13.942,11.436,48.052,40.266,13.942,20.683,13.942,0.0,46.019,21.8,11.436,13.942,0.0,0.0,13.942
INST0141_N12_N21_D000,100.436,81.189,0.0,78.292,122.247,95.136,32.884,95.136,222.229,65.084,78.292,77.555,122.247,93.214,78.292,100.436,78.292,81.189,65.084,87.958,77.555,78.292,81.189,81.189,78.292
INST0141_N12_N21_P001,23.461,13.942,78.292,0.0,44.646,18.229,110.207,18.229,144.673,55.435,0.0,2.788,44.646,27.709,0.0,23.461,0.0,13.942,55.435,11.477,2.788,0.0,13.942,13.942,0.0
INST0141_N12_N21_D001,28.616,48.052,122.247,44.646,0.0,27.111,153.371,27.111,100.108,93.371,44.646,46.06,0.0,35.653,44.646,28.616,44.646,48.052,93.371,34.294,46.06,44.646,48.052,48.052,44.646
INST0141_N12_N21_P002,17.254,26.126,95.136,18.229,27.111,0.0,126.352,0.0,127.166,71.779,18.229,20.176,27.111,18.283,18.229,17.254,18.229,26.126,71.779,7.201,20.176,18.229,26.126,26.126,18.229
INST0141_N12_N21_D002,132.815,113.909,32.884,110.207,153.371,126.352,0.0,126.352,252.84,95.428,110.207,109.689,153.371,122.278,110.207,132.815,110.207,113.909,95.428,119.262,109.689,110.207,113.909,113.909,110.207
INST0141_N12_N21_P003,17.254,26.126,95.136,18.229,27.111,0.0,126.352,0.0,127.166,71.779,18.229,20.176,27.111,18.283,18.229,17.254,18.229,26.126,71.779,7.201,20.176,18.229,26.126,26.126,18.229
INST0141_N12_N21_D003,125.319,145.998,222.229,144.673,100.108,127.166,252.84,127.166,0.0,187.822,144.673,145.919,100.108,131.141,144.673,125.319,144.673,145.998,187.822,134.365,145.919,144.673,145.998,145.998,144.673
INST0141_N12_N21_P004,64.86,46.019,65.084,55.435,93.371,71.779,95.428,71.779,187.822,0.0,55.435,52.8,93.371,82.833,55.435,64.86,55.435,46.019,0.0,66.32,52.8,55.435,46.019,46.019,55.435
