,depot,INST0114_N10_N24_P000,INST0114_N10_N24_D000,INST0114_N10_N24_P001,INST0114_N10_N24_D001,INST0114_N10_N24_P002,INST0114_N10_N24_D002,INST0114_N10_N24_P003,INST0114_N10_N24_D003,INST0114_N10_N24_P004,INST0114_N10_N24_D004,INST0114_N10_N24_P005,INST0114_N10_N24_D005,INST0114_N10_N24_P006,INST0114_N10_N24_D006,INST0114_N10_N24_P007,INST0114_N10_N24_D007,INST0114_N10_N24_P008,INST0114_N10_N24_D008,INST0114_N10_N24_P009,INST0114_N10_N24_D009
depot,0.0,34.294,35.653,27.111,93.371,28.616,93.371,27.111,48.052,27.111,110.202,0.0,27.111,48.052,27.111,28.616,34.294,27.111,110.202,48.052,153.371
INST0114_N10_N24_P000,34.294,0.0,18.791,7.201,66.32,19.671,66.32,7.201,21.8,7.201,132.823,34.294,7.201,21.8,7.201,19.671,0.0,7.201,132.823,21.8,119.262
INST0114_N10_N24_D000,35.653,18.791,0.0,18.283,82.833,35.534,82.833,18.283,40.266,18.283,143.5,35.653,18.283,40.266,18.283,35.534,18.791,18.283,143.5,40.266,122.278
INST0114_N10_N24_P001,27.111,7.201,18.283,0.0,71.779,17.254,71.779,0.0,26.126,0.0,127.973,27.111,0.0,26.126,0.0,17.254,7.201,0.0,127.973,26.126,126.352
INST0114_N10_N24_D001,93.371,66.32,82.833,71.779,0.0,64.86,0.0,71.779,46.019,71.779,149.304,93.371,71.779,46.019,71.779,64.86,66.32,71.779,149.304,46.019,95.428
INST0114_N10_N24_P002,28.616,19.671,35.534,17.254,64.86,0.0,64.86,17.254,20.683,17.254,113.8,28.616,17.254,20.683,17.254,0.0,19.671,17.254,113.8,20.683,132.815
INST0114_N10_N24_D002,93.371,66.32,82.833,71.779,0.0,64.86,0.0,71.779,46.019,71.779,149.304,93.371,71.779,46.019,71.779,64.86,66.32,71.779,149.304,46.019,95.428
INST0114_N10_N24_P003,27.111,7.201,18.283,0.0,71.779,17.254,71.779,0.0,26.126,0.0,127.973,27.111,0.0,26.126,0.0,17.254,7.201,0.0,127.973,26.126,126.352
INST0114_N10_N24_D003,48.052,21.8,40.266,26.126,46.019,20.683,46.019,26.126,0.0,26.126,128.231,48.052,26.126,0.0,26.126,20.683,21.8,26.126,128.231,0.0,113.909
INST0114_N10_N24_P004,27.111,7.201,18.283,0.0,71.779,17.254,71.779,0.0,26.126,0.0,127.973,27.111,0.0,26.126,0.0,17.254,7.201,0.0,127.973,26.126,126.352
INST0114_N10_N24_D004,110.202,132.823,143.5,127.973,149.304,113.8,149.304,127.973,128.231,127.973,0.0,110.202,127.973,128.231,127.973,113.8,132.823,127.973,0.0,128.231,239.676
INST0114_N10_N24_P005,0.0,34.294,35.653,27.111,93.371,28.616,93.371,27.111,48.052,27.111,110.202,0.0,27.111,48.052,27.111,28.616,34.294,27.111,110.202,48.052,153.371
INST0114_N10_N24_D005,27.111,7.201,18.283,0.0,71.779,17.254,71.779,0.0,26.126,0.0,127.973,27.111,0.0,26.126,0.0,17.254,7.201,0.0,127.973,26.126,126.352
INST0114_N10_N24_P006,48.052,21.8,40.266,26.126,46.019,20.683,46.019,26.126,0.0,26.126,128.231,48.052,26.126,0.0,26.126,20.683,21.8,26.126,128.231,0.0,113.909
INST0114_N10_N24_D006,27.111,7.201,18.283,0.0,71.779,17.254,71.779,0.0,26.126,0.0,127.973,27.111,0.0,26.126,0.0,17.254,7.201,0.0,127.973,26.126,126.352
INST0114_N10_N24_P007,28.616,19.671,35.534,17.254,64.86,0.0,64.86,17.254,20.683,17.254,113.8,28.616,17.254,20.683,17.254,0.0,19.671,17.254,113.8,20.683,132.815
INST0114_N10_N24_D007,34.294,0.0,18.791,7.201,66.32,19.671,66.32,7.201,21.8,7.201,132.823,34.294,7.201,21.8,7.201,19.671,0.0,7.201,132.823,21.8,119.262
INST0114_N10_N24_P008,27.111,7.201,18.283,0.0,71.779,17.254,71.779,0.0,26.126,0.0,127.973,27.111,0.0,26.126,0.0,17.254,7.201,0.0,127.973,26.126,126.352
INST0114_N10_N24_D008,110.202,132.823,143.5,127.973,149.304,113.8,149.304,127.973,128.231,127.973,0.0,110.202,127.973,128.231,127.973,113.8,132.823,127.973,0.0,128.231,239.676
INST0114_N10_N24_P009,48.052,21.8,40.266,26.126,46.019,20.683,46.019,26.126,0.0,26.126,128.231,48.052,26.126,0.0,26.126,20.683,21.8,26.126,128.231,0.0,113.909
INST0114_N10_N24_D009,153.371,119.262,122.278,126.352,95.428,132.815,95.428,126.352,113.909,126.352,239.676,153.371,126.352,113.909,126.352,132.815,119.262,126.352,239.676,113.909,0.0
