,depot,INST0112_N10_W22_P000,INST0112_N10_W22_D000,INST0112_N10_W22_P001,INST0112_N10_W22_D001,INST0112_N10_W22_P002,INST0112_N10_W22_D002,INST0112_N10_W22_P003,INST0112_N10_W22_D003,INST0112_N10_W22_P004,INST0112_N10_W22_D004,INST0112_N10_W22_P005,INST0112_N10_W22_D005,INST0112_N10_W22_P006,INST0112_N10_W22_D006,INST0112_N10_W22_P007,INST0112_N10_W22_D007,INST0112_N10_W22_P008,INST0112_N10_W22_D008,INST0112_N10_W22_P009,INST0112_N10_W22_D009
depot,0.0,20.02,29.878,77.687,17.435,0.0,20.081,0.0,75.699,20.56,77.687,75.699,32.905,77.687,29.878,0.0,17.435,32.905,29.878,20.02,32.905
INST0112_N10_W22_P000,20.02,0.0,36.098,84.648,35.228,20.02,14.369,20.02,64.294,23.331,84.648,64.294,22.951,84.648,36.098,20.02,35.228,22.951,36.098,0.0,22.951
INST0112_N10_W22_D000,29.878,36.098,0.0,49.056,43.098,29.878,45.89,29.878,56.961,12.767,49.056,56.961,25.201,49.056,0.0,29.878,43.098,25.201,0.0,36.098,25.201
INST0112_N10_W22_P001,77.687,84.648,49.056,0.0,86.82,77.687,94.929,77.687,70.587,61.567,0.0,70.587,67.612,0.0,49.056,77.687,86.82,67.612,49.056,84.648,67.612
INST0112_N10_W22_D001,17.435,35.228,43.098,86.82,0.0,17.435,28.407,17.435,92.961,36.679,86.82,92.961,50.317,86.82,43.098,17.435,0.0,50.317,43.098,35.228,50.317
INST0112_N10_W22_P002,0.0,20.02,29.878,77.687,17.435,0.0,20.081,0.0,75.699,20.56,77.687,75.699,32.905,77.687,29.878,0.0,17.435,32.905,29.878,20.02,32.905
INST0112_N10_W22_D002,20.081,14.369,45.89,94.929,28.407,20.081,0.0,20.081,78.578,33.728,94.929,78.578,37.156,94.929,45.89,20.081,28.407,37.156,45.89,14.369,37.156
INST0112_N10_W22_P003,0.0,20.02,29.878,77.687,17.435,0.0,20.081,0.0,75.699,20.56,77.687,75.699,32.905,77.687,29.878,0.0,17.435,32.905,29.878,20.02,32.905
INST0112_N10_W22_D003,75.699,64.294,56.961,70.587,92.961,75.699,78.578,75.699,0.0,57.051,70.587,0.0,43.046,70.587,56.961,75.699,92.961,43.046,56.961,64.294,43.046
INST0112_N10_W22_P004,20.56,23.331,12.767,61.567,36.679,20.56,33.728,20.56,57.051,0.0,61.567,57.051,17.238,61.567,12.767,20.56,36.679,17.238,12.767,23.331,17.238
INST0112_N10_W22_D004,77.687,84.648,49.056,0.0,86.82,77.687,94.929,77.687,70.587,61.567,0.0,70.587,67.612,0.0,49.056,77.687,86.82,67.612,49.056,84.648,67.612
INST0112_N10_W22_P005,75.699,64.294,56.961,70.587,92.961,75.699,78.578,75.699,0.0,57.051,70.587,0.0,43.046,70.587,56.961,75.699,92.961,43.046,56.961,64.294,43.046
INST0112_N10_W22_D005,32.905,22.951,25.201,67.612,50.317,32.905,37.156,32.905,43.046,17.238,67.612,43.046,0.0,67.612,25.201,32.905,50.317,0.0,25.201,22.951,0.0
INST0112_N10_W22_P006,77.687,84.648,49.056,0.0,86.82,77.687,94.929,77.687,70.587,61.567,0.0,70.587,67.612,0.0,49.056,77.687,86.82,67.612,49.056,84.648,67.612
INST0112_N10_W22_D006,29.878,36.098,0.0,49.056,43.098,29.878,45.89,29.878,56.961,12.767,49.056,56.961,25.201,49.056,0.0,29.878,43.098,25.201,0.0,36.098,25.201
INST0112_N10_W22_P007,0.0,20.02,29.878,77.687,17.435,0.0,20.081,0.0,75.699,20.56,77.687,75.699,32.905,77.687,29.878,0.0,17.435,32.905,29.878,20.02,32.905
INST0112_N10_W22_D007,17.435,35.228,43.098,86.82,0.0,17.435,28.407,17.435,92.961,36.679,86.82,92.961,50.317,86.82,43.098,17.435,0.0,50.317,43.098,35.228,50.317
INST0112_N10_W22_P008,32.905,22.951,25.201,67.612,50.317,32.905,37.156,32.905,43.046,17.238,67.612,43.046,0.0,67.612,25.201,32.905,50.317,0.0,25.201,22.951,0.0
INST0112_N10_W22_D008,29.878,36.098,0.0,49.056,43.098,29.878,45.89,29.878,56.961,12.767,49.056,56.961,25.201,49.056,0.0,29.878,43.098,25.201,0.0,36.098,25.201
INST0112_N10_W22_P009,20.02,0.0,36.098,84.648,35.228,20.02,14.369,20.02,64.294,23.331,84.648,64.294,22.951,84.648,36.098,20.02,35.228,22.951,36.098,0.0,22.951
INST0112_N10_W22_D009,32.905,22.951,25.201,67.612,50.317,32.905,37.156,32.905,43.046,17.238,67.612,43.046,0.0,67.612,25.201,32.905,50.317,0.0,25.201,22.951,0.0
