,depot,INST0054_N5_N24_P000,INST0054_N5_N24_D000,INST0054_N5_N24_P001,INST0054_N5_N24_D001,INST0054_N5_N24_P002,INST0054_N5_N24_D002,INST0054_N5_N24_P003,INST0054_N5_N24_D003,INST0054_N5_N24_P004,INST0054_N5_N24_D004
depot,0.0,27.111,100.108,35.653,44.646,48.052,35.653,0.0,100.108,27.111,122.247
INST0054_N5_N24_P000,27.111,0.0,127.166,18.283,18.229,26.126,18.283,27.111,127.166,0.0,95.136
INST0054_N5_N24_D000,100.108,127.166,0.0,131.141,144.673,145.998,131.141,100.108,0.0,127.166,222.229
INST0054_N5_N24_P001,35.653,18.283,131.141,0.0,27.709,40.266,0.0,35.653,131.141,18.283,93.214
INST0054_N5_N24_D001,44.646,18.229,144.673,27.709,0.0,13.942,27.709,44.646,144.673,18.229,78.292
INST0054_N5_N24_P002,48.052,26.126,145.998,40.266,13.942,0.0,40.266,48.052,145.998,26.126,81.189
INST0054_N5_N24_D002,35.653,18.283,131.141,0.0,27.709,40.266,0.0,35.653,131.141,18.283,93.214
INST0054_N5_N24_P003,0.0,27.111,100.108,35.653,44.646,48.052,35.653,0.0,100.108,27.111,122.247
INST0054_N5_N24_D003,100.108,127.166,0.0,131.141,144.673,145.998,131.141,100.108,0.0,127.166,222.229
INST0054_N5_N24_P004,27.111,0.0,127.166,18.283,18.229,26.126,18.283,27.111,127.166,0.0,95.136
INST0054_N5_N24_D004,122.247,95.136,222.229,93.214,78.292,81.189,93.214,122.247,222.229,95.136,0.0
