,depot,INST0102_N10_N12_P000,INST0102_N10_N12_D000,INST0102_N10_N12_P001,INST0102_N10_N12_D001,INST0102_N10_N12_P002,INST0102_N10_N12_D002,INST0102_N10_N12_P003,INST0102_N10_N12_D003,INST0102_N10_N12_P004,INST0102_N10_N12_D004,INST0102_N10_N12_P005,INST0102_N10_N12_D005,INST0102_N10_N12_P006,INST0102_N10_N12_D006,INST0102_N10_N12_P007,INST0102_N10_N12_D007,INST0102_N10_N12_P008,INST0102_N10_N12_D008,INST0102_N10_N12_P009,INST0102_N10_N12_D009
depot,0.0,43.511,37.312,0.0,43.511,0.0,114.14,43.511,114.14,0.0,37.312,49.306,101.428,0.0,37.312,43.657,114.14,49.306,37.312,43.511,49.306
INST0102_N10_N12_P000,43.511,0.0,28.595,43.511,0.0,43.511,122.983,0.0,122.983,43.511,28.595,25.326,79.42,43.511,28.595,35.041,122.983,25.326,28.595,0.0,25.326
INST0102_N10_N12_D000,37.312,28.595,0.0,37.312,28.595,37.312,94.965,28.595,94.965,37.312,0.0,14.003,64.653,37.312,0.0,56.4,94.965,14.003,0.0,28.595,14.003
INST0102_N10_N12_P001,0.0,43.511,37.312,0.0,43.511,0.0,114.14,43.511,114.14,0.0,37.312,49.306,101.428,0.0,37.312,43.657,114.14,49.306,37.312,43.511,49.306
INST0102_N10_N12_D001,43.511,0.0,28.595,43.511,0.0,43.511,122.983,0.0,122.983,43.511,28.595,25.326,79.42,43.511,28.595,35.041,122.983,25.326,28.595,0.0,25.326
INST0102_N10_N12_P002,0.0,43.511,37.312,0.0,43.511,0.0,114.14,43.511,114.14,0.0,37.312,49.306,101.428,0.0,37.312,43.657,114.14,49.306,37.312,43.511,49.306
INST0102_N10_N12_D002,114.14,122.983,94.965,114.14,122.983,114.14,0.0,122.983,0.0,114.14,94.965,99.415,79.694,114.14,94.965,149.69,0.0,99.415,94.965,122.983,99.415
INST0102_N10_N12_P003,43.511,0.0,28.595,43.511,0.0,43.511,122.983,0.0,122.983,43.511,28.595,25.326,79.42,43.511,28.595,35.041,122.983,25.326,28.595,0.0,25.326
INST0102_N10_N12_D003,114.14,122.983,94.965,114.14,122.983,114.14,0.0,122.983,0.0,114.14,94.965,99.415,79.694,114.14,94.965,149.69,0.0,99.415,94.965,122.983,99.415
INST0102_N10_N12_P004,0.0,43.511,37.312,0.0,43.511,0.0,114.14,43.511,114.14,0.0,37.312,49.306,101.428,0.0,37.312,43.657,114.14,49.306,37.312,43.511,49.306
INST0102_N10_N12_D004,37.312,28.595,0.0,37.312,28.595,37.312,94.965,28.595,94.965,37.312,0.0,14.003,64.653,37.312,0.0,56.4,94.965,14.003,0.0,28.595,14.003
INST0102_N10_N12_P005,49.306,25.326,14.003,49.306,25.326,49.306,99.415,25.326,99.415,49.306,14.003,0.0,56.35,49.306,14.003,58.839,99.415,0.0,14.003,25.326,0.0
INST0102_N10_N12_D005,101.428,79.42,64.653,101.428,79.42,101.428,79.694,79.42,79.694,101.428,64.653,56.35,0.0,101.428,64.653,114.332,79.694,56.35,64.653,79.42,56.35
INST0102_N10_N12_P006,0.0,43.511,37.312,0.0,43.511,0.0,114.14,43.511,114.14,0.0,37.312,49.306,101.428,0.0,37.312,43.657,114.14,49.306,37.312,43.511,49.306
INST0102_N10_N12_D006,37.312,28.595,0.0,37.312,28.595,37.312,94.965,28.595,94.965,37.312,0.0,14.003,64.653,37.312,0.0,56.4,94.965,14.003,0.0,28.595,14.003
INST0102_N10_N12_P007,43.657,35.041,56.4,43.657,35.041,43.657,149.69,35.041,149.69,43.657,56.4,58.839,114.332,43.657,56.4,0.0,149.69,58.839,56.4,35.041,58.839
INST0102_N10_N12_D007,114.14,122.983,94.965,114.14,122.983,114.14,0.0,122.983,0.0,114.14,94.965,99.415,79.694,114.14,94.965,149.69,0.0,99.415,94.965,122.983,99.415
INST0102_N10_N12_P008,49.306,25.326,14.003,49.306,25.326,49.306,99.415,25.326,99.415,49.306,14.003,0.0,56.35,49.306,14.003,58.839,99.415,0.0,14.003,25.326,0.0
INST0102_N10_N12_D008,37.312,28.595,0.0,37.312,28.595,37.312,94.965,28.595,94.965,37.312,0.0,14.003,64.653,37.312,0.0,56.4,94.965,14.003,0.0,28.595,14.003
INST0102_N10_N12_P009,43.511,0.0,28.595,43.511,0.0,43.511,122.983,0.0,122.983,43.511,28.595,25.326,79.42,43.511,28.595,35.041,122.983,25.326,28.595,0.0,25.326
INST0102_N10_N12_D009,49.306,25.326,14.003,49.306,25.326,49.306,99.415,25.326,99.415,49.306,14.003,0.0,56.35,49.306,14.003,58.839,99.415,0.0,14.003,25.326,0.0
