,depot,INST0281_N25_S11_P000,INST0281_N25_S11_D000,INST0281_N25_S11_P001,INST0281_N25_S11_D001,INST0281_N25_S11_P002,INST0281_N25_S11_D002,INST0281_N25_S11_P003,INST0281_N25_S11_D003,INST0281_N25_S11_P004,INST0281_N25_S11_D004,INST0281_N25_S11_P005,INST0281_N25_S11_D005,INST0281_N25_S11_P006,INST0281_N25_S11_D006,INST0281_N25_S11_P007,INST0281_N25_S11_D007,INST0281_N25_S11_P008,INST0281_N25_S11_D008,INST0281_N25_S11_P009,INST0281_N25_S11_D009,INST0281_N25_S11_P010,INST0281_N25_S11_D010,INST0281_N25_S11_P011,INST0281_N25_S11_D011,INST0281_N25_S11_P012,INST0281_N25_S11_D012,INST0281_N25_S11_P013,INST0281_N25_S11_D013,INST0281_N25_S11_P014,INST0281_N25_S11_D014,INST0281_N25_S11_P015,INST0281_N25_S11_D015,INST0281_N25_S11_P016,INST0281_N25_S11_D016,INST0281_N25_S11_P017,INST0281_N25_S11_D017,INST0281_N25_S11_P018,INST0281_N25_S11_D018,INST0281_N25_S11_P019,INST0281_N25_S11_D019,INST0281_N25_S11_P020,INST0281_N25_S11_D020,INST0281_N25_S11_P021,INST0281_N25_S11_D021,INST0281_N25_S11_P022,INST0281_N25_S11_D022,INST0281_N25_S11_P023,INST0281_N25_S11_D023,INST0281_N25_S11_P024,INST0281_N25_S11_D024
depot,0.0,30.556,39.549,26.348,177.944,26.3,39.549,80.067,26.348,26.348,177.944,80.067,26.348,46.181,39.549,26.3,137.848,26.348,32.455,80.067,137.848,26.348,0.0,39.549,137.848,32.455,30.556,92.948,137.848,26.3,108.949,30.556,92.948,80.067,177.944,0.0,39.549,39.549,92.948,30.556,32.455,26.3,137.848,26.348,137.848,26.348,32.455,0.0,137.848,30.556,108.949
INST0281_N25_S11_P000,30.556,0.0,54.293,23.863,164.482,44.645,54.293,72.248,23.863,23.863,164.482,72.248,23.863,67.228,54.293,44.645,127.137,23.863,51.136,72.248,127.137,23.863,30.556,54.293,127.137,51.136,0.0,83.129,127.137,44.645,125.848,0.0,83.129,72.248,164.482,30.556,54.293,54.293,83.129,0.0,51.136,44.645,127.137,23.863,127.137,23.863,51.136,30.556,127.137,0.0,125.848
INST0281_N25_S11_D000,39.549,54.293,0.0,31.149,150.553,13.324,0.0,53.679,31.149,31.149,150.553,53.679,31.149,80.145,0.0,13.324,109.068,31.149,8.581,53.679,109.068,31.149,39.549,0.0,109.068,8.581,54.293,66.815,109.068,13.324,71.877,54.293,66.815,53.679,150.553,39.549,0.0,0.0,66.815,54.293,8.581,13.324,109.068,31.149,109.068,31.149,8.581,39.549,109.068,54.293,71.877
INST0281_N25_S11_P001,26.348,23.863,31.149,0.0,152.108,24.036,31.149,55.105,0.0,0.0,152.108,55.105,0.0,72.268,31.149,24.036,112.533,0.0,29.68,55.105,112.533,0.0,26.348,31.149,112.533,29.68,23.863,67.557,112.533,24.036,102.142,23.863,67.557,55.105,152.108,26.348,31.149,31.149,67.557,23.863,29.68,24.036,112.533,0.0,112.533,0.0,29.68,26.348,112.533,23.863,102.142
INST0281_N25_S11_D001,177.944,164.482,150.553,152.108,0.0,160.028,150.553,98.41,152.108,152.108,0.0,98.41,152.108,224.124,150.553,160.028,41.594,152.108,158.604,98.41,41.594,152.108,177.944,150.553,41.594,158.604,164.482,85.211,41.594,160.028,151.155,164.482,85.211,98.41,0.0,177.944,150.553,150.553,85.211,164.482,158.604,160.028,41.594,152.108,41.594,152.108,158.604,177.944,41.594,164.482,151.155
INST0281_N25_S11_P002,26.3,44.645,13.324,24.036,160.028,0.0,13.324,61.869,24.036,24.036,160.028,61.869,24.036,67.566,13.324,0.0,118.85,24.036,6.707,61.869,118.85,24.036,26.3,13.324,118.85,6.707,44.645,75.176,118.85,0.0,83.656,44.645,75.176,61.869,160.028,26.3,13.324,13.324,75.176,44.645,6.707,0.0,118.85,24.036,118.85,24.036,6.707,26.3,118.85,44.645,83.656
INST0281_N25_S11_D002,39.549,54.293,0.0,31.149,150.553,13.324,0.0,53.679,31.149,31.149,150.553,53.679,31.149,80.145,0.0,13.324,109.068,31.149,8.581,53.679,109.068,31.149,39.549,0.0,109.068,8.581,54.293,66.815,109.068,13.324,71.877,54.293,66.815,53.679,150.553,39.549,0.0,0.0,66.815,54.293,8.581,13.324,109.068,31.149,109.068,31.149,8.581,39.549,109.068,54.293,71.877
INST0281_N25_S11_P003,80.067,72.248,53.679,55.105,98.41,61.869,53.679,0.0,55.105,55.105,98.41,0.0,55.105,126.125,53.679,61.869,57.803,55.105,61.135,0.0,57.803,55.105,80.067,53.679,57.803,61.135,72.248,13.307,57.803,61.869,87.998,72.248,13.307,0.0,98.41,80.067,53.679,53.679,13.307,72.248,61.135,61.869,57.803,55.105,57.803,55.105,61.135,80.067,57.803,72.248,87.998
INST0281_N25_S11_D003,26.348,23.863,31.149,0.0,152.108,24.036,31.149,55.105,0.0,0.0,152.108,55.105,0.0,72.268,31.149,24.036,112.533,0.0,29.68,55.105,112.533,0.0,26.348,31.149,112.533,29.68,23.863,67.557,112.533,24.036,102.142,23.863,67.557,55.105,152.108,26.348,31.149,31.149,67.557,23.863,29.68,24.036,112.533,0.0,112.533,0.0,29.68,26.348,112.533,23.863,102.142
INST0281_N25_S11_P004,26.348,23.863,31.149,0.0,152.108,24.036,31.149,55.105,0.0,0.0,152.108,55.105,0.0,72.268,31.149,24.036,112.533,0.0,29.68,55.105,112.533,0.0,26.348,31.149,112.533,29.68,23.863,67.557,112.533,24.036,102.142,23.863,67.557,55.105,152.108,26.348,31.149,31.149,67.557,23.863,29.68,24.036,112.533,0.0,112.533,0.0,29.68,26.348,112.533,23.863,102.142
