,depot,INST0050_N5_S20_P000,INST0050_N5_S20_D000,INST0050_N5_S20_P001,INST0050_N5_S20_D001,INST0050_N5_S20_P002,INST0050_N5_S20_D002,INST0050_N5_S20_P003,INST0050_N5_S20_D003,INST0050_N5_S20_P004,INST0050_N5_S20_D004
depot,0.0,6.707,75.176,6.707,44.645,6.707,26.3,83.656,67.566,61.869,75.176
INST0050_N5_S20_P000,6.707,0.0,74.382,0.0,51.136,0.0,32.455,77.018,71.658,61.135,74.382
INST0050_N5_S20_D000,75.176,74.382,0.0,74.382,83.129,74.382,92.948,94.398,139.086,13.307,0.0
INST0050_N5_S20_P001,6.707,0.0,74.382,0.0,51.136,0.0,32.455,77.018,71.658,61.135,74.382
INST0050_N5_S20_D001,44.645,51.136,83.129,51.136,0.0,51.136,30.556,125.848,67.228,72.248,83.129
INST0050_N5_S20_P002,6.707,0.0,74.382,0.0,51.136,0.0,32.455,77.018,71.658,61.135,74.382
INST0050_N5_S20_D002,26.3,32.455,92.948,32.455,30.556,32.455,0.0,108.949,46.181,80.067,92.948
INST0050_N5_S20_P003,83.656,77.018,94.398,77.018,125.848,77.018,108.949,0.0,138.993,87.998,94.398
INST0050_N5_S20_D003,67.566,71.658,139.086,71.658,67.228,71.658,46.181,138.993,0.0,126.125,139.086
INST0050_N5_S20_P004,61.869,61.135,13.307,61.135,72.248,61.135,80.067,87.998,126.125,0.0,13.307
INST0050_N5_S20_D004,75.176,74.382,0.0,74.382,83.129,74.382,92.948,94.398,139.086,13.307,0.0
