,depot,INST0120_N12_N00_P000,INST0120_N12_N00_D000,INST0120_N12_N00_P001,INST0120_N12_N00_D001,INST0120_N12_N00_P002,INST0120_N12_N00_D002,INST0120_N12_N00_P003,INST0120_N12_N00_D003,INST0120_N12_N00_P004,INST0120_N12_N00_D004,INST0120_N12_N00_P005,INST0120_N12_N00_D005,INST0120_N12_N00_P006,INST0120_N12_N00_D006,INST0120_N12_N00_P007,INST0120_N12_N00_D007,INST0120_N12_N00_P008,INST0120_N12_N00_D008,INST0120_N12_N00_P009,INST0120_N12_N00_D009,INST0120_N12_N00_P010,INST0120_N12_N00_D010,INST0120_N12_N00_P011,INST0120_N12_N00_D011
depot,0.0,24.088,23.01,8.817,41.993,24.088,162.641,41.993,162.641,14.053,0.0,75.654,24.088,41.993,107.703,0.0,75.654,14.053,81.208,81.208,107.703,81.208,26.694,14.053,26.694
INST0120_N12_N00_P000,24.088,0.0,43.511,21.127,35.041,0.0,139.347,35.041,139.347,28.727,24.088,99.392,0.0,35.041,122.983,24.088,99.392,28.727,79.42,79.42,122.983,79.42,25.326,28.727,25.326
INST0120_N12_N00_D000,23.01,43.511,0.0,22.387,43.657,43.511,175.714,43.657,175.714,33.929,23.01,57.966,43.511,43.657,114.14,23.01,57.966,33.929,101.428,101.428,114.14,101.428,49.306,33.929,49.306
INST0120_N12_N00_P001,8.817,21.127,22.387,0.0,33.197,21.127,156.702,33.197,156.702,22.322,8.817,78.919,21.127,33.197,116.493,8.817,78.919,22.322,87.893,87.893,116.493,87.893,31.992,22.322,31.992
INST0120_N12_N00_D001,41.993,35.041,43.657,33.197,0.0,35.041,134.941,0.0,134.941,54.669,41.993,99.467,35.041,0.0,149.69,41.993,99.467,54.669,114.332,114.332,149.69,114.332,58.839,54.669,58.839
INST0120_N12_N00_P002,24.088,0.0,43.511,21.127,35.041,0.0,139.347,35.041,139.347,28.727,24.088,99.392,0.0,35.041,122.983,24.088,99.392,28.727,79.42,79.42,122.983,79.42,25.326,28.727,25.326
INST0120_N12_N00_D002,162.641,139.347,175.714,156.702,134.941,139.347,0.0,134.941,0.0,167.44,162.641,233.468,139.347,134.941,253.32,162.641,233.468,167.44,182.822,182.822,253.32,182.822,157.017,167.44,157.017
INST0120_N12_N00_P003,41.993,35.041,43.657,33.197,0.0,35.041,134.941,0.0,134.941,54.669,41.993,99.467,35.041,0.0,149.69,41.993,99.467,54.669,114.332,114.332,149.69,114.332,58.839,54.669,58.839
INST0120_N12_N00_D003,162.641,139.347,175.714,156.702,134.941,139.347,0.0,134.941,0.0,167.44,162.641,233.468,139.347,134.941,253.32,162.641,233.468,167.44,182.822,182.822,253.32,182.822,157.017,167.44,157.017
INST0120_N12_N00_P004,14.053,28.727,33.929,22.322,54.669,28.727,167.44,54.669,167.44,0.0,14.053,78.656,28.727,54.669,95.867,14.053,78.656,0.0,67.88,67.88,95.867,67.88,17.072,0.0,17.072
INST0120_N12_N00_D004,0.0,24.088,23.01,8.817,41.993,24.088,162.641,41.993,162.641,14.053,0.0,75.654,24.088,41.993,107.703,0.0,75.654,14.053,81.208,81.208,107.703,81.208,26.694,14.053,26.694
INST0120_N12_N00_P005,75.654,99.392,57.966,78.919,99.467,99.392,233.468,99.467,233.468,78.656,75.654,0.0,99.392,99.467,104.211,75.654,0.0,78.656,131.605,131.605,104.211,131.605,95.498,78.656,95.498
INST0120_N12_N00_D005,24.088,0.0,43.511,21.127,35.041,0.0,139.347,35.041,139.347,28.727,24.088,99.392,0.0,35.041,122.983,24.088,99.392,28.727,79.42,79.42,122.983,79.42,25.326,28.727,25.326
INST0120_N12_N00_P006,41.993,35.041,43.657,33.197,0.0,35.041,134.941,0.0,134.941,54.669,41.993,99.467,35.041,0.0,149.69,41.993,99.467,54.669,114.332,114.332,149.69,114.332,58.839,54.669,58.839
INST0120_N12_N00_D006,107.703,122.983,114.14,116.493,149.69,122.983,253.32,149.69,253.32,95.867,107.703,104.211,122.983,149.69,0.0,107.703,104.211,95.867,79.694,79.694,0.0,79.694,99.415,95.867,99.415
INST0120_N12_N00_P007,0.0,24.088,23.01,8.817,41.993,24.088,162.641,41.993,162.641,14.053,0.0,75.654,24.088,41.993,107.703,0.0,75.654,14.053,81.208,81.208,107.703,81.208,26.694,14.053,26.694
INST0120_N12_N00_D007,75.654,99.392,57.966,78.919,99.467,99.392,233.468,99.467,233.468,78.656,75.654,0.0,99.392,99.467,104.211,75.654,0.0,78.656,131.605,131.605,104.211,131.605,95.498,78.656,95.498
INST0120_N12_N00_P008,14.053,28.727,33.929,22.322,54.669,28.727,167.44,54.669,167.44,0.0,14.053,78.656,28.727,54.669,95.867,14.053,78.656,0.0,67.88,67.88,95.867,67.88,17.072,0.0,17.072
INST0120_N12_N00_D008,81.208,79.42,101.428,87.893,114.332,79.42,182.822,114.332,182.822,67.88,81.208,131.605,79.42,114.332,79.694,81.208,131.605,67.88,0.0,0.0,79.694,0.0,56.35,67.88,56.35
