,depot,INST0201_N18_N21_P000,INST0201_N18_N21_D000,INST0201_N18_N21_P001,INST0201_N18_N21_D001,INST0201_N18_N21_P002,INST0201_N18_N21_D002,INST0201_N18_N21_P003,INST0201_N18_N21_D003,INST0201_N18_N21_P004,INST0201_N18_N21_D004,INST0201_N18_N21_P005,INST0201_N18_N21_D005,INST0201_N18_N21_P006,INST0201_N18_N21_D006,INST0201_N18_N21_P007,INST0201_N18_N21_D007,INST0201_N18_N21_P008,INST0201_N18_N21_D008,INST0201_N18_N21_P009,INST0201_N18_N21_D009,INST0201_N18_N21_P010,INST0201_N18_N21_D010,INST0201_N18_N21_P011,INST0201_N18_N21_D011,INST0201_N18_N21_P012,INST0201_N18_N21_D012,INST0201_N18_N21_P013,INST0201_N18_N21_D013,INST0201_N18_N21_P014,INST0201_N18_N21_D014,INST0201_N18_N21_P015,INST0201_N18_N21_D015,INST0201_N18_N21_P016,INST0201_N18_N21_D016,INST0201_N18_N21_P017,INST0201_N18_N21_D017
depot,0.0,43.511,122.983,28.727,35.041,21.127,139.347,28.595,122.983,79.42,0.0,79.42,0.0,0.0,43.511,35.041,99.392,43.511,24.088,28.595,24.088,25.326,24.088,21.127,35.041,28.727,162.63,0.0,153.452,21.127,99.392,24.088,162.63,21.127,139.347,21.127,28.727
INST0201_N18_N21_P000,43.511,0.0,114.14,33.929,43.657,22.387,175.714,37.312,114.14,101.428,43.511,101.428,43.511,43.511,0.0,43.657,57.966,0.0,23.01,37.312,23.01,49.306,23.01,22.387,43.657,33.929,149.729,43.511,160.581,22.387,57.966,23.01,149.729,22.387,175.714,22.387,33.929
INST0201_N18_N21_D000,122.983,114.14,0.0,95.867,149.69,116.493,253.32,94.965,0.0,79.694,122.983,79.694,122.983,122.983,114.14,149.69,104.211,114.14,107.703,94.965,107.703,99.415,107.703,116.493,149.69,95.867,40.266,122.983,272.117,116.493,104.211,107.703,40.266,116.493,253.32,116.493,95.867
INST0201_N18_N21_P001,28.727,33.929,95.867,0.0,54.669,22.322,167.44,3.413,95.867,67.88,28.727,67.88,28.727,28.727,33.929,54.669,78.656,33.929,14.053,3.413,14.053,17.072,14.053,22.322,54.669,0.0,134.948,28.727,177.15,22.322,78.656,14.053,134.948,22.322,167.44,22.322,0.0
INST0201_N18_N21_D001,35.041,43.657,149.69,54.669,0.0,33.197,134.941,56.4,149.69,114.332,35.041,114.332,35.041,35.041,43.657,0.0,99.467,43.657,41.993,56.4,41.993,58.839,41.993,33.197,0.0,54.669,187.802,35.041,122.582,33.197,99.467,41.993,187.802,33.197,134.941,33.197,54.669
INST0201_N18_N21_P002,21.127,22.387,116.493,22.322,33.197,0.0,156.702,24.705,116.493,87.893,21.127,87.893,21.127,21.127,22.387,33.197,78.919,22.387,8.817,24.705,8.817,31.992,8.817,0.0,33.197,22.322,154.717,21.127,155.714,0.0,78.919,8.817,154.717,0.0,156.702,0.0,22.322
INST0201_N18_N21_D002,139.347,175.714,253.32,167.44,134.941,156.702,0.0,166.496,253.32,182.822,139.347,182.822,139.347,139.347,175.714,134.941,233.468,175.714,162.641,166.496,162.641,157.017,162.641,156.702,134.941,167.44,293.481,139.347,125.74,156.702,233.468,162.641,293.481,156.702,0.0,156.702,167.44
INST0201_N18_N21_P003,28.595,37.312,94.965,3.413,56.4,24.705,166.496,0.0,94.965,64.653,28.595,64.653,28.595,28.595,37.312,56.4,81.517,37.312,16.848,0.0,16.848,14.003,16.848,24.705,56.4,3.413,134.313,28.595,178.677,24.705,81.517,16.848,134.313,24.705,166.496,24.705,3.413
INST0201_N18_N21_D003,122.983,114.14,0.0,95.867,149.69,116.493,253.32,94.965,0.0,79.694,122.983,79.694,122.983,122.983,114.14,149.69,104.211,114.14,107.703,94.965,107.703,99.415,107.703,116.493,149.69,95.867,40.266,122.983,272.117,116.493,104.211,107.703,40.266,116.493,253.32,116.493,95.867
INST0201_N18_N21_P004,79.42,101.428,79.694,67.88,114.332,87.893,182.822,64.653,79.694,0.0,79.42,0.0,79.42,79.42,101.428,114.332,131.605,101.428,81.208,64.653,81.208,56.35,81.208,87.893,114.332,67.88,116.851,79.42,229.986,87.893,131.605,81.208,116.851,87.893,182.822,87.893,67.88
INST0201_N18_N21_D004,0.0,43.511,122.983,28.727,35.041,21.127,139.347,28.595,122.983,79.42,0.0,79.42,0.0,0.0,43.511,35.041,99.392,43.511,24.088,28.595,24.088,25.326,24.088,21.127,35.041,28.727,162.63,0.0,153.452,21.127,99.392,24.088,162.63,21.127,139.347,21.127,28.727
INST0201_N18_N21_P005,79.42,101.428,79.694,67.88,114.332,87.893,182.822,64.653,79.694,0.0,79.42,0.0,79.42,79.42,101.428,114.332,131.605,101.428,81.208,64.653,81.208,56.35,81.208,87.893,114.332,67.88,116.851,79.42,229.986,87.893,131.605,81.208,116.851,87.893,182.822,87.893,67.88
INST0201_N18_N21_D005,0.0,43.511,122.983,28.727,35.041,21.127,139.347,28.595,122.983,79.42,0.0,79.42,0.0,0.0,43.511,35.041,99.392,43.511,24.088,28.595,24.088,25.326,24.088,21.127,35.041,28.727,162.63,0.0,153.452,21.127,99.392,24.088,162.63,21.127,139.347,21.127,28.727
INST0201_N18_N21_P006,0.0,43.511,122.983,28.727,35.041,21.127,139.347,28.595,122.983,79.42,0.0,79.42,0.0,0.0,43.511,35.041,99.392,43.511,24.088,28.595,24.088,25.326,24.088,21.127,35.041,28.727,162.63,0.0,153.452,21.127,99.392,24.088,162.63,21.127,139.347,21.127,28.727
INST0201_N18_N21_D006,43.511,0.0,114.14,33.929,43.657,22.387,175.714,37.312,114.14,101.428,43.511,101.428,43.511,43.511,0.0,43.657,57.966,0.0,23.01,37.312,23.01,49.306,23.01,22.387,43.657,33.929,149.729,43.511,160.581,22.387,57.966,23.01,149.729,22.387,175.714,22.387,33.929
INST0201_N18_N21_P007,35.041,43.657,149.69,54.669,0.0,33.197,134.941,56.4,149.69,114.332,35.041,114.332,35.041,35.041,43.657,0.0,99.467,43.657,41.993,56.4,41.993,58.839,41.993,33.197,0.0,54.669,187.802,35.041,122.582,33.197,99.467,41.993,187.802,33.197,134.941,33.197,54.669
INST0201_N18_N21_D007,99.392,57.966,104.211,78.656,99.467,78.919,233.468,81.517,104.211,131.605,99.392,131.605,99.392,99.392,57.966,99.467,0.0,57.966,75.654,81.517,75.654,95.498,75.654,78.919,99.467,78.656,127.812,99.392,203.198,78.919,0.0,75.654,127.812,78.919,233.468,78.919,78.656
INST0201_N18_N21_P008,43.511,0.0,114.14,33.929,43.657,22.387,175.714,37.312,114.14,101.428,43.511,101.428,43.511,43.511,0.0,43.657,57.966,0.0,23.01,37.312,23.01,49.306,23.01,22.387,43.657,33.929,149.729,43.511,160.581,22.387,57.966,23.01,149.729,22.387,175.714,22.387,33.929
INST0201_N18_N21_D008,24.088,23.01,107.703,14.053,41.993,8.817,162.641,16.848,107.703,81.208,24.088,81.208,24.088,24.088,23.01,41.993,75.654,23.01,0.0,16.848,0.0,26.694,0.0,8.817,41.993,14.053,146.035,24.088,164.529,8.817,75.654,0.0,146.035,8.817,162.641,8.817,14.053
INST0201_N18_N21_P009,28.595,37.312,94.965,3.413,56.4,24.705,166.496,0.0,94.965,64.653,28.595,64.653,28.595,28.595,37.312,56.4,81.517,37.312,16.848,0.0,16.848,14.003,16.848,24.705,56.4,3.413,134.313,28.595,178.677,24.705,81.517,16.848,134.313,24.705,166.496,24.705,3.413
INST0201_N18_N21_D009,24.088,23.01,107.703,14.053,41.993,8.817,162.641,16.848,107.703,81.208,24.088,81.208,24.088,24.088,23.01,41.993,75.654,23.01,0.0,16.848,0.0,26.694,0.0,8.817,41.993,14.053,146.035,24.088,164.529,8.817,75.654,0.0,146.035,8.817,162.641,8.817,14.053
INST0201_N18_N21_P010,25.326,49.306,99.415,17.072,58.839,31.992,157.017,14.003,99.415,56.35,25.326,56.35,25.326,25.326,49.306,58.839,95.498,49.306,26.694,14.003,26.694,0.0,26.694,31.992,58.839,17.072,139.481,25.326,178.773,31.992,95.498,26.694,139.481,31.992,157.017,31.992,17.072
INST0201_N18_N21_D010,24.088,23.01,107.703,14.053,41.993,8.817,162.641,16.848,107.703,81.208,24.088,81.208,24.088,24.088,23.01,41.993,75.654,23.01,0.0,16.848,0.0,26.694,0.0,8.817,41.993,14.053,146.035,24.088,164.529,8.817,75.654,0.0,146.035,8.817,162.641,8.817,14.053
