,depot,INST0181_N18_W01_P000,INST0181_N18_W01_D000,INST0181_N18_W01_P001,INST0181_N18_W01_D001,INST0181_N18_W01_P002,INST0181_N18_W01_D002,INST0181_N18_W01_P003,INST0181_N18_W01_D003,INST0181_N18_W01_P004,INST0181_N18_W01_D004,INST0181_N18_W01_P005,INST0181_N18_W01_D005,INST0181_N18_W01_P006,INST0181_N18_W01_D006,INST0181_N18_W01_P007,INST0181_N18_W01_D007,INST0181_N18_W01_P008,INST0181_N18_W01_D008,INST0181_N18_W01_P009,INST0181_N18_W01_D009,INST0181_N18_W01_P010,INST0181_N18_W01_D010,INST0181_N18_W01_P011,INST0181_N18_W01_D011,INST0181_N18_W01_P012,INST0181_N18_W01_D012,INST0181_N18_W01_P013,INST0181_N18_W01_D013,INST0181_N18_W01_P014,INST0181_N18_W01_D014,INST0181_N18_W01_P015,INST0181_N18_W01_D015,INST0181_N18_W01_P016,INST0181_N18_W01_D016,INST0181_N18_W01_P017,INST0181_N18_W01_D017
depot,0.0,26.872,147.26,20.581,35.155,41.092,30.344,30.344,96.036,41.092,41.349,26.872,109.245,18.744,20.581,14.077,26.872,20.581,41.092,35.155,41.092,41.092,41.349,41.092,109.245,20.581,30.344,20.581,35.155,41.349,55.217,26.872,30.344,18.744,30.344,18.744,35.155
INST0181_N18_W01_P000,26.872,0.0,122.204,24.4,61.821,14.239,16.399,16.399,101.402,14.239,43.952,0.0,115.807,16.35,24.4,16.791,0.0,24.4,14.239,61.821,14.239,14.239,43.952,14.239,115.807,24.4,16.399,24.4,61.821,43.952,63.444,0.0,16.399,16.35,16.399,16.35,61.821
INST0181_N18_W01_D000,147.26,122.204,0.0,132.406,178.909,108.909,130.691,130.691,152.865,108.909,130.013,122.204,164.396,137.675,132.406,133.597,122.204,132.406,108.909,178.909,108.909,108.909,130.013,108.909,164.396,132.406,130.691,132.406,178.909,130.013,143.94,122.204,130.691,137.675,130.691,137.675,178.909
INST0181_N18_W01_P001,20.581,24.4,132.406,0.0,46.518,35.196,37.477,37.477,79.708,35.196,22.455,24.4,93.687,29.48,0.0,10.426,24.4,0.0,35.196,46.518,35.196,35.196,22.455,35.196,93.687,0.0,37.477,0.0,46.518,22.455,40.063,24.4,37.477,29.48,37.477,29.48,46.518
INST0181_N18_W01_D001,35.155,61.821,178.909,46.518,0.0,75.918,64.172,64.172,94.442,75.918,55.918,61.821,104.634,52.507,46.518,46.592,61.821,46.518,75.918,0.0,75.918,75.918,55.918,75.918,104.634,46.518,64.172,46.518,0.0,55.918,57.646,61.821,64.172,52.507,64.172,52.507,0.0
INST0181_N18_W01_P002,41.092,14.239,108.909,35.196,75.918,0.0,23.199,23.199,106.091,0.0,50.611,14.239,120.757,28.769,35.196,29.954,14.239,35.196,0.0,75.918,0.0,0.0,50.611,0.0,120.757,35.196,23.199,35.196,75.918,50.611,70.903,14.239,23.199,28.769,23.199,28.769,75.918
INST0181_N18_W01_D002,30.344,16.399,130.691,37.477,64.172,23.199,0.0,0.0,116.61,23.199,58.923,16.399,130.825,11.735,37.477,27.544,16.399,37.477,23.199,64.172,23.199,23.199,58.923,23.199,130.825,37.477,0.0,37.477,64.172,58.923,77.525,16.399,0.0,11.735,0.0,11.735,64.172
INST0181_N18_W01_P003,30.344,16.399,130.691,37.477,64.172,23.199,0.0,0.0,116.61,23.199,58.923,16.399,130.825,11.735,37.477,27.544,16.399,37.477,23.199,64.172,23.199,23.199,58.923,23.199,130.825,37.477,0.0,37.477,64.172,58.923,77.525,16.399,0.0,11.735,0.0,11.735,64.172
INST0181_N18_W01_D003,96.036,101.402,152.865,79.708,94.442,106.091,116.61,116.61,0.0,106.091,57.687,101.402,14.722,109.164,79.708,90.122,101.402,79.708,106.091,94.442,106.091,106.091,57.687,106.091,14.722,79.708,116.61,79.708,94.442,57.687,40.846,101.402,116.61,109.164,116.61,109.164,94.442
INST0181_N18_W01_P004,41.092,14.239,108.909,35.196,75.918,0.0,23.199,23.199,106.091,0.0,50.611,14.239,120.757,28.769,35.196,29.954,14.239,35.196,0.0,75.918,0.0,0.0,50.611,0.0,120.757,35.196,23.199,35.196,75.918,50.611,70.903,14.239,23.199,28.769,23.199,28.769,75.918
