,depot,INST0251_N22_S11_P000,INST0251_N22_S11_D000,INST0251_N22_S11_P001,INST0251_N22_S11_D001,INST0251_N22_S11_P002,INST0251_N22_S11_D002,INST0251_N22_S11_P003,INST0251_N22_S11_D003,INST0251_N22_S11_P004,INST0251_N22_S11_D004,INST0251_N22_S11_P005,INST0251_N22_S11_D005,INST0251_N22_S11_P006,INST0251_N22_S11_D006,INST0251_N22_S11_P007,INST0251_N22_S11_D007,INST0251_N22_S11_P008,INST0251_N22_S11_D008,INST0251_N22_S11_P009,INST0251_N22_S11_D009,INST0251_N22_S11_P010,INST0251_N22_S11_D010,INST0251_N22_S11_P011,INST0251_N22_S11_D011,INST0251_N22_S11_P012,INST0251_N22_S11_D012,INST0251_N22_S11_P013,INST0251_N22_S11_D013,INST0251_N22_S11_P014,INST0251_N22_S11_D014,INST0251_N22_S11_P015,INST0251_N22_S11_D015,INST0251_N22_S11_P016,INST0251_N22_S11_D016,INST0251_N22_S11_P017,INST0251_N22_S11_D017,INST0251_N22_S11_P018,INST0251_N22_S11_D018,INST0251_N22_S11_P019,INST0251_N22_S11_D019,INST0251_N22_S11_P020,INST0251_N22_S11_D020,INST0251_N22_S11_P021,INST0251_N22_S11_D021
depot,0.0,80.067,137.848,92.948,137.848,46.181,80.067,26.348,177.944,46.181,32.455,0.0,46.181,92.948,30.556,26.348,0.0,80.067,39.549,0.0,46.181,30.556,46.181,39.549,92.948,26.3,26.348,80.067,26.348,46.181,26.3,30.556,46.181,92.948,0.0,32.455,30.556,32.455,108.949,30.556,137.848,39.549,177.944,92.948,80.067
INST0251_N22_S11_P000,80.067,0.0,57.803,13.307,57.803,126.125,0.0,55.105,98.41,126.125,61.135,80.067,126.125,13.307,72.248,55.105,80.067,0.0,53.679,80.067,126.125,72.248,126.125,53.679,13.307,61.869,55.105,0.0,55.105,126.125,61.869,72.248,126.125,13.307,80.067,61.135,72.248,61.135,87.998,72.248,57.803,53.679,98.41,13.307,0.0
INST0251_N22_S11_D000,137.848,57.803,0.0,44.98,0.0,183.928,57.803,112.533,41.594,183.928,117.194,137.848,183.928,44.98,127.137,112.533,137.848,57.803,109.068,137.848,183.928,127.137,183.928,109.068,44.98,118.85,112.533,57.803,112.533,183.928,118.85,127.137,183.928,44.98,137.848,117.194,127.137,117.194,114.428,127.137,0.0,109.068,41.594,44.98,57.803
INST0251_N22_S11_P001,92.948,13.307,44.98,0.0,44.98,139.086,13.307,67.557,85.211,139.086,74.382,92.948,139.086,0.0,83.129,67.557,92.948,13.307,66.815,92.948,139.086,83.129,139.086,66.815,0.0,75.176,67.557,13.307,67.557,139.086,75.176,83.129,139.086,0.0,92.948,74.382,83.129,74.382,94.398,83.129,44.98,66.815,85.211,0.0,13.307
INST0251_N22_S11_D001,137.848,57.803,0.0,44.98,0.0,183.928,57.803,112.533,41.594,183.928,117.194,137.848,183.928,44.98,127.137,112.533,137.848,57.803,109.068,137.848,183.928,127.137,183.928,109.068,44.98,118.85,112.533,57.803,112.533,183.928,118.85,127.137,183.928,44.98,137.848,117.194,127.137,117.194,114.428,127.137,0.0,109.068,41.594,44.98,57.803
INST0251_N22_S11_P002,46.181,126.125,183.928,139.086,183.928,0.0,126.125,72.268,224.124,0.0,71.658,46.181,0.0,139.086,67.228,72.268,46.181,126.125,80.145,46.181,0.0,67.228,0.0,80.145,139.086,67.566,72.268,126.125,72.268,0.0,67.566,67.228,0.0,139.086,46.181,71.658,67.228,71.658,138.993,67.228,183.928,80.145,224.124,139.086,126.125
INST0251_N22_S11_D002,80.067,0.0,57.803,13.307,57.803,126.125,0.0,55.105,98.41,126.125,61.135,80.067,126.125,13.307,72.248,55.105,80.067,0.0,53.679,80.067,126.125,72.248,126.125,53.679,13.307,61.869,55.105,0.0,55.105,126.125,61.869,72.248,126.125,13.307,80.067,61.135,72.248,61.135,87.998,72.248,57.803,53.679,98.41,13.307,0.0
INST0251_N22_S11_P003,26.348,55.105,112.533,67.557,112.533,72.268,55.105,0.0,152.108,72.268,29.68,26.348,72.268,67.557,23.863,0.0,26.348,55.105,31.149,26.348,72.268,23.863,72.268,31.149,67.557,24.036,0.0,55.105,0.0,72.268,24.036,23.863,72.268,67.557,26.348,29.68,23.863,29.68,102.142,23.863,112.533,31.149,152.108,67.557,55.105
INST0251_N22_S11_D003,177.944,98.41,41.594,85.211,41.594,224.124,98.41,152.108,0.0,224.124,158.604,177.944,224.124,85.211,164.482,152.108,177.944,98.41,150.553,177.944,224.124,164.482,224.124,150.553,85.211,160.028,152.108,98.41,152.108,224.124,160.028,164.482,224.124,85.211,177.944,158.604,164.482,158.604,151.155,164.482,41.594,150.553,0.0,85.211,98.41
INST0251_N22_S11_P004,46.181,126.125,183.928,139.086,183.928,0.0,126.125,72.268,224.124,0.0,71.658,46.181,0.0,139.086,67.228,72.268,46.181,126.125,80.145,46.181,0.0,67.228,0.0,80.145,139.086,67.566,72.268,126.125,72.268,0.0,67.566,67.228,0.0,139.086,46.181,71.658,67.228,71.658,138.993,67.228,183.928,80.145,224.124,139.086,126.125
