,depot,INST0211_N20_W01_P000,INST0211_N20_W01_D000,INST0211_N20_W01_P001,INST0211_N20_W01_D001,INST0211_N20_W01_P002,INST0211_N20_W01_D002,INST0211_N20_W01_P003,INST0211_N20_W01_D003,INST0211_N20_W01_P004,INST0211_N20_W01_D004,INST0211_N20_W01_P005,INST0211_N20_W01_D005,INST0211_N20_W01_P006,INST0211_N20_W01_D006,INST0211_N20_W01_P007,INST0211_N20_W01_D007,INST0211_N20_W01_P008,INST0211_N20_W01_D008,INST0211_N20_W01_P009,INST0211_N20_W01_D009,INST0211_N20_W01_P010,INST0211_N20_W01_D010,INST0211_N20_W01_P011,INST0211_N20_W01_D011,INST0211_N20_W01_P012,INST0211_N20_W01_D012,INST0211_N20_W01_P013,INST0211_N20_W01_D013,INST0211_N20_W01_P014,INST0211_N20_W01_D014,INST0211_N20_W01_P015,INST0211_N20_W01_D015,INST0211_N20_W01_P016,INST0211_N20_W01_D016,INST0211_N20_W01_P017,INST0211_N20_W01_D017,INST0211_N20_W01_P018,INST0211_N20_W01_D018,INST0211_N20_W01_P019,INST0211_N20_W01_D019
depot,0.0,67.612,0.0,50.317,17.238,50.317,50.631,50.317,133.769,0.0,17.238,37.156,25.201,67.612,37.156,32.905,50.631,32.905,43.046,50.631,0.0,0.0,50.631,43.046,0.0,0.0,37.156,0.0,43.046,50.317,67.612,67.612,25.201,25.201,22.951,22.951,37.156,50.317,22.951,50.631,25.201
INST0211_N20_W01_P000,67.612,0.0,67.612,86.82,61.567,86.82,24.909,86.82,66.284,67.612,61.567,94.929,49.056,0.0,94.929,77.687,24.909,77.687,70.587,24.909,67.612,67.612,24.909,70.587,67.612,67.612,94.929,67.612,70.587,86.82,0.0,0.0,49.056,49.056,84.648,84.648,94.929,86.82,84.648,24.909,49.056
INST0211_N20_W01_D000,0.0,67.612,0.0,50.317,17.238,50.317,50.631,50.317,133.769,0.0,17.238,37.156,25.201,67.612,37.156,32.905,50.631,32.905,43.046,50.631,0.0,0.0,50.631,43.046,0.0,0.0,37.156,0.0,43.046,50.317,67.612,67.612,25.201,25.201,22.951,22.951,37.156,50.317,22.951,50.631,25.201
INST0211_N20_W01_P001,50.317,86.82,50.317,0.0,36.679,0.0,61.972,0.0,147.866,50.317,36.679,28.407,43.098,86.82,28.407,17.435,61.972,17.435,92.961,61.972,50.317,50.317,61.972,92.961,50.317,50.317,28.407,50.317,92.961,0.0,86.82,86.82,43.098,43.098,35.228,35.228,28.407,0.0,35.228,61.972,43.098
INST0211_N20_W01_D001,17.238,61.567,17.238,36.679,0.0,36.679,40.204,36.679,127.423,17.238,0.0,33.728,12.767,61.567,33.728,20.56,40.204,20.56,57.051,40.204,17.238,17.238,40.204,57.051,17.238,17.238,33.728,17.238,57.051,36.679,61.567,61.567,12.767,12.767,23.331,23.331,33.728,36.679,23.331,40.204,12.767
INST0211_N20_W01_P002,50.317,86.82,50.317,0.0,36.679,0.0,61.972,0.0,147.866,50.317,36.679,28.407,43.098,86.82,28.407,17.435,61.972,17.435,92.961,61.972,50.317,50.317,61.972,92.961,50.317,50.317,28.407,50.317,92.961,0.0,86.82,86.82,43.098,43.098,35.228,35.228,28.407,0.0,35.228,61.972,43.098
INST0211_N20_W01_D002,50.631,24.909,50.631,61.972,40.204,61.972,0.0,61.972,88.095,50.631,40.204,72.151,27.496,24.909,72.151,53.818,0.0,53.818,68.471,0.0,50.631,50.631,0.0,68.471,50.631,50.631,72.151,50.631,68.471,61.972,24.909,24.909,27.496,27.496,63.48,63.48,72.151,61.972,63.48,0.0,27.496
INST0211_N20_W01_P003,50.317,86.82,50.317,0.0,36.679,0.0,61.972,0.0,147.866,50.317,36.679,28.407,43.098,86.82,28.407,17.435,61.972,17.435,92.961,61.972,50.317,50.317,61.972,92.961,50.317,50.317,28.407,50.317,92.961,0.0,86.82,86.82,43.098,43.098,35.228,35.228,28.407,0.0,35.228,61.972,43.098
INST0211_N20_W01_D003,133.769,66.284,133.769,147.866,127.423,147.866,88.095,147.866,0.0,133.769,127.423,160.194,114.719,66.284,160.194,141.804,88.095,141.804,128.123,88.095,133.769,133.769,88.095,128.123,133.769,133.769,160.194,133.769,128.123,147.866,66.284,66.284,114.719,114.719,150.679,150.679,160.194,147.866,150.679,88.095,114.719
INST0211_N20_W01_P004,0.0,67.612,0.0,50.317,17.238,50.317,50.631,50.317,133.769,0.0,17.238,37.156,25.201,67.612,37.156,32.905,50.631,32.905,43.046,50.631,0.0,0.0,50.631,43.046,0.0,0.0,37.156,0.0,43.046,50.317,67.612,67.612,25.201,25.201,22.951,22.951,37.156,50.317,22.951,50.631,25.201
