,depot,INST0190_N18_W10_P000,INST0190_N18_W10_D000,INST0190_N18_W10_P001,INST0190_N18_W10_D001,INST0190_N18_W10_P002,INST0190_N18_W10_D002,INST0190_N18_W10_P003,INST0190_N18_W10_D003,INST0190_N18_W10_P004,INST0190_N18_W10_D004,INST0190_N18_W10_P005,INST0190_N18_W10_D005,INST0190_N18_W10_P006,INST0190_N18_W10_D006,INST0190_N18_W10_P007,INST0190_N18_W10_D007,INST0190_N18_W10_P008,INST0190_N18_W10_D008,INST0190_N18_W10_P009,INST0190_N18_W10_D009,INST0190_N18_W10_P010,INST0190_N18_W10_D010,INST0190_N18_W10_P011,INST0190_N18_W10_D011,INST0190_N18_W10_P012,INST0190_N18_W10_D012,INST0190_N18_W10_P013,INST0190_N18_W10_D013,INST0190_N18_W10_P014,INST0190_N18_W10_D014,INST0190_N18_W10_P015,INST0190_N18_W10_D015,INST0190_N18_W10_P016,INST0190_N18_W10_D016,INST0190_N18_W10_P017,INST0190_N18_W10_D017
depot,0.0,16.35,109.164,19.054,51.842,11.735,19.054,51.842,123.055,0.0,18.744,19.054,0.0,69.129,0.0,16.35,11.735,51.842,0.0,52.507,123.055,0.0,16.35,52.507,28.769,28.769,16.35,29.48,11.735,16.35,11.735,16.35,19.054,28.769,0.0,52.507,18.744
INST0190_N18_W10_P000,16.35,0.0,101.402,16.791,43.952,16.399,16.791,43.952,115.807,16.35,26.872,16.791,16.35,63.444,16.35,0.0,16.399,43.952,16.35,61.821,115.807,16.35,0.0,61.821,14.239,14.239,0.0,24.4,16.399,0.0,16.399,0.0,16.791,14.239,16.35,61.821,26.872
INST0190_N18_W10_D000,109.164,101.402,0.0,90.122,57.687,116.61,90.122,57.687,14.722,109.164,96.036,90.122,109.164,40.846,109.164,101.402,116.61,57.687,109.164,94.442,14.722,109.164,101.402,94.442,106.091,106.091,101.402,79.708,116.61,101.402,116.61,101.402,90.122,106.091,109.164,94.442,96.036
INST0190_N18_W10_P001,19.054,16.791,90.122,0.0,32.833,27.544,0.0,32.833,104.062,19.054,14.077,0.0,19.054,50.28,19.054,16.791,27.544,32.833,19.054,46.592,104.062,19.054,16.791,46.592,29.954,29.954,16.791,10.426,27.544,16.791,27.544,16.791,0.0,29.954,19.054,46.592,14.077
INST0190_N18_W10_D001,51.842,43.952,57.687,32.833,0.0,58.923,32.833,0.0,71.944,51.842,41.349,32.833,51.842,20.342,51.842,43.952,58.923,0.0,51.842,55.918,71.944,51.842,43.952,55.918,50.611,50.611,43.952,22.455,58.923,43.952,58.923,43.952,32.833,50.611,51.842,55.918,41.349
INST0190_N18_W10_P002,11.735,16.399,116.61,27.544,58.923,0.0,27.544,58.923,130.825,11.735,30.344,27.544,11.735,77.525,11.735,16.399,0.0,58.923,11.735,64.172,130.825,11.735,16.399,64.172,23.199,23.199,16.399,37.477,0.0,16.399,0.0,16.399,27.544,23.199,11.735,64.172,30.344
INST0190_N18_W10_D002,19.054,16.791,90.122,0.0,32.833,27.544,0.0,32.833,104.062,19.054,14.077,0.0,19.054,50.28,19.054,16.791,27.544,32.833,19.054,46.592,104.062,19.054,16.791,46.592,29.954,29.954,16.791,10.426,27.544,16.791,27.544,16.791,0.0,29.954,19.054,46.592,14.077
INST0190_N18_W10_P003,51.842,43.952,57.687,32.833,0.0,58.923,32.833,0.0,71.944,51.842,41.349,32.833,51.842,20.342,51.842,43.952,58.923,0.0,51.842,55.918,71.944,51.842,43.952,55.918,50.611,50.611,43.952,22.455,58.923,43.952,58.923,43.952,32.833,50.611,51.842,55.918,41.349
INST0190_N18_W10_D003,123.055,115.807,14.722,104.062,71.944,130.825,104.062,71.944,0.0,123.055,109.245,104.062,123.055,54.132,123.055,115.807,130.825,71.944,123.055,104.634,0.0,123.055,115.807,104.634,120.757,120.757,115.807,93.687,130.825,115.807,130.825,115.807,104.062,120.757,123.055,104.634,109.245
INST0190_N18_W10_P004,0.0,16.35,109.164,19.054,51.842,11.735,19.054,51.842,123.055,0.0,18.744,19.054,0.0,69.129,0.0,16.35,11.735,51.842,0.0,52.507,123.055,0.0,16.35,52.507,28.769,28.769,16.35,29.48,11.735,16.35,11.735,16.35,19.054,28.769,0.0,52.507,18.744
INST0190_N18_W10_D004,18.744,26.872,96.036,14.077,41.349,30.344,14.077,41.349,109.245,18.744,0.0,14.077,18.744,55.217,18.744,26.872,30.344,41.349,18.744,35.155,109.245,18.744,26.872,35.155,41.092,41.092,26.872,20.581,30.344,26.872,30.344,26.872,14.077,41.092,18.744,35.155,0.0
INST0190_N18_W10_P005,19.054,16.791,90.122,0.0,32.833,27.544,0.0,32.833,104.062,19.054,14.077,0.0,19.054,50.28,19.054,16.791,27.544,32.833,19.054,46.592,104.062,19.054,16.791,46.592,29.954,29.954,16.791,10.426,27.544,16.791,27.544,16.791,0.0,29.954,19.054,46.592,14.077
INST0190_N18_W10_D005,0.0,16.35,109.164,19.054,51.842,11.735,19.054,51.842,123.055,0.0,18.744,19.054,0.0,69.129,0.0,16.35,11.735,51.842,0.0,52.507,123.055,0.0,16.35,52.507,28.769,28.769,16.35,29.48,11.735,16.35,11.735,16.35,19.054,28.769,0.0,52.507,18.744
INST0190_N18_W10_P006,69.129,63.444,40.846,50.28,20.342,77.525,50.28,20.342,54.132,69.129,55.217,50.28,69.129,0.0,69.129,63.444,77.525,20.342,69.129,57.646,54.132,69.129,63.444,57.646,70.903,70.903,63.444,40.063,77.525,63.444,77.525,63.444,50.28,70.903,69.129,57.646,55.217
INST0190_N18_W10_D006,0.0,16.35,109.164,19.054,51.842,11.735,19.054,51.842,123.055,0.0,18.744,19.054,0.0,69.129,0.0,16.35,11.735,51.842,0.0,52.507,123.055,0.0,16.35,52.507,28.769,28.769,16.35,29.48,11.735,16.35,11.735,16.35,19.054,28.769,0.0,52.507,18.744
INST0190_N18_W10_P007,16.35,0.0,101.402,16.791,43.952,16.399,16.791,43.952,115.807,16.35,26.872,16.791,16.35,63.444,16.35,0.0,16.399,43.952,16.35,61.821,115.807,16.35,0.0,61.821,14.239,14.239,0.0,24.4,16.399,0.0,16.399,0.0,16.791,14.239,16.35,61.821,26.872
INST0190_N18_W10_D007,11.735,16.399,116.61,27.544,58.923,0.0,27.544,58.923,130.825,11.735,30.344,27.544,11.735,77.525,11.735,16.399,0.0,58.923,11.735,64.172,130.825,11.735,16.399,64.172,23.199,23.199,16.399,37.477,0.0,16.399,0.0,16.399,27.544,23.199,11.735,64.172,30.344
INST0190_N18_W10_P008,51.842,43.952,57.687,32.833,0.0,58.923,32.833,0.0,71.944,51.842,41.349,32.833,51.842,20.342,51.842,43.952,58.923,0.0,51.842,55.918,71.944,51.842,43.952,55.918,50.611,50.611,43.952,22.455,58.923,43.952,58.923,43.952,32.833,50.611,51.842,55.918,41.349
INST0190_N18_W10_D008,0.0,16.35,109.164,19.054,51.842,11.735,19.054,51.842,123.055,0.0,18.744,19.054,0.0,69.129,0.0,16.35,11.735,51.842,0.0,52.507,123.055,0.0,16.35,52.507,28.769,28.769,16.35,29.48,11.735,16.35,11.735,16.35,19.054,28.769,0.0,52.507,18.744
INST0190_N18_W10_P009,52.507,61.821,94.442,46.592,55.918,64.172,46.592,55.918,104.634,52.507,35.155,46.592,52.507,57.646,52.507,61.821,64.172,55.918,52.507,0.0,104.634,52.507,61.821,0.0,75.918,75.918,61.821,46.518,64.172,61.821,64.172,61.821,46.592,75.918,52.507,0.0,35.155
INST0190_N18_W10_D009,123.055,115.807,14.722,104.062,71.944,130.825,104.062,71.944,0.0,123.055,109.245,104.062,123.055,54.132,123.055,115.807,130.825,71.944,123.055,104.634,0.0,123.055,115.807,104.634,120.757,120.757,115.807,93.687,130.825,115.807,130.825,115.807,104.062,120.757,123.055,104.634,109.245
INST0190_N18_W10_P010,0.0,16.35,109.164,19.054,51.842,11.735,19.054,51.842,123.055,0.0,18.744,19.054,0.0,69.129,0.0,16.35,11.735,51.842,0.0,52.507,123.055,0.0,16.35,52.507,28.769,28.769,16.35,29.48,11.735,16.35,11.735,16.35,19.054,28.769,0.0,52.507,18.744
INST0190_N18_W10_D010,16.35,0.0,101.402,16.791,43.952,16.399,16.791,43.952,115.807,16.35,26.872,16.791,16.35,63.444,16.35,0.0,16.399,43.952,16.35,61.821,115.807,16.35,0.0,61.821,14.239,14.239,0.0,24.4,16.399,0.0,16.399,0.0,16.791,14.239,16.35,61.821,26.872
INST0190_N18_W10_P011,52.507,61.821,94.442,46.592,55.918,64.172,46.592,55.918,104.634,52.507,35.155,46.592,52.507,57.646,52.507,61.821,64.172,55.918,52.507,0.0,104.634,52.507,61.821,0.0,75.918,75.918,61.821,46.518,64.172,61.821,64.172,61.821,46.592,75.918,52.507,0.0,35.155
INST0190_N18_W10_D011,28.769,14.239,106.091,29.954,50.611,23.199,29.954,50.611,120.757,28.769,41.092,29.954,28.769,70.903,28.769,14.239,23.199,50.611,28.769,75.918,120.757,28.769,14.239,75.918,0.0,0.0,14.239,35.196,23.199,14.239,23.199,14.239,29.954,0.0,28.769,75.918,41.092
INST0190_N18_W10_P012,28.769,14.239,106.091,29.954,50.611,23.199,29.954,50.611,120.757,28.769,41.092,29.954,28.769,70.903,28.769,14.239,23.199,50.611,28.769,75.918,120.757,28.769,14.239,75.918,0.0,0.0,14.239,35.196,23.199,14.239,23.199,14.239,29.954,0.0,28.769,75.918,41.092
INST0190_N18_W10_D012,16.35,0.0,101.402,16.791,43.952,16.399,16.791,43.952,115.807,16.35,26.872,16.791,16.35,63.444,16.35,0.0,16.399,43.952,16.35,61.821,115.807,16.35,0.0,61.821,14.239,14.239,0.0,24.4,16.399,0.0,16.399,0.0,16.791,14.239,16.35,61.821,26.872
INST0190_N18_W10_P013,29.48,24.4,79.708,10.426,22.455,37.477,10.426,22.455,93.687,29.48,20.581,10.426,29.48,40.063,29.48,24.4,37.477,22.455,29.48,46.518,93.687,29.48,24.4,46.518,35.196,35.196,24.4,0.0,37.477,24.4,37.477,24.4,10.426,35.196,29.48,46.518,20.581
INST0190_N18_W10_D013,11.735,16.399,116.61,27.544,58.923,0.0,27.544,58.923,130.825,11.735,30.344,27.544,11.735,77.525,11.735,16.399,0.0,58.923,11.735,64.172,130.825,11.735,16.399,64.172,23.199,23.199,16.399,37.477,0.0,16.399,0.0,16.399,27.544,23.199,11.735,64.172,30.344
INST0190_N18_W10_P014,16.35,0.0,101.402,16.791,43.952,16.399,16.791,43.952,115.807,16.35,26.872,16.791,16.35,63.444,16.35,0.0,16.399,43.952,16.35,61.821,115.807,16.35,0.0,61.821,14.239,14.239,0.0,24.4,16.399,0.0,16.399,0.0,16.791,14.239,16.35,61.821,26.872
INST0190_N18_W10_D014,11.735,16.399,116.61,27.544,58.923,0.0,27.544,58.923,130.825,11.735,30.344,27.544,11.735,77.525,11.735,16.399,0.0,58.923,11.735,64.172,130.825,11.735,16.399,64.172,23.199,23.199,16.399,37.477,0.0,16.399,0.0,16.399,27.544,23.199,11.735,64.172,30.344
