,depot,INST0097_N10_W07_P000,INST0097_N10_W07_D000,INST0097_N10_W07_P001,INST0097_N10_W07_D001,INST0097_N10_W07_P002,INST0097_N10_W07_D002,INST0097_N10_W07_P003,INST0097_N10_W07_D003,INST0097_N10_W07_P004,INST0097_N10_W07_D004,INST0097_N10_W07_P005,INST0097_N10_W07_D005,INST0097_N10_W07_P006,INST0097_N10_W07_D006,INST0097_N10_W07_P007,INST0097_N10_W07_D007,INST0097_N10_W07_P008,INST0097_N10_W07_D008,INST0097_N10_W07_P009,INST0097_N10_W07_D009
depot,0.0,0.0,61.821,43.952,61.821,16.399,14.239,16.399,61.821,16.35,0.0,16.35,63.444,16.399,14.239,14.239,26.872,24.4,101.402,24.4,115.807
INST0097_N10_W07_P000,0.0,0.0,61.821,43.952,61.821,16.399,14.239,16.399,61.821,16.35,0.0,16.35,63.444,16.399,14.239,14.239,26.872,24.4,101.402,24.4,115.807
INST0097_N10_W07_D000,61.821,61.821,0.0,55.918,0.0,64.172,75.918,64.172,0.0,52.507,61.821,52.507,57.646,64.172,75.918,75.918,35.155,46.518,94.442,46.518,104.634
INST0097_N10_W07_P001,43.952,43.952,55.918,0.0,55.918,58.923,50.611,58.923,55.918,51.842,43.952,51.842,20.342,58.923,50.611,50.611,41.349,22.455,57.687,22.455,71.944
INST0097_N10_W07_D001,61.821,61.821,0.0,55.918,0.0,64.172,75.918,64.172,0.0,52.507,61.821,52.507,57.646,64.172,75.918,75.918,35.155,46.518,94.442,46.518,104.634
INST0097_N10_W07_P002,16.399,16.399,64.172,58.923,64.172,0.0,23.199,0.0,64.172,11.735,16.399,11.735,77.525,0.0,23.199,23.199,30.344,37.477,116.61,37.477,130.825
INST0097_N10_W07_D002,14.239,14.239,75.918,50.611,75.918,23.199,0.0,23.199,75.918,28.769,14.239,28.769,70.903,23.199,0.0,0.0,41.092,35.196,106.091,35.196,120.757
INST0097_N10_W07_P003,16.399,16.399,64.172,58.923,64.172,0.0,23.199,0.0,64.172,11.735,16.399,11.735,77.525,0.0,23.199,23.199,30.344,37.477,116.61,37.477,130.825
INST0097_N10_W07_D003,61.821,61.821,0.0,55.918,0.0,64.172,75.918,64.172,0.0,52.507,61.821,52.507,57.646,64.172,75.918,75.918,35.155,46.518,94.442,46.518,104.634
INST0097_N10_W07_P004,16.35,16.35,52.507,51.842,52.507,11.735,28.769,11.735,52.507,0.0,16.35,0.0,69.129,11.735,28.769,28.769,18.744,29.48,109.164,29.48,123.055
INST0097_N10_W07_D004,0.0,0.0,61.821,43.952,61.821,16.399,14.239,16.399,61.821,16.35,0.0,16.35,63.444,16.399,14.239,14.239,26.872,24.4,101.402,24.4,115.807
INST0097_N10_W07_P005,16.35,16.35,52.507,51.842,52.507,11.735,28.769,11.735,52.507,0.0,16.35,0.0,69.129,11.735,28.769,28.769,18.744,29.48,109.164,29.48,123.055
INST0097_N10_W07_D005,63.444,63.444,57.646,20.342,57.646,77.525,70.903,77.525,57.646,69.129,63.444,69.129,0.0,77.525,70.903,70.903,55.217,40.063,40.846,40.063,54.132
INST0097_N10_W07_P006,16.399,16.399,64.172,58.923,64.172,0.0,23.199,0.0,64.172,11.735,16.399,11.735,77.525,0.0,23.199,23.199,30.344,37.477,116.61,37.477,130.825
INST0097_N10_W07_D006,14.239,14.239,75.918,50.611,75.918,23.199,0.0,23.199,75.918,28.769,14.239,28.769,70.903,23.199,0.0,0.0,41.092,35.196,106.091,35.196,120.757
INST0097_N10_W07_P007,14.239,14.239,75.918,50.611,75.918,23.199,0.0,23.199,75.918,28.769,14.239,28.769,70.903,23.199,0.0,0.0,41.092,35.196,106.091,35.196,120.757
INST0097_N10_W07_D007,26.872,26.872,35.155,41.349,35.155,30.344,41.092,30.344,35.155,18.744,26.872,18.744,55.217,30.344,41.092,41.092,0.0,20.581,96.036,20.581,109.245
INST0097_N10_W07_P008,24.4,24.4,46.518,22.455,46.518,37.477,35.196,37.477,46.518,29.48,24.4,29.48,40.063,37.477,35.196,35.196,20.581,0.0,79.708,0.0,93.687
INST0097_N10_W07_D008,101.402,101.402,94.442,57.687,94.442,116.61,106.091,116.61,94.442,109.164,101.402,109.164,40.846,116.61,106.091,106.091,96.036,79.708,0.0,79.708,14.722
INST0097_N10_W07_P009,24.4,24.4,46.518,22.455,46.518,37.477,35.196,37.477,46.518,29.48,24.4,29.48,40.063,37.477,35.196,35.196,20.581,0.0,79.708,0.0,93.687
INST0097_N10_W07_D009,115.807,115.807,104.634,71.944,104.634,130.825,120.757,130.825,104.634,123.055,115.807,123.055,54.132,130.825,120.757,120.757,109.245,93.687,14.722,93.687,0.0
