,depot,INST0076_N8_W16_P000,INST0076_N8_W16_D000,INST0076_N8_W16_P001,INST0076_N8_W16_D001,INST0076_N8_W16_P002,INST0076_N8_W16_D002,INST0076_N8_W16_P003,INST0076_N8_W16_D003,INST0076_N8_W16_P004,INST0076_N8_W16_D004,INST0076_N8_W16_P005,INST0076_N8_W16_D005,INST0076_N8_W16_P006,INST0076_N8_W16_D006,INST0076_N8_W16_P007,INST0076_N8_W16_D007
depot,0.0,41.092,30.344,55.217,41.349,14.077,35.155,18.744,96.036,18.744,41.349,20.581,35.155,26.872,41.349,14.077,41.349
INST0076_N8_W16_P000,41.092,0.0,23.199,70.903,50.611,29.954,75.918,28.769,106.091,28.769,50.611,35.196,75.918,14.239,50.611,29.954,50.611
INST0076_N8_W16_D000,30.344,23.199,0.0,77.525,58.923,27.544,64.172,11.735,116.61,11.735,58.923,37.477,64.172,16.399,58.923,27.544,58.923
INST0076_N8_W16_P001,55.217,70.903,77.525,0.0,20.342,50.28,57.646,69.129,40.846,69.129,20.342,40.063,57.646,63.444,20.342,50.28,20.342
INST0076_N8_W16_D001,41.349,50.611,58.923,20.342,0.0,32.833,55.918,51.842,57.687,51.842,0.0,22.455,55.918,43.952,0.0,32.833,0.0
INST0076_N8_W16_P002,14.077,29.954,27.544,50.28,32.833,0.0,46.592,19.054,90.122,19.054,32.833,10.426,46.592,16.791,32.833,0.0,32.833
INST0076_N8_W16_D002,35.155,75.918,64.172,57.646,55.918,46.592,0.0,52.507,94.442,52.507,55.918,46.518,0.0,61.821,55.918,46.592,55.918
INST0076_N8_W16_P003,18.744,28.769,11.735,69.129,51.842,19.054,52.507,0.0,109.164,0.0,51.842,29.48,52.507,16.35,51.842,19.054,51.842
INST0076_N8_W16_D003,96.036,106.091,116.61,40.846,57.687,90.122,94.442,109.164,0.0,109.164,57.687,79.708,94.442,101.402,57.687,90.122,57.687
INST0076_N8_W16_P004,18.744,28.769,11.735,69.129,51.842,19.054,52.507,0.0,109.164,0.0,51.842,29.48,52.507,16.35,51.842,19.054,51.842
INST0076_N8_W16_D004,41.349,50.611,58.923,20.342,0.0,32.833,55.918,51.842,57.687,51.842,0.0,22.455,55.918,43.952,0.0,32.833,0.0
INST0076_N8_W16_P005,20.581,35.196,37.477,40.063,22.455,10.426,46.518,29.48,79.708,29.48,22.455,0.0,46.518,24.4,22.455,10.426,22.455
INST0076_N8_W16_D005,35.155,75.918,64.172,57.646,55.918,46.592,0.0,52.507,94.442,52.507,55.918,46.518,0.0,61.821,55.918,46.592,55.918
INST0076_N8_W16_P006,26.872,14.239,16.399,63.444,43.952,16.791,61.821,16.35,101.402,16.35,43.952,24.4,61.821,0.0,43.952,16.791,43.952
INST0076_N8_W16_D006,41.349,50.611,58.923,20.342,0.0,32.833,55.918,51.842,57.687,51.842,0.0,22.455,55.918,43.952,0.0,32.833,0.0
INST0076_N8_W16_P007,14.077,29.954,27.544,50.28,32.833,0.0,46.592,19.054,90.122,19.054,32.833,10.426,46.592,16.791,32.833,0.0,32.833
INST0076_N8_W16_D007,41.349,50.611,58.923,20.342,0.0,32.833,55.918,51.842,57.687,51.842,0.0,22.455,55.918,43.952,0.0,32.833,0.0
