,depot,INST0242_N22_S02_P000,INST0242_N22_S02_D000,INST0242_N22_S02_P001,INST0242_N22_S02_D001,INST0242_N22_S02_P002,INST0242_N22_S02_D002,INST0242_N22_S02_P003,INST0242_N22_S02_D003,INST0242_N22_S02_P004,INST0242_N22_S02_D004,INST0242_N22_S02_P005,INST0242_N22_S02_D005,INST0242_N22_S02_P006,INST0242_N22_S02_D006,INST0242_N22_S02_P007,INST0242_N22_S02_D007,INST0242_N22_S02_P008,INST0242_N22_S02_D008,INST0242_N22_S02_P009,INST0242_N22_S02_D009,INST0242_N22_S02_P010,INST0242_N22_S02_D010,INST0242_N22_S02_P011,INST0242_N22_S02_D011,INST0242_N22_S02_P012,INST0242_N22_S02_D012,INST0242_N22_S02_P013,INST0242_N22_S02_D013,INST0242_N22_S02_P014,INST0242_N22_S02_D014,INST0242_N22_S02_P015,INST0242_N22_S02_D015,INST0242_N22_S02_P016,INST0242_N22_S02_D016,INST0242_N22_S02_P017,INST0242_N22_S02_D017,INST0242_N22_S02_P018,INST0242_N22_S02_D018,INST0242_N22_S02_P019,INST0242_N22_S02_D019,INST0242_N22_S02_P020,INST0242_N22_S02_D020,INST0242_N22_S02_P021,INST0242_N22_S02_D021
depot,0.0,21.517,45.002,25.439,19.488,55.171,25.439,24.239,83.416,45.002,19.629,55.171,25.439,19.488,45.002,19.629,19.488,45.002,24.239,24.239,91.902,19.488,25.439,19.629,91.902,25.439,0.0,0.0,83.416,21.517,19.488,45.002,83.416,0.0,19.488,24.239,124.222,0.0,19.488,19.488,24.239,25.439,21.517,19.488,55.171
INST0242_N22_S02_P000,21.517,0.0,65.388,32.298,24.954,75.908,32.298,26.505,88.975,65.388,21.478,75.908,32.298,24.954,65.388,21.478,24.954,65.388,26.505,26.505,112.576,24.954,32.298,21.478,112.576,32.298,21.517,21.517,88.975,0.0,24.954,65.388,88.975,21.517,24.954,26.505,145.321,21.517,24.954,24.954,26.505,32.298,0.0,24.954,75.908
INST0242_N22_S02_D000,45.002,65.388,0.0,43.838,59.003,10.867,43.838,49.927,71.865,0.0,50.526,10.867,43.838,59.003,0.0,50.526,59.003,0.0,49.927,49.927,47.206,59.003,43.838,50.526,47.206,43.838,45.002,45.002,71.865,65.388,59.003,0.0,71.865,45.002,59.003,49.927,80.368,45.002,59.003,59.003,49.927,43.838,65.388,59.003,10.867
INST0242_N22_S02_P001,25.439,32.298,43.838,0.0,44.339,54.565,0.0,7.008,58.699,43.838,10.881,54.565,0.0,44.339,43.838,10.881,44.339,43.838,7.008,7.008,89.072,44.339,0.0,10.881,89.072,0.0,25.439,25.439,58.699,32.298,44.339,43.838,58.699,25.439,44.339,7.008,122.952,25.439,44.339,44.339,7.008,0.0,32.298,44.339,54.565
INST0242_N22_S02_D001,19.488,24.954,59.003,44.339,0.0,67.889,44.339,41.761,102.776,59.003,36.46,67.889,44.339,0.0,59.003,36.46,0.0,59.003,41.761,41.761,103.829,0.0,44.339,36.46,103.829,44.339,19.488,19.488,102.776,24.954,0.0,59.003,102.776,19.488,0.0,41.761,134.327,19.488,0.0,0.0,41.761,44.339,24.954,0.0,67.889
INST0242_N22_S02_P002,55.171,75.908,10.867,54.565,67.889,0.0,54.565,60.745,77.092,10.867,61.394,0.0,54.565,67.889,10.867,61.394,67.889,10.867,60.745,60.745,36.733,67.889,54.565,61.394,36.733,54.565,55.171,55.171,77.092,75.908,67.889,10.867,77.092,55.171,67.889,60.745,69.589,55.171,67.889,67.889,60.745,54.565,75.908,67.889,0.0
INST0242_N22_S02_D002,25.439,32.298,43.838,0.0,44.339,54.565,0.0,7.008,58.699,43.838,10.881,54.565,0.0,44.339,43.838,10.881,44.339,43.838,7.008,7.008,89.072,44.339,0.0,10.881,89.072,0.0,25.439,25.439,58.699,32.298,44.339,43.838,58.699,25.439,44.339,7.008,122.952,25.439,44.339,44.339,7.008,0.0,32.298,44.339,54.565
INST0242_N22_S02_P003,24.239,26.505,49.927,7.008,41.761,60.745,7.008,0.0,62.898,49.927,5.477,60.745,7.008,41.761,49.927,5.477,41.761,49.927,0.0,0.0,95.708,41.761,7.008,5.477,95.708,7.008,24.239,24.239,62.898,26.505,41.761,49.927,62.898,24.239,41.761,0.0,129.526,24.239,41.761,41.761,0.0,7.008,26.505,41.761,60.745
INST0242_N22_S02_D003,83.416,88.975,71.865,58.699,102.776,77.092,58.699,62.898,0.0,71.865,68.319,77.092,58.699,102.776,71.865,68.319,102.776,71.865,62.898,62.898,93.449,102.776,58.699,68.319,93.449,58.699,83.416,83.416,0.0,88.975,102.776,71.865,0.0,83.416,102.776,62.898,123.443,83.416,102.776,102.776,62.898,58.699,88.975,102.776,77.092
INST0242_N22_S02_P004,45.002,65.388,0.0,43.838,59.003,10.867,43.838,49.927,71.865,0.0,50.526,10.867,43.838,59.003,0.0,50.526,59.003,0.0,49.927,49.927,47.206,59.003,43.838,50.526,47.206,43.838,45.002,45.002,71.865,65.388,59.003,0.0,71.865,45.002,59.003,49.927,80.368,45.002,59.003,59.003,49.927,43.838,65.388,59.003,10.867
