,depot,INST0277_N25_W07_P000,INST0277_N25_W07_D000,INST0277_N25_W07_P001,INST0277_N25_W07_D001,INST0277_N25_W07_P002,INST0277_N25_W07_D002,INST0277_N25_W07_P003,INST0277_N25_W07_D003,INST0277_N25_W07_P004,INST0277_N25_W07_D004,INST0277_N25_W07_P005,INST0277_N25_W07_D005,INST0277_N25_W07_P006,INST0277_N25_W07_D006,INST0277_N25_W07_P007,INST0277_N25_W07_D007,INST0277_N25_W07_P008,INST0277_N25_W07_D008,INST0277_N25_W07_P009,INST0277_N25_W07_D009,INST0277_N25_W07_P010,INST0277_N25_W07_D010,INST0277_N25_W07_P011,INST0277_N25_W07_D011,INST0277_N25_W07_P012,INST0277_N25_W07_D012,INST0277_N25_W07_P013,INST0277_N25_W07_D013,INST0277_N25_W07_P014,INST0277_N25_W07_D014,INST0277_N25_W07_P015,INST0277_N25_W07_D015,INST0277_N25_W07_P016,INST0277_N25_W07_D016,INST0277_N25_W07_P017,INST0277_N25_W07_D017,INST0277_N25_W07_P018,INST0277_N25_W07_D018,INST0277_N25_W07_P019,INST0277_N25_W07_D019,INST0277_N25_W07_P020,INST0277_N25_W07_D020,INST0277_N25_W07_P021,INST0277_N25_W07_D021,INST0277_N25_W07_P022,INST0277_N25_W07_D022,INST0277_N25_W07_P023,INST0277_N25_W07_D023,INST0277_N25_W07_P024,INST0277_N25_W07_D024
depot,0.0,14.239,0.0,16.791,14.239,16.791,61.821,16.399,16.35,63.444,26.872,24.4,43.952,16.399,101.402,26.872,16.399,0.0,14.239,24.4,0.0,43.952,16.399,0.0,26.872,24.4,43.952,0.0,63.444,43.952,14.239,63.444,115.807,61.821,101.402,16.399,0.0,14.239,26.872,0.0,63.444,61.821,0.0,16.791,16.35,16.399,63.444,16.791,24.4,16.791,14.239
INST0277_N25_W07_P000,14.239,0.0,14.239,29.954,0.0,29.954,75.918,23.199,28.769,70.903,41.092,35.196,50.611,23.199,106.091,41.092,23.199,14.239,0.0,35.196,14.239,50.611,23.199,14.239,41.092,35.196,50.611,14.239,70.903,50.611,0.0,70.903,120.757,75.918,106.091,23.199,14.239,0.0,41.092,14.239,70.903,75.918,14.239,29.954,28.769,23.199,70.903,29.954,35.196,29.954,0.0
INST0277_N25_W07_D000,0.0,14.239,0.0,16.791,14.239,16.791,61.821,16.399,16.35,63.444,26.872,24.4,43.952,16.399,101.402,26.872,16.399,0.0,14.239,24.4,0.0,43.952,16.399,0.0,26.872,24.4,43.952,0.0,63.444,43.952,14.239,63.444,115.807,61.821,101.402,16.399,0.0,14.239,26.872,0.0,63.444,61.821,0.0,16.791,16.35,16.399,63.444,16.791,24.4,16.791,14.239
INST0277_N25_W07_P001,16.791,29.954,16.791,0.0,29.954,0.0,46.592,27.544,19.054,50.28,14.077,10.426,32.833,27.544,90.122,14.077,27.544,16.791,29.954,10.426,16.791,32.833,27.544,16.791,14.077,10.426,32.833,16.791,50.28,32.833,29.954,50.28,104.062,46.592,90.122,27.544,16.791,29.954,14.077,16.791,50.28,46.592,16.791,0.0,19.054,27.544,50.28,0.0,10.426,0.0,29.954
INST0277_N25_W07_D001,14.239,0.0,14.239,29.954,0.0,29.954,75.918,23.199,28.769,70.903,41.092,35.196,50.611,23.199,106.091,41.092,23.199,14.239,0.0,35.196,14.239,50.611,23.199,14.239,41.092,35.196,50.611,14.239,70.903,50.611,0.0,70.903,120.757,75.918,106.091,23.199,14.239,0.0,41.092,14.239,70.903,75.918,14.239,29.954,28.769,23.199,70.903,29.954,35.196,29.954,0.0
INST0277_N25_W07_P002,16.791,29.954,16.791,0.0,29.954,0.0,46.592,27.544,19.054,50.28,14.077,10.426,32.833,27.544,90.122,14.077,27.544,16.791,29.954,10.426,16.791,32.833,27.544,16.791,14.077,10.426,32.833,16.791,50.28,32.833,29.954,50.28,104.062,46.592,90.122,27.544,16.791,29.954,14.077,16.791,50.28,46.592,16.791,0.0,19.054,27.544,50.28,0.0,10.426,0.0,29.954
INST0277_N25_W07_D002,61.821,75.918,61.821,46.592,75.918,46.592,0.0,64.172,52.507,57.646,35.155,46.518,55.918,64.172,94.442,35.155,64.172,61.821,75.918,46.518,61.821,55.918,64.172,61.821,35.155,46.518,55.918,61.821,57.646,55.918,75.918,57.646,104.634,0.0,94.442,64.172,61.821,75.918,35.155,61.821,57.646,0.0,61.821,46.592,52.507,64.172,57.646,46.592,46.518,46.592,75.918
INST0277_N25_W07_P003,16.399,23.199,16.399,27.544,23.199,27.544,64.172,0.0,11.735,77.525,30.344,37.477,58.923,0.0,116.61,30.344,0.0,16.399,23.199,37.477,16.399,58.923,0.0,16.399,30.344,37.477,58.923,16.399,77.525,58.923,23.199,77.525,130.825,64.172,116.61,0.0,16.399,23.199,30.344,16.399,77.525,64.172,16.399,27.544,11.735,0.0,77.525,27.544,37.477,27.544,23.199
INST0277_N25_W07_D003,16.35,28.769,16.35,19.054,28.769,19.054,52.507,11.735,0.0,69.129,18.744,29.48,51.842,11.735,109.164,18.744,11.735,16.35,28.769,29.48,16.35,51.842,11.735,16.35,18.744,29.48,51.842,16.35,69.129,51.842,28.769,69.129,123.055,52.507,109.164,11.735,16.35,28.769,18.744,16.35,69.129,52.507,16.35,19.054,0.0,11.735,69.129,19.054,29.48,19.054,28.769
INST0277_N25_W07_P004,63.444,70.903,63.444,50.28,70.903,50.28,57.646,77.525,69.129,0.0,55.217,40.063,20.342,77.525,40.846,55.217,77.525,63.444,70.903,40.063,63.444,20.342,77.525,63.444,55.217,40.063,20.342,63.444,0.0,20.342,70.903,0.0,54.132,57.646,40.846,77.525,63.444,70.903,55.217,63.444,0.0,57.646,63.444,50.28,69.129,77.525,0.0,50.28,40.063,50.28,70.903
